Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0026197-T01-IM6	9	35	27	1
P-0026480-T01-IM6	8	21	30	1
P-0026678-T01-IM6	58	1	5	0
P-0026683-T01-IM6	61	0	16	0
P-0026908-T01-IM6	5	10	12	1
P-0026962-T01-IM6	4	24	2	5
P-0027324-T01-IM6	32	24	0	0
P-0027335-T01-IM6	16	27	0	0
P-0027375-T01-IM6	6	13	9	7
P-0027438-T01-IM6	3	29	0	1
P-0027740-T01-IM6	63	29	0	0
P-0027858-T01-IM6	15	33	34	0
P-0027929-T01-IM6	16	176	125	14
P-0028069-T01-IM6	4	18	12	3
P-0028266-T01-IM6	77	0	20	0
P-0028274-T01-IM6	25	17	9	0
P-0028344-T01-IM6	5	16	0	2
P-0028474-T01-IM6	10	55	16	3
P-0028485-T01-IM6	46	26	5	6
P-0028571-T01-IM6	13	12	9	0
P-0028891-T01-IM6	74	8	26	0
P-0028979-T01-IM6	15	1	42	0
P-0029114-T01-IM6	0	25	1	2
P-0029169-T01-IM6	12	17	0	1
P-0029398-T01-IM6	19	13	9	6
P-0029399-T01-IM6	21	0	20	5
P-0029495-T03-IM6	48	4	4	1
P-0029646-T01-IM6	20	30	30	2
P-0029980-T01-IM6	25	35	8	5
P-0030244-T01-IM6	5	41	3	1
P-0030265-T01-IM6	46	182	0	0
P-0030636-T01-IM6	19	0	11	2
P-0030708-T01-IM6	24	22	17	0
P-0030774-T01-IM6	40	18	7	6
P-0030960-T01-IM6	13	14	7	2
P-0030988-T01-IM6	7	22	10	1
P-0031050-T01-IM6	9	13	9	0
P-0031091-T01-IM6	16	39	5	0
P-0031146-T01-IM6	11	12	0	0
P-0031207-T01-IM6	11	0	27	0
P-0031496-T01-IM6	22	28	0	3
P-0032060-T01-IM6	28	27	0	0
P-0032698-T01-IM6	17	12	17	1
P-0032718-T01-IM6	1	42	12	4
P-0032777-T01-IM6	0	14	23	6
P-0033100-T01-IM6	20	0	25	2
P-0033382-T01-IM6	77	0	5	10
P-0033425-T01-IM6	126	235	0	4
P-0033503-T01-IM6	25	0	5	0
P-0033748-T01-IM6	0	0	35	99
P-0033852-T01-IM6	17	1	17	4
P-0034090-T01-IM6	1	15	2	1
P-0034401-T01-IM6	13	6	5	0
P-0034935-T01-IM6	0	5	8	0
P-0034950-T01-IM6	21	18	0	0
P-0035033-T01-IM6	3	7	0	0
P-0035100-T01-IM6	24	0	9	0
P-0035103-T01-IM6	0	11	0	122
P-0035437-T01-IM6	12	1	24	11
P-0035452-T01-IM6	22	21	20	3
P-0035693-T01-IM6	7	2	5	7
P-0035742-T01-IM6	3	4	0	16
P-0035755-T01-IM6	14	18	15	0
P-0035916-T01-IM6	17	4	17	4
P-0036028-T01-IM6	12	32	0	2
P-0036050-T01-IM6	19	20	0	3
P-0036309-T01-IM6	17	5	16	1
P-0036334-T01-IM6	28	19	2	2
P-0036369-T01-IM6	19	20	9	5
P-0036380-T01-IM6	7	11	7	7
P-0036500-T01-IM6	36	20	0	5
P-0036503-T01-IM6	19	22	0	99
P-0036831-T01-IM6	18	8	13	4
P-0036852-T01-IM6	17	13	23	6
P-0036924-T01-IM6	7	0	38	0
P-0037227-T01-IM6	14	0	18	0
P-0037246-T01-IM6	8	16	0	2
P-0037410-T01-IM6	8	38	18	2
P-0037531-T01-IM6	0	3	20	87
P-0037582-T01-IM6	20	11	0	0
P-0037838-T02-IM6	14	7	10	0
P-0037867-T01-IM6	13	9	17	6
P-0037875-T01-IM6	10	12	19	4
P-0037898-T01-IM6	0	26	0	190
P-0038159-T01-IM6	18	0	15	0
P-0038378-T01-IM6	13	5	18	0
P-0038553-T01-IM6	13	34	16	2
P-0038612-T02-IM6	6	16	5	0
P-0038638-T01-IM6	8	3	15	2
P-0038880-T01-IM6	58	0	14	2
P-0038908-T01-IM6	7	0	13	1
P-0039283-T01-IM6	79	20	9	8
P-0039441-T01-IM6	11	10	10	0
P-0039443-T01-IM6	30	16	2	2
P-0039589-T01-IM6	34	54	29	12
P-0039800-T01-IM6	19	11	0	0
P-0039938-T01-IM6	23	23	10	2
P-0039999-T01-IM6	16	3	29	0
P-0040021-T01-IM6	16	0	15	2
P-0040107-T01-IM6	17	19	8	0
P-0040121-T01-IM6	12	6	27	5
P-0040182-T01-IM6	7	18	16	0
P-0040250-T01-IM6	18	23	0	0
P-0040355-T01-IM6	15	5	10	0
P-0040373-T01-IM6	16	12	19	4
P-0040484-T01-IM6	10	12	0	1
P-0040678-T01-IM6	39	9	1	0
P-0040787-T01-IM6	0	13	0	160
P-0041005-T01-IM6	18	34	20	1
P-0041144-T01-IM6	26	16	15	1
P-0041213-T01-IM6	12	13	1	0
P-0041436-T01-IM6	18	17	13	0
P-0041542-T01-IM6	10	6	0	5
P-0041648-T01-IM6	53	6	7	3
P-0041855-T01-IM6	27	22	29	1
P-0041986-T01-IM6	34	0	19	1
