Samples	SBS96A	SBS96B
P-0007517-T01-IM5	1.68E-01	1.69E-01
P-0007544-T01-IM5	5.00E-01	4.99E-01
P-0007561-T01-IM5	4.03E-01	4.04E-01
P-0007736-T01-IM5	1.77E-01	1.77E-01
P-0007810-T02-IM5	5.78E-01	5.77E-01
P-0007876-T01-IM5	4.87E-01	4.87E-01
P-0007918-T01-IM5	6.20E-01	6.20E-01
P-0007970-T01-IM5	2.34E-01	2.34E-01
P-0007980-T01-IM5	1.58E-01	1.58E-01
P-0007986-T01-IM5	1.95E-01	1.95E-01
P-0008009-T01-IM5	1.96E-01	1.96E-01
P-0008028-T01-IM5	1.28E-01	1.28E-01
P-0008050-T01-IM5	1.00E-02	1.00E-02
P-0008080-T01-IM5	6.03E-01	6.03E-01
P-0008228-T01-IM5	3.93E-01	3.93E-01
P-0008246-T02-IM5	6.65E-01	6.65E-01
P-0008360-T01-IM5	2.49E-01	2.48E-01
P-0008403-T01-IM5	1.97E-01	1.97E-01
P-0008434-T01-IM5	3.93E-01	3.93E-01
P-0008445-T01-IM5	1.99E-01	1.99E-01
P-0008450-T01-IM5	1.00E-02	1.00E-02
P-0008490-T01-IM5	1.47E-01	1.47E-01
P-0008492-T02-IM5	9.25E-02	9.29E-02
P-0008557-T02-IM5	5.03E-01	5.04E-01
P-0008659-T01-IM5	2.04E-01	2.04E-01
P-0008728-T01-IM5	5.01E-01	5.00E-01
P-0008733-T01-IM5	1.77E-01	1.77E-01
P-0008857-T01-IM5	4.21E-01	4.21E-01
P-0008859-T01-IM5	3.38E-02	3.38E-02
P-0008912-T01-IM5	2.06E-01	2.06E-01
P-0008942-T01-IM5	3.71E-01	3.71E-01
P-0008946-T01-IM5	2.68E-01	2.68E-01
P-0008963-T01-IM5	1.73E-01	1.72E-01
P-0008974-T01-IM5	4.06E-01	4.06E-01
P-0008997-T01-IM5	5.96E-01	5.96E-01
P-0008999-T01-IM5	2.54E-01	2.54E-01
P-0009072-T01-IM5	1.34E-01	1.34E-01
P-0009105-T01-IM5	4.49E-01	4.49E-01
P-0009108-T01-IM5	4.14E-01	4.14E-01
P-0009148-T01-IM5	2.69E-01	2.69E-01
P-0009177-T01-IM5	1.31E-01	1.31E-01
P-0009180-T01-IM5	7.15E-02	7.15E-02
P-0009189-T01-IM5	1.06E+00	1.06E+00
P-0009245-T01-IM5	3.71E-01	3.71E-01
P-0009292-T01-IM5	2.10E-01	2.10E-01
P-0009308-T01-IM5	1.71E-02	1.71E-02
P-0009311-T01-IM5	4.09E-01	4.09E-01
P-0009324-T02-IM5	3.28E-01	3.28E-01
P-0009349-T01-IM5	4.60E-01	4.61E-01
P-0009412-T01-IM5	1.00E-02	1.00E-02
P-0009527-T01-IM5	2.17E-01	2.17E-01
P-0009538-T01-IM5	2.14E-01	2.14E-01
P-0009589-T01-IM5	3.27E-02	3.27E-02
P-0009697-T01-IM5	8.93E-02	8.93E-02
P-0009736-T01-IM5	2.19E-01	2.19E-01
P-0009744-T01-IM5	2.76E-01	2.76E-01
P-0009747-T01-IM5	2.69E-01	2.69E-01
P-0009752-T01-IM5	1.87E+00	1.87E+00
P-0009855-T01-IM5	8.61E-02	8.61E-02
P-0009950-T01-IM5	5.46E-01	5.46E-01
P-0010008-T01-IM5	2.13E-01	2.13E-01
P-0010115-T01-IM5	4.44E-01	4.44E-01
P-0010140-T02-IM5	3.67E-02	3.67E-02
P-0010232-T01-IM5	2.86E-01	2.86E-01
P-0010249-T01-IM5	2.98E-01	2.98E-01
P-0010340-T01-IM5	7.06E-01	7.06E-01
P-0010495-T01-IM5	1.58E-01	1.58E-01
P-0010596-T02-IM6	3.20E-01	3.23E-01
P-0010605-T01-IM5	0.00E+00	0.00E+00
P-0010670-T01-IM5	2.04E-01	2.06E-01
P-0010726-T01-IM5	6.42E-01	6.42E-01
P-0010805-T01-IM5	1.72E-01	1.72E-01
P-0010818-T01-IM5	2.36E-01	2.36E-01
P-0010847-T02-IM6	2.52E-01	2.52E-01
P-0010848-T01-IM5	2.29E-01	2.30E-01
P-0010915-T01-IM5	3.11E-01	3.11E-01
P-0010937-T01-IM5	4.07E-01	4.09E-01
P-0010975-T01-IM5	7.78E-02	7.78E-02
P-0011047-T01-IM5	4.84E-01	4.83E-01
P-0011081-T01-IM5	1.80E-01	1.80E-01
P-0011216-T01-IM5	3.02E-01	3.02E-01
P-0011269-T01-IM5	3.40E-01	3.41E-01
P-0011297-T01-IM5	1.26E-01	1.26E-01
P-0011467-T01-IM5	3.59E-01	3.60E-01
P-0011476-T01-IM5	1.92E-01	1.92E-01
P-0011594-T01-IM5	1.82E-01	1.82E-01
P-0012080-T01-IM5	2.95E-01	2.95E-01
P-0012119-T01-IM5	2.02E-01	2.02E-01
P-0012194-T01-IM5	4.01E-01	4.01E-01
P-0012315-T01-IM5	2.42E-01	2.42E-01
P-0012361-T01-IM5	5.21E-01	5.20E-01
P-0012407-T01-IM5	3.50E-01	3.50E-01
P-0012408-T01-IM5	3.59E-01	3.59E-01
P-0012420-T01-IM5	3.23E-01	3.23E-01
P-0012446-T01-IM5	2.99E-01	3.00E-01
P-0012529-T01-IM5	1.77E-01	1.77E-01
P-0012550-T01-IM5	4.90E-01	4.90E-01
P-0012551-T01-IM5	2.40E-01	2.38E-01
P-0012780-T01-IM5	8.08E-02	8.08E-02
P-0012783-T01-IM5	4.07E-01	4.06E-01
P-0012856-T01-IM5	4.14E-01	4.15E-01
P-0012860-T01-IM5	8.79E-01	8.79E-01
P-0012865-T01-IM5	5.15E-01	5.15E-01
P-0012884-T01-IM5	7.36E-02	7.36E-02
P-0012924-T01-IM5	5.02E-02	5.02E-02
P-0012968-T01-IM5	2.18E-01	2.18E-01
P-0012999-T01-IM5	2.68E-01	2.68E-01
P-0013025-T01-IM5	2.31E-01	2.30E-01
P-0013111-T01-IM5	3.62E-01	3.62E-01
P-0013166-T01-IM5	5.67E-01	5.67E-01
P-0013180-T01-IM5	2.38E-01	2.38E-01
P-0013232-T01-IM5	4.87E-01	4.92E-01
P-0013274-T01-IM5	1.69E-01	1.69E-01
P-0013318-T01-IM5	2.29E-01	2.28E-01
P-0013341-T01-IM5	2.48E-01	2.48E-01
P-0013343-T01-IM5	2.62E-01	2.63E-01
P-0013356-T01-IM5	3.22E-01	3.22E-01
P-0013383-T01-IM5	4.61E-01	4.61E-01
P-0013389-T01-IM5	2.19E-01	2.18E-01
P-0013413-T01-IM5	4.26E-01	4.26E-01
P-0013448-T01-IM5	2.52E-01	2.52E-01
P-0013451-T01-IM5	8.02E-02	8.02E-02
P-0013481-T01-IM5	2.08E-01	2.08E-01
P-0013525-T01-IM5	1.74E-01	1.74E-01
P-0013596-T01-IM5	3.40E-01	3.40E-01
P-0013598-T01-IM5	4.23E-01	4.22E-01
P-0013659-T01-IM5	2.26E-01	2.26E-01
P-0013679-T01-IM5	3.51E-01	3.53E-01
P-0013765-T01-IM5	2.11E-01	2.12E-01
P-0013910-T01-IM5	4.24E-01	4.24E-01
P-0014047-T03-IM6	3.36E-01	3.36E-01
