Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0029332-T01-IM6	14	0.851	11.996	85.686%	3.497	55.292%	0.69305	0.845
P-0029387-T01-IM6	36	0.788	30.113	83.647%	7.309	64.104%	0.69881	0.762
P-0029475-T01-IM6	19	0.641	19.368	101.937%	4.693	90.317%	1.25156	0.59
P-0029504-T01-IM6	197	0.969	79.792	40.504%	17.504	25.867%	0.23046	0.967
P-0029544-T01-IM6	7	0.185	11.906	170.086%	3.079	116.375%	3.14532	0.105
P-0029614-T01-IM6	13	0.896	9.75	75.0%	2.407	46.323%	0.94818	0.89
P-0029764-T01-IM6	37	0.896	28.406	76.773%	6.459	45.558%	0.57974	0.888
P-0029804-T01-IM6	6	0.643	7.17	119.5%	2.166	76.58%	1.11873	0.62
P-0029808-T01-IM6	9	0.84	8.779	97.544%	2.347	56.923%	1.00546	0.834
P-0029950-T01-IM6	17	0.574	18.381	108.124%	5.074	88.327%	1.1356	0.526
P-0029954-T01-IM6	1	0.043	1.974	197.4%	1.033	103.3%	4.33069	0.01
P-0029989-T01-IM6	14	0.719	14.443	103.164%	3.38	72.062%	1.43193	0.688
P-0030112-T02-IM6	16	0.497	19.972	124.825%	4.611	108.682%	1.66075	0.424
P-0030135-T01-IM6	11	0.741	10.504	95.491%	2.517	69.809%	1.59466	0.711
P-0030209-T01-IM6	33	0.877	22.806	69.109%	5.221	48.268%	0.71002	0.864
P-0030237-T01-IM6	1	0.234	1.857	185.7%	0.975	97.5%	2.63671	0.214
P-0030248-T01-IM6	6	0.599	7.229	120.483%	1.996	81.486%	1.66857	0.564
P-0030255-T01-IM6	4	0.479	5.661	141.525%	1.776	88.8%	2.31102	0.445
P-0030290-T01-IM6	120	0.94	67.87	56.558%	15.577	35.624%	0.33283	0.935
P-0030388-T01-IM6	1	0.014	1.992	199.2%	1.042	104.2%	5.48636	-0.022
P-0030475-T01-IM6	30	0.835	26.259	87.53%	5.526	55.821%	0.89311	0.816
P-0030546-T01-IM6	24	0.848	23.623	98.429%	7.171	58.551%	0.802	0.846
P-0030816-T01-IM6	8	0.659	11.544	144.3%	3.944	77.348%	1.46707	0.651
P-0030878-T01-IM6	3	0.65	3.936	131.2%	1.333	76.961%	1.79554	0.637
P-0030903-T01-IM6	41	0.687	44.226	107.868%	9.973	78.598%	1.22347	0.648
P-0030939-T01-IM6	17	0.738	16.059	94.465%	3.995	69.544%	1.14121	0.709
P-0031177-T01-IM6	10	0.592	11.313	113.13%	3.296	82.4%	1.62778	0.556
P-0031286-T03-IM6	58	0.919	34.67	59.776%	7.048	40.692%	0.42445	0.909
P-0031640-T01-IM6	52	0.952	28.677	55.148%	5.197	30.518%	0.56564	0.947
P-0031794-T01-IM6	3	0.655	4.619	153.967%	1.777	79.47%	1.82569	0.652
P-0031887-T01-IM6	15	0.668	15.281	101.873%	4.885	74.496%	0.93434	0.644
P-0032079-T01-IM6	18	0.682	18.633	103.517%	4.611	76.85%	0.97027	0.646
P-0032185-T01-IM6	62	0.936	33.583	54.166%	7.189	35.247%	0.42275	0.929
P-0032392-T01-IM6	17	0.836	14.143	83.194%	3.173	55.235%	1.11265	0.819
P-0032398-T01-IM6	34	0.891	22.05	64.853%	4.743	48.92%	0.62506	0.876
P-0032404-T01-IM6	48	0.954	30.798	64.162%	7.585	37.644%	0.44366	0.954
P-0032570-T01-IM6	56	0.923	29.911	53.413%	6.856	38.691%	0.41814	0.914
P-0032586-T01-IM6	34	0.87	24.265	71.368%	5.245	51.431%	0.68729	0.854
P-0032617-T01-IM6	5	0.637	7.019	140.38%	2.045	77.294%	1.88315	0.619
P-0032650-T01-IM6	64	0.86	43.717	68.308%	10.007	57.206%	0.60954	0.841
P-0032691-T01-IM6	237	0.971	93.5	39.451%	17.48	23.746%	0.21147	0.968
P-0032739-T01-IM6	14	0.746	12.297	87.836%	3.324	67.851%	0.92281	0.719
P-0032746-T01-IM6	20	0.877	12.848	64.24%	3.047	49.429%	0.73671	0.861
P-0032774-T02-IM6	36	0.903	22.918	63.661%	5.488	43.118%	0.52059	0.894
P-0032780-T01-IM6	7	0.676	8.359	119.414%	2.212	73.733%	1.8215	0.652
P-0032800-T01-IM6	27	0.94	18.093	67.011%	4.355	39.268%	0.56728	0.939
P-0032812-T01-IM6	5	0.64	6.997	139.94%	2.04	77.105%	1.73846	0.622
P-0032845-T01-IM6	22	0.869	16.711	75.959%	4.033	49.643%	0.67192	0.858
P-0032896-T01-IM6	9	0.735	9.18	102.0%	2.446	67.84%	1.12626	0.713
P-0032937-T01-IM6	8	0.756	9.882	123.525%	3.072	68.692%	1.42646	0.75
P-0032984-T01-IM6	23	0.73	20.939	91.039%	6.094	68.563%	0.7351	0.706
P-0032996-T01-IM6	2	0.033	3.942	197.1%	1.522	107.622%	4.80528	-0.016
P-0033003-T01-IM6	71	0.959	31.577	44.475%	6.812	28.76%	0.27276	0.954
P-0033074-T01-IM6	9	0.696	9.21	102.333%	2.421	72.996%	1.4053	0.666
P-0033097-T01-IM6	18	0.692	16.99	94.389%	4.964	73.19%	1.12622	0.663
P-0033151-T01-IM6	15	0.643	17.067	113.78%	4.169	80.232%	1.22579	0.605
P-0033199-T01-IM6	14	0.725	14.65	104.643%	3.785	69.104%	1.1774	0.701
P-0033292-T01-IM6	6	0.37	8.678	144.633%	2.457	100.307%	2.08968	0.314
P-0033354-T01-IM6	3	0.043	5.863	195.433%	1.924	111.082%	3.91932	-0.017
P-0033363-T01-IM6	3	0.344	4.908	163.6%	1.658	95.725%	2.06003	0.307
P-0033378-T01-IM6	112	0.924	63.025	56.272%	14.564	38.326%	0.32175	0.916
P-0033470-T01-IM6	18	0.757	14.983	83.239%	4.624	65.393%	0.83586	0.736
P-0033610-T01-IM6	5	0.682	6.655	133.1%	1.954	73.854%	1.88644	0.668
P-0033649-T01-IM6	19	0.878	15.6	82.105%	4.251	51.176%	0.78325	0.872
P-0033654-T01-IM6	63	0.963	30.022	47.654%	5.742	27.343%	0.38038	0.959
P-0033782-T01-IM6	33	0.897	21.724	65.83%	4.752	44.313%	0.67106	0.886
P-0033795-T01-IM6	4	0.641	4.868	121.7%	1.536	76.8%	1.50618	0.621
P-0033935-T01-IM6	55	0.925	37.297	67.813%	8.619	40.406%	0.54785	0.921
P-0033950-T01-IM6	10	0.722	10.483	104.83%	2.935	69.179%	1.19572	0.701
P-0033965-T01-IM6	23	0.853	17.221	74.874%	4.54	52.423%	0.58946	0.84
P-0034034-T01-IM6	9	0.756	8.857	98.411%	2.722	66.018%	1.67928	0.742
P-0034042-T01-IM6	39	0.882	29.518	75.687%	8.951	51.253%	0.59155	0.878
P-0034168-T01-IM6	6	0.834	6.622	110.367%	2.185	63.076%	1.05897	0.835
P-0034178-T01-IM6	8	0.612	9.65	120.625%	2.551	80.67%	1.22585	0.578
P-0034234-T01-IM6	21	0.798	18.919	90.09%	4.072	63.594%	1.12633	0.773
P-0034282-T01-IM6	27	0.897	18.712	69.304%	4.125	44.225%	0.76313	0.886
P-0034283-T01-IM6	48	0.922	28.603	59.59%	5.978	38.913%	0.487	0.913
P-0034288-T01-IM6	16	0.812	15.101	94.381%	3.599	58.383%	1.28278	0.796
P-0034303-T01-IM6	19	0.877	12.851	67.637%	2.869	49.943%	0.73229	0.861
P-0034370-T01-IM6	17	0.92	12.562	73.894%	3.439	45.551%	0.57601	0.919
P-0034392-T01-IM6	6	0.688	8.467	141.117%	2.573	74.276%	1.9358	0.678
P-0034579-T01-IM6	13	0.779	13.78	106.0%	3.134	62.68%	1.5874	0.76
P-0034585-T01-IM6	43	0.868	28.334	65.893%	6.767	51.154%	0.5404	0.852
P-0034592-T01-IM6	14	0.626	14.983	107.021%	4.474	79.09%	0.87219	0.593
P-0034621-T01-IM6	25	0.884	15.713	62.852%	4.099	46.712%	0.63483	0.873
P-0034697-T01-IM6	23	0.913	15.873	69.013%	3.428	41.268%	0.79494	0.906
P-0034710-T01-IM6	4	0.096	7.531	188.275%	2.241	112.05%	3.82816	0.03
P-0035069-T01-IM6	1	0.021	1.987	198.7%	1.039	103.9%	5.03874	-0.014
P-0035134-T01-IM6	16	0.769	13.527	84.544%	3.847	64.117%	0.79547	0.747
P-0035224-T01-IM6	110	0.94	57.529	52.299%	11.977	34.15%	0.3697	0.933
P-0035430-T01-IM6	4	0.117	7.429	185.725%	2.219	110.95%	3.16821	0.053
P-0035511-T02-IM6	18	0.657	18.401	102.228%	5.673	75.809%	0.95531	0.629
P-0035523-T01-IM6	12	0.697	13.609	113.408%	3.252	72.717%	1.64729	0.668
P-0035564-T01-IM6	18	0.853	14.002	77.789%	3.157	52.617%	0.87062	0.836
P-0035784-T01-IM6	58	0.849	42.784	73.766%	9.927	54.156%	0.6348	0.831
P-0035813-T01-IM6	1	0.043	1.974	197.4%	1.033	103.3%	4.33069	0.01
P-0035910-T01-IM6	121	0.973	54.532	45.068%	12.49	27.647%	0.27633	0.973
P-0035974-T01-IM6	65	0.93	40.552	62.388%	7.291	38.806%	0.60683	0.921
P-0036089-T01-IM6	10	0.544	12.217	122.17%	3.3	88.196%	1.40456	0.5
P-0036095-T01-IM6	55	0.912	32.39	58.891%	7.546	40.984%	0.46347	0.903
P-0036159-T01-IM6	14	0.807	12.078	86.271%	3.239	59.136%	0.70087	0.791
P-0036240-T01-IM6	16	0.906	9.805	61.281%	2.325	42.448%	0.6501	0.896
P-0036241-T01-IM6	19	0.79	17.426	91.716%	4.147	61.82%	0.97149	0.768
P-0036260-T01-IM6	24	0.839	20.402	85.008%	4.81	54.463%	0.7784	0.824
P-0036578-T01-IM6	4	0.499	5.586	139.65%	2.123	86.671%	1.7433	0.477
P-0036680-T01-IM6	19	0.801	17.55	92.368%	3.889	60.736%	1.16524	0.779
P-0036712-T01-IM6	13	0.841	10.606	81.585%	2.964	55.04%	0.56991	0.831
P-0036733-T05-IM6	83	0.958	40.573	48.883%	7.321	29.666%	0.43404	0.952
P-0036794-T01-IM6	13	0.667	15.192	116.862%	3.904	75.133%	1.71842	0.638
P-0036809-T01-IM6	157	0.979	59.545	37.927%	10.131	20.356%	0.23555	0.977
P-0036862-T01-IM6	9	0.669	9.979	110.878%	2.701	74.912%	1.39397	0.641
P-0036873-T01-IM6	13	0.824	11.917	91.669%	2.838	56.76%	1.0608	0.809
P-0037010-T01-IM6	3	0.629	4.003	133.433%	1.357	78.346%	1.6129	0.614
P-0037110-T01-IM6	108	0.974	50.971	47.195%	8.9	24.08%	0.34681	0.972
P-0037116-T01-IM6	6	0.552	8.324	138.733%	2.373	83.898%	2.09698	0.522
P-0037118-T01-IM6	21	0.865	17.131	81.576%	4.079	50.594%	0.88064	0.855
P-0037130-T01-IM6	53	0.951	32.632	61.57%	6.864	34.192%	0.46731	0.948
P-0037309-T01-IM6	26	0.9	17.456	67.138%	3.796	43.543%	0.62074	0.889
P-0037336-T01-IM6	7	0.705	8.477	121.1%	2.361	71.187%	1.45353	0.688
P-0037380-T01-IM6	14	0.84	12.787	91.336%	3.584	56.668%	0.92528	0.833
P-0037408-T01-IM6	61	0.954	34.855	57.139%	8.004	34.036%	0.35415	0.952
P-0037493-T01-IM6	1	0.043	1.974	197.4%	1.033	103.3%	4.33069	0.01
P-0037606-T02-IM6	43	0.938	22.715	52.826%	4.983	34.634%	0.415	0.932
P-0037685-T01-IM6	30	0.757	29.593	98.643%	6.426	69.293%	1.21257	0.727
P-0037749-T01-IM6	15	0.793	11.469	76.46%	2.952	64.418%	0.87328	0.766
P-0037755-T01-IM6	11	0.847	11.482	104.382%	3.55	60.006%	0.90088	0.847
P-0037873-T01-IM6	35	0.926	21.604	61.726%	4.655	38.135%	0.46637	0.919
P-0037913-T01-IM6	48	0.931	27.032	56.317%	5.708	36.542%	0.38422	0.923
P-0037955-T01-IM6	15	0.875	12.123	80.82%	4.399	56.323%	0.59313	0.876
P-0038079-T01-IM6	2	0.101	3.825	191.25%	1.483	104.864%	3.21592	0.057
P-0038279-T01-IM6	45	0.946	28.444	63.209%	6.449	36.452%	0.4546	0.945
P-0038372-T01-IM6	34	0.925	21.422	63.006%	4.786	38.82%	0.53947	0.919
P-0038408-T01-IM6	18	0.771	16.494	91.633%	3.71	67.735%	1.09316	0.743
P-0038509-T01-IM6	8	0.731	10.44	130.5%	3.162	70.704%	1.34125	0.723
P-0038676-T01-IM6	2	0.027	3.954	197.7%	1.525	107.834%	4.53821	-0.023
P-0038722-T01-IM6	95	0.932	53.141	55.938%	10.569	37.965%	0.39144	0.923
P-0038799-T01-IM6	45	0.884	29.341	65.202%	6.488	49.908%	0.61808	0.868
P-0038817-T01-IM6	8	0.822	7.914	98.925%	2.223	59.412%	1.11033	0.814
