Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0008997-T01-IM5	40	22	5	0
P-0008999-T01-IM5	11	0	1	1
P-0009072-T01-IM5	4	0	0	2
P-0009105-T01-IM5	16	5	15	0
P-0009108-T01-IM5	21	0	22	0
P-0009148-T01-IM5	2	7	0	3
P-0009177-T01-IM5	0	7	0	0
P-0009180-T01-IM5	0	0	0	2
P-0009189-T01-IM5	0	55	22	0
P-0009245-T01-IM5	7	14	7	0
P-0009292-T01-IM5	3	0	1	4
P-0009308-T01-IM5	0	0	0	1
P-0009311-T01-IM5	5	10	16	0
P-0009324-T02-IM5	0	18	5	0
P-0009349-T01-IM5	17	0	23	0
P-0009412-T01-IM5	0	0	0	1
P-0009527-T01-IM5	3	7	3	2
P-0009538-T01-IM5	3	1	0	5
P-0009589-T01-IM5	0	0	0	1
P-0009697-T01-IM5	0	0	0	3
P-0009736-T01-IM5	7	0	7	2
P-0009744-T01-IM5	4	7	8	0
P-0009747-T01-IM5	25	2	1	0
P-0009752-T01-IM5	113	92	52	0
P-0009855-T01-IM5	1	0	1	1
P-0009950-T01-IM5	54	0	18	0
P-0010008-T01-IM5	0	0	4	3
P-0010115-T01-IM5	30	0	27	0
P-0010140-T02-IM5	0	0	0	2
P-0010232-T01-IM5	3	2	9	2
P-0010249-T01-IM5	10	0	10	0
P-0010340-T01-IM5	3	46	9	0
P-0010495-T01-IM5	0	0	4	1
P-0010596-T02-IM6	23	2	3	4
P-0010605-T01-IM5	1	0	0	0
P-0010670-T01-IM5	0	8	4	3
P-0010726-T01-IM5	54	0	41	0
P-0010805-T01-IM5	5	4	10	0
P-0010818-T01-IM5	1	10	3	1
P-0010847-T02-IM6	9	11	0	0
P-0010848-T01-IM5	3	4	6	1
P-0010915-T01-IM5	9	0	9	1
P-0010937-T01-IM5	13	13	11	0
P-0010975-T01-IM5	0	1	0	2
P-0011047-T01-IM5	1	31	5	0
P-0011081-T01-IM5	0	4	8	0
P-0011216-T01-IM5	7	0	10	3
P-0011269-T01-IM5	14	10	5	4
P-0011297-T01-IM5	3	3	0	0
P-0011467-T01-IM5	51	0	16	0
P-0011476-T01-IM5	4	1	0	2
P-0011594-T01-IM5	10	0	0	3
P-0012080-T01-IM5	8	13	7	0
P-0012119-T01-IM5	11	1	4	0
P-0012194-T01-IM5	10	5	22	0
P-0012315-T01-IM5	0	11	3	0
P-0012361-T01-IM5	7	38	0	0
P-0012407-T01-IM5	1	12	12	0
P-0012408-T01-IM5	9	3	5	0
P-0012420-T01-IM5	0	10	0	3
P-0012446-T01-IM5	6	22	0	1
P-0012529-T01-IM5	2	2	2	4
P-0012550-T01-IM5	26	0	33	0
P-0012551-T01-IM5	6	0	0	6
P-0012780-T01-IM5	0	0	0	7
P-0012783-T01-IM5	8	9	0	4
P-0012856-T01-IM5	13	19	8	0
P-0012860-T01-IM5	38	44	21	0
P-0012865-T01-IM5	28	8	11	0
P-0012884-T01-IM5	0	0	1	1
P-0012924-T01-IM5	0	0	0	1
P-0012968-T01-IM5	4	6	0	0
P-0012999-T01-IM5	8	13	0	0
P-0013025-T01-IM5	5	7	0	2
P-0013111-T01-IM5	0	9	12	0
P-0013166-T01-IM5	4	41	0	0
P-0013180-T01-IM5	7	5	0	1
P-0013232-T01-IM5	14	31	3	0
P-0013274-T01-IM5	5	3	0	0
P-0013318-T01-IM5	0	0	5	3
P-0013341-T01-IM5	4	0	15	1
