Samples	SBS96A	SBS96B
P-0016904-T01-IM6	2.88E-01	2.90E-01
P-0017300-T01-IM6	1.90E-01	1.90E-01
P-0017681-T01-IM6	6.01E-02	6.01E-02
P-0017713-T01-IM6	3.67E-02	3.67E-02
P-0017883-T01-IM6	9.53E-02	9.52E-02
P-0018005-T01-IM6	1.28E-01	1.28E-01
P-0018100-T01-IM6	4.22E-01	4.22E-01
P-0018106-T01-IM6	0.00E+00	0.00E+00
P-0018204-T01-IM6	1.65E-01	1.65E-01
P-0018224-T01-IM6	1.59E-01	1.59E-01
P-0018353-T01-IM6	8.47E-02	8.47E-02
P-0018723-T01-IM6	7.18E-02	7.18E-02
P-0019071-T01-IM6	1.53E-01	1.53E-01
P-0019093-T01-IM6	0.00E+00	0.00E+00
P-0019386-T01-IM6	2.12E-01	2.12E-01
P-0019598-T01-IM6	1.98E-01	1.97E-01
P-0019649-T01-IM6	1.26E+00	1.26E+00
P-0019650-T01-IM6	1.19E-01	1.19E-01
P-0019658-T01-IM6	0.00E+00	0.00E+00
P-0019741-T01-IM6	1.86E-01	1.86E-01
P-0020009-T01-IM6	1.36E-01	1.35E-01
P-0020227-T01-IM6	2.32E-01	2.32E-01
P-0020271-T01-IM6	2.39E-02	2.19E-02
P-0020509-T01-IM6	2.51E-01	2.51E-01
P-0020754-T01-IM6	9.47E-02	9.47E-02
P-0021505-T01-IM6	2.22E-01	2.22E-01
P-0021670-T01-IM6	1.79E-01	1.79E-01
P-0021692-T01-IM6	1.09E-01	1.09E-01
P-0021856-T01-IM6	1.02E-01	9.95E-02
P-0021897-T01-IM6	0.00E+00	0.00E+00
P-0022010-T01-IM6	2.90E-01	2.90E-01
P-0023250-T01-IM6	2.51E-01	2.51E-01
P-0023555-T01-IM6	1.36E-01	1.36E-01
P-0023857-T01-IM6	2.96E-01	2.96E-01
P-0023968-T01-IM6	1.28E-01	1.29E-01
P-0024106-T01-IM6	1.89E-01	1.89E-01
P-0024289-T01-IM6	0.00E+00	0.00E+00
P-0025003-T01-IM6	2.45E-01	2.45E-01
P-0025195-T01-IM6	1.06E-01	1.06E-01
P-0025240-T01-IM6	2.04E-01	2.04E-01
P-0025248-T01-IM6	1.15E-01	1.15E-01
P-0025312-T01-IM6	2.28E-01	2.28E-01
P-0025648-T01-IM6	4.53E-01	4.53E-01
P-0025701-T01-IM6	4.18E-02	4.09E-02
P-0025885-T01-IM6	2.28E-01	2.28E-01
P-0026221-T01-IM6	0.00E+00	0.00E+00
P-0026297-T01-IM6	1.22E+00	1.21E+00
P-0026714-T01-IM6	3.59E-02	3.59E-02
P-0027652-T01-IM6	6.74E-01	6.74E-01
P-0027698-T01-IM6	3.95E-01	3.95E-01
P-0028034-T01-IM6	2.64E-01	2.64E-01
P-0028141-T01-IM6	1.72E-01	1.72E-01
P-0028144-T01-IM6	0.00E+00	0.00E+00
P-0028200-T01-IM6	2.06E-01	2.06E-01
P-0028472-T01-IM6	3.37E-01	3.36E-01
P-0028495-T01-IM6	2.54E-01	2.55E-01
P-0028774-T01-IM6	1.38E-01	1.38E-01
P-0028924-T01-IM6	2.27E-01	2.26E-01
P-0029429-T01-IM6	0.00E+00	0.00E+00
P-0029690-T01-IM6	7.87E-01	7.87E-01
P-0029778-T01-IM6	1.61E-01	1.60E-01
P-0029972-T01-IM6	1.03E+00	1.03E+00
P-0029983-T01-IM6	1.45E-01	1.45E-01
P-0030260-T01-IM6	1.53E-01	1.53E-01
P-0030322-T01-IM6	5.30E-01	5.30E-01
P-0031042-T01-IM6	4.00E-02	4.00E-02
P-0031094-T01-IM6	0.00E+00	0.00E+00
P-0031195-T01-IM6	1.24E-01	1.24E-01
P-0031211-T01-IM6	2.13E-01	2.13E-01
P-0031271-T01-IM6	9.90E-02	9.90E-02
P-0031436-T01-IM6	0.00E+00	0.00E+00
P-0031501-T01-IM6	2.99E-01	2.99E-01
P-0032113-T01-IM6	3.57E-01	3.57E-01
P-0032161-T02-IM6	1.46E-01	1.46E-01
P-0032443-T01-IM6	2.67E-01	2.67E-01
P-0032456-T01-IM6	0.00E+00	0.00E+00
P-0032495-T01-IM6	0.00E+00	0.00E+00
P-0032496-T01-IM6	4.56E-01	4.56E-01
P-0032497-T01-IM6	2.06E-01	2.06E-01
P-0032548-T01-IM6	4.11E-01	4.11E-01
P-0032567-T01-IM6	2.17E-01	2.17E-01
P-0032761-T01-IM6	1.05E-01	1.05E-01
P-0032818-T01-IM6	4.43E-01	4.43E-01
P-0032990-T01-IM6	1.51E-01	1.50E-01
P-0032994-T01-IM6	2.09E-01	2.09E-01
P-0033016-T01-IM6	5.87E-01	5.87E-01
P-0033133-T01-IM6	4.93E-01	4.91E-01
P-0033467-T01-IM6	0.00E+00	0.00E+00
P-0033583-T01-IM6	1.23E-01	1.23E-01
P-0033682-T01-IM6	3.19E-01	3.20E-01
P-0034775-T01-IM6	0.00E+00	0.00E+00
P-0034862-T01-IM6	2.23E-01	2.23E-01
P-0034915-T01-IM6	9.47E-01	9.47E-01
P-0035146-T01-IM6	4.93E-01	4.93E-01
P-0035147-T01-IM6	4.73E-01	4.72E-01
P-0035281-T01-IM6	6.75E-01	6.75E-01
P-0035770-T01-IM6	4.60E-01	4.60E-01
P-0035790-T01-IM6	1.25E+00	1.25E+00
P-0036123-T01-IM6	8.14E-01	8.14E-01
P-0036230-T01-IM6	2.26E-01	2.23E-01
P-0036297-T01-IM6	3.32E-01	3.32E-01
P-0036505-T01-IM6	0.00E+00	0.00E+00
P-0036664-T01-IM6	0.00E+00	0.00E+00
P-0036740-T03-IM6	1.59E-01	1.59E-01
P-0036868-T01-IM6	1.09E-01	1.09E-01
P-0037690-T01-IM6	4.32E-01	4.31E-01
P-0037917-T01-IM6	1.63E-01	1.63E-01
P-0038016-T01-IM6	1.55E-01	1.52E-01
P-0038084-T01-IM6	3.03E-01	3.04E-01
P-0038304-T01-IM6	2.22E-01	2.22E-01
P-0038424-T01-IM6	3.26E-01	3.26E-01
P-0038520-T01-IM6	1.19E-01	1.18E-01
P-0038755-T01-IM6	4.03E-01	4.03E-01
