Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0015048-T01-IM6	1.38E-01	1.49E-01	2.08E-01	3.31E-01	3.55E-01	3.13E-01
P-0015293-T01-IM6	0.00E+00	2.02E-01	6.00E-01	4.76E-01	4.44E-01	6.21E-01
P-0015626-T01-IM6	8.71E-01	1.36E+00	1.18E+00	1.26E+00	5.35E-01	7.71E-01
P-0015869-T01-IM6	1.21E+00	1.11E+00	4.04E-01	4.34E-01	4.76E-01	5.11E-01
P-0015885-T01-IM6	1.70E-01	5.15E-01	1.17E+00	9.03E-01	8.29E-01	5.33E-01
P-0016053-T01-IM6	1.44E-01	1.50E-01	4.14E-01	2.86E-01	4.80E-01	2.05E-01
P-0016099-T01-IM6	3.33E+00	3.04E+00	2.09E+00	1.45E+00	2.21E+00	2.32E-01
P-0016247-T01-IM6	1.16E-01	6.00E-02	4.01E-01	3.95E-01	5.58E-01	3.17E-01
P-0016341-T01-IM6	1.43E-01	4.86E-02	4.22E-01	3.56E-01	3.00E-01	3.24E-01
P-0016505-T01-IM6	5.25E-01	5.58E-01	3.07E-01	2.86E-01	2.28E-01	2.64E-01
P-0016801-T01-IM6	0.00E+00	1.94E-01	5.96E-01	4.42E-01	4.82E-01	3.80E-01
P-0016825-T01-IM6	5.34E-01	5.49E-01	1.71E-01	2.53E-01	1.12E-01	6.82E-02
P-0016904-T01-IM6	5.09E-02	2.84E-01	1.14E-01	3.76E-01	4.17E-01	2.91E-01
P-0017300-T01-IM6	1.31E-01	1.55E-01	1.11E-01	2.95E-01	4.03E-01	2.43E-01
P-0017681-T01-IM6	0.00E+00	1.45E-01	1.86E-01	4.18E-01	5.41E-01	3.24E-01
P-0017713-T01-IM6	1.00E-02	2.70E-01	7.97E-01	5.10E-01	7.97E-01	4.19E-01
P-0017883-T01-IM6	0.00E+00	2.36E-01	4.26E-01	5.00E-01	4.40E-01	2.09E-01
P-0018005-T01-IM6	0.00E+00	3.33E-01	5.87E-01	6.87E-01	6.29E-01	2.25E-01
P-0018100-T01-IM6	4.23E-01	1.27E+00	4.86E+00	2.57E+00	4.99E+00	2.76E+00
P-0018106-T01-IM6	0.00E+00	4.00E-02	1.71E-01	3.08E-01	3.83E-01	3.23E-01
P-0018204-T01-IM6	1.30E-01	1.88E-01	7.39E-01	3.53E-01	8.22E-01	5.53E-01
P-0018224-T01-IM6	1.42E-01	1.57E-01	2.42E-01	2.24E-01	3.35E-01	2.57E-01
P-0018353-T01-IM6	0.00E+00	2.04E-01	4.03E-01	4.09E-01	4.52E-01	3.26E-01
P-0018723-T01-IM6	6.64E-02	3.55E-02	3.79E-02	3.55E-02	7.69E-02	9.46E-02
P-0019071-T01-IM6	2.00E-02	2.12E-01	3.61E-01	3.62E-01	5.15E-01	4.79E-01
P-0019093-T01-IM6	0.00E+00	1.82E-01	3.04E-01	4.56E-01	5.71E-01	4.36E-01
P-0019386-T01-IM6	2.07E-01	1.87E-01	3.57E-01	3.39E-01	4.21E-01	3.99E-01
P-0019598-T01-IM6	1.56E-01	1.98E-01	3.19E-01	2.38E-01	3.01E-01	2.71E-01
P-0019649-T01-IM6	1.69E+00	2.00E+00	1.76E+00	1.66E+00	8.24E-01	1.02E+00
P-0019650-T01-IM6	1.00E-01	7.47E-02	3.22E-01	3.62E-01	4.30E-01	3.65E-01
P-0019658-T01-IM6	8.92E-01	8.91E-01	2.12E-01	1.05E-01	3.36E-01	2.01E-01
P-0019741-T01-IM6	0.00E+00	3.08E-01	6.82E-01	6.56E-01	5.08E-01	2.45E-01
P-0020009-T01-IM6	1.03E-01	9.81E-02	3.18E-01	3.03E-01	3.77E-01	3.54E-01
P-0020227-T01-IM6	1.15E-01	2.77E-01	3.29E-01	2.98E-01	5.83E-01	5.59E-01
P-0020271-T01-IM6	0.00E+00	2.32E-01	4.91E-01	5.49E-01	5.98E-01	4.71E-01
P-0020509-T01-IM6	1.36E-01	2.33E-01	4.51E-01	4.26E-01	1.71E-01	2.41E-01
P-0020754-T01-IM6	4.45E-02	1.52E-01	2.07E-01	2.50E-01	3.34E-01	2.79E-01
P-0021505-T01-IM6	1.60E-01	2.97E-01	5.34E-01	4.55E-01	5.31E-01	4.07E-01
P-0021670-T01-IM6	6.46E-02	1.63E-01	4.64E-02	3.31E-01	3.65E-01	1.93E-01
P-0021692-T01-IM6	2.43E-02	1.50E-01	1.14E-01	2.99E-01	4.01E-01	3.55E-01
P-0021856-T01-IM6	0.00E+00	1.26E-01	1.77E-01	3.34E-01	3.23E-01	2.93E-01
P-0021897-T01-IM6	0.00E+00	5.95E-02	1.93E-01	1.38E-01	2.91E-01	1.86E-01
P-0022010-T01-IM6	0.00E+00	4.65E-01	8.48E-01	8.59E-01	4.47E-01	3.65E-01
P-0023250-T01-IM6	2.25E-01	2.31E-01	3.95E-01	2.14E-01	4.44E-01	4.88E-01
P-0023555-T01-IM6	1.41E-02	3.47E-01	8.20E-01	6.83E-01	4.94E-01	5.29E-01
P-0023857-T01-IM6	1.49E-01	2.93E-01	5.43E-01	4.33E-01	4.61E-01	4.83E-01
P-0023968-T01-IM6	3.43E-02	1.86E-01	3.86E-01	2.57E-01	1.67E-01	3.13E-01
P-0024106-T01-IM6	1.55E-01	5.09E-02	1.67E-01	2.26E-01	2.23E-01	2.82E-01
P-0024289-T01-IM6	0.00E+00	1.63E-01	4.46E-01	4.87E-01	7.22E-01	6.49E-01
P-0025003-T01-IM6	6.20E-02	2.41E-01	1.79E-01	2.24E-01	3.38E-01	2.55E-01
P-0025195-T01-IM6	4.64E-02	1.70E-01	5.76E-01	3.50E-01	4.82E-01	4.53E-01
P-0025240-T01-IM6	1.45E-01	2.34E-01	5.24E-01	5.32E-01	4.43E-01	4.07E-01
P-0025248-T01-IM6	0.00E+00	2.12E-01	4.68E-01	3.55E-01	4.31E-01	2.35E-01
P-0025312-T01-IM6	5.80E-02	2.53E-01	1.43E-01	3.41E-01	4.46E-01	4.09E-01
P-0025648-T01-IM6	1.26E+00	1.35E+00	5.22E-01	4.65E-01	2.24E-01	1.04E-01
P-0025701-T01-IM6	0.00E+00	1.36E-01	2.41E-01	3.47E-01	3.16E-01	2.94E-01
P-0025885-T01-IM6	1.63E-01	2.78E-01	4.93E-01	4.45E-01	3.79E-01	2.16E-01
P-0026221-T01-IM6	0.00E+00	1.00E-01	3.86E-01	3.59E-01	4.81E-01	3.73E-01
P-0026297-T01-IM6	1.31E+00	2.54E+00	4.84E+00	4.36E+00	5.07E+00	2.50E+00
