Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0048176-T01-IM6	1.52E-01	1.78E-01	4.33E-01	3.22E-01	3.80E-01	3.31E-01
P-0048238-T01-IM6	1.41E-02	1.24E-01	1.82E-01	3.17E-01	5.69E-01	5.00E-01
P-0048255-T01-IM6	4.00E-02	2.97E-01	3.37E-01	5.59E-01	7.85E-01	5.65E-01
P-0048289-T01-IM6	1.26E-01	1.41E-02	3.27E-01	3.94E-01	3.75E-01	1.12E-01
P-0048521-T01-IM6	1.00E-02	1.32E-01	1.35E-01	3.49E-01	5.73E-01	4.80E-01
P-0048589-T01-IM6	1.36E-01	1.26E-01	2.76E-01	1.87E-01	5.26E-01	5.73E-01
P-0048620-T01-IM6	2.61E-02	2.69E-01	3.45E-01	4.27E-01	5.69E-01	5.71E-01
P-0048757-T01-IM6	7.79E-02	4.88E-01	4.73E-01	6.45E-01	1.37E-01	1.92E-01
P-0048915-T01-IM6	0.00E+00	1.61E-01	2.69E-01	2.40E-01	5.02E-01	5.04E-01
P-0048984-T01-IM6	0.00E+00	5.00E-02	3.11E-01	3.73E-01	4.32E-01	2.32E-01
P-0049047-T01-IM6	4.01E+00	3.80E+00	4.32E+00	3.07E+00	4.62E+00	1.57E+00
P-0049073-T01-IM6	1.71E+00	1.65E+00	7.31E-01	5.03E-01	1.02E+00	1.00E+00
P-0049274-T01-IM6	5.62E-01	5.71E-01	2.78E-01	1.39E-01	2.90E-01	4.00E-01
P-0049291-T01-IM6	0.00E+00	3.26E-01	6.48E-01	7.24E-01	3.99E-01	2.58E-01
P-0049371-T01-IM6	5.55E-01	6.50E-01	2.56E-01	2.66E-01	2.38E-01	5.80E-02
P-0049473-T01-IM6	2.00E-02	2.52E-01	4.90E-01	4.91E-01	3.05E-01	3.76E-01
P-0049485-T01-IM6	1.61E-01	3.83E-01	7.58E-01	5.18E-01	7.14E-01	6.38E-01
P-0049760-T01-IM6	2.61E+00	4.40E+00	3.56E+00	3.32E+00	8.23E-01	5.58E-01
P-0049775-T01-IM6	1.86E-01	3.54E-01	4.16E-01	4.58E-01	2.64E-01	2.56E-01
P-0049788-T01-IM6	2.91E-01	2.59E-01	1.34E-01	6.09E-02	1.18E-01	1.58E-01
P-0049805-T01-IM6	2.00E-02	2.61E-01	3.46E-01	3.63E-01	3.40E-01	3.97E-01
P-0049931-T01-IM6	1.49E-01	3.16E-01	4.81E-01	5.01E-01	6.20E-01	5.23E-01
P-0050111-T01-IM6	1.76E-01	2.55E-01	5.17E-01	4.36E-01	4.26E-01	2.48E-01
P-0050149-T01-IM6	2.12E-01	8.80E-02	3.05E-01	2.98E-01	5.93E-01	5.62E-01
