Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0029983-T01-IM6	0	0	0	0	9	3
P-0030260-T01-IM6	0	3	10	8	1	5
P-0030322-T01-IM6	58	54	0	0	5	13
P-0031042-T01-IM6	0	0	12	5	10	1
P-0031094-T01-IM6	0	0	3	8	14	0
P-0031195-T01-IM6	0	0	2	0	3	12
P-0031211-T01-IM6	0	5	0	25	0	0
P-0031271-T01-IM6	0	0	1	6	3	11
P-0031436-T01-IM6	0	0	4	1	11	9
P-0031501-T01-IM6	0	12	21	20	10	3
P-0032113-T01-IM6	2	5	18	20	1	0
P-0032161-T02-IM6	2	1	8	13	5	11
P-0032443-T01-IM6	0	3	16	4	0	0
P-0032456-T01-IM6	0	0	6	4	7	0
P-0032495-T01-IM6	0	0	1	6	3	23
P-0032496-T01-IM6	222	65	0	12	6	0
P-0032497-T01-IM6	0	2	0	5	7	7
P-0032548-T01-IM6	61	50	0	0	1	8
P-0032567-T01-IM6	2	2	4	23	9	1
P-0032761-T01-IM6	0	1	1	3	18	0
P-0032818-T01-IM6	91	156	2	3	0	0
P-0032990-T01-IM6	2	1	0	1	7	6
P-0032994-T01-IM6	0	4	6	12	6	12
P-0033016-T01-IM6	37	14	14	11	0	0
P-0033133-T01-IM6	6	7	108	24	0	0
P-0033467-T01-IM6	0	0	7	7	6	5
P-0033583-T01-IM6	0	3	9	4	4	2
P-0033682-T01-IM6	1	8	0	18	4	0
P-0034775-T01-IM6	0	0	0	4	6	5
P-0034862-T01-IM6	2	2	0	2	9	2
P-0034915-T01-IM6	42	8	146	70	36	17
P-0035146-T01-IM6	88	27	8	4	0	21
P-0035147-T01-IM6	81	16	2	1	0	6
P-0035281-T01-IM6	51	71	0	3	6	0
P-0035770-T01-IM6	254	64	3	9	5	23
P-0035790-T01-IM6	55	34	284	78	0	56
P-0036123-T01-IM6	62	98	0	16	0	0
P-0036230-T01-IM6	0	4	0	1	7	9
P-0036297-T01-IM6	73	33	7	8	0	0
P-0036505-T01-IM6	0	0	3	3	13	0
P-0036664-T01-IM6	0	0	12	3	4	2
P-0036740-T03-IM6	0	2	2	4	4	6
P-0036868-T01-IM6	0	0	3	8	1	5
P-0037690-T01-IM6	5	11	42	21	3	0
P-0037917-T01-IM6	2	0	0	3	3	0
P-0038016-T01-IM6	0	5	2	15	6	2
P-0038084-T01-IM6	0	10	2	27	2	3
P-0038304-T01-IM6	0	3	2	6	15	13
P-0038424-T01-IM6	0	8	6	25	8	10
P-0038520-T01-IM6	0	3	9	8	9	18
P-0038755-T01-IM6	18	19	0	3	0	6
P-0038944-T01-IM6	0	9	1	9	0	6
P-0039004-T01-IM6	0	3	8	4	6	2
P-0039054-T01-IM6	155	31	234	43	39	0
P-0039184-T01-IM6	0	2	6	10	0	0
P-0039231-T01-IM6	0	0	5	15	3	0
P-0039294-T01-IM6	0	4	4	10	9	2
P-0039466-T01-IM6	0	2	12	10	8	8
P-0039477-T01-IM6	0	4	2	18	5	0
P-0039599-T01-IM6	1	0	0	0	3	4
P-0039704-T01-IM6	274	77	1	5	2	2
P-0039773-T01-IM6	27	26	0	0	3	0
P-0039854-T01-IM6	0	7	0	12	4	8
P-0040023-T01-IM6	48	52	183	177	13	31
P-0040086-T01-IM6	58	6	13	1	0	5
P-0040149-T01-IM6	1	3	0	5	8	8
P-0040228-T01-IM6	3	1	2	10	6	2
P-0040284-T01-IM6	70	25	5	2	3	1
P-0040471-T01-IM6	0	0	7	1	18	1
P-0040549-T01-IM6	0	0	7	8	0	5
P-0040575-T01-IM6	0	10	0	27	7	0
P-0040701-T01-IM6	0	5	4	2	0	8
P-0040823-T01-IM6	0	2	3	3	12	34
P-0040828-T01-IM6	110	182	112	90	0	0
P-0040884-T01-IM6	0	0	3	4	6	2
P-0040892-T01-IM6	0	0	3	10	15	0
P-0040992-T01-IM6	0	4	0	19	17	0
P-0041146-T01-IM6	150	14	14	7	9	11
P-0041318-T01-IM6	19	0	4	3	0	2
P-0041346-T01-IM6	171	19	6	1	5	16
P-0041347-T01-IM6	0	1	1	2	10	0
P-0041596-T01-IM6	0	3	0	4	17	2
P-0042199-T01-IM6	115	131	21	36	0	0
P-0042256-T01-IM6	45	27	0	0	1	2
P-0042508-T01-IM6	0	2	1	4	0	1
P-0042644-T01-IM6	0	9	6	5	16	0
P-0042702-T01-IM6	41	40	0	0	2	0
P-0042762-T01-IM6	0	3	12	0	32	33
P-0042782-T01-IM6	0	2	4	2	8	3
P-0042819-T01-IM6	0	0	0	7	14	2
P-0043033-T02-IM6	1	2	1	19	4	8
P-0043071-T01-IM6	18	17	8	4	0	0
P-0043596-T01-IM6	369	263	47	62	6	5
P-0043613-T01-IM6	0	11	0	32	20	0
P-0043842-T01-IM6	165	59	140	65	0	0
P-0043909-T01-IM6	0	0	6	4	10	4
P-0043940-T01-IM6	0	0	0	3	7	10
P-0044312-T01-IM6	0	1	1	4	6	9
P-0044767-T01-IM6	1	0	1	4	4	0
P-0044790-T01-IM6	5	2	120	32	0	0
P-0044987-T01-IM6	2	7	2	37	1	27
P-0045120-T01-IM6	10	19	0	2	0	0
P-0045458-T01-IM6	84	157	78	52	0	0
P-0045533-T01-IM6	0	3	7	4	4	6
P-0045671-T01-IM6	2	1	0	4	3	3
P-0045738-T01-IM6	0	3	14	0	10	0
P-0045991-T01-IM6	0	0	0	8	0	11
P-0046448-T01-IM6	2	4	0	25	0	2
P-0046630-T01-IM6	1	1	15	23	0	0
P-0046754-T01-IM6	0	0	2	9	4	12
P-0046965-T01-IM6	346	39	44	1	5	44
P-0047374-T01-IM6	0	8	4	39	6	2
P-0047379-T01-IM6	3	0	0	5	0	1
P-0047653-T01-IM6	20	17	4	5	0	7
P-0047766-T01-IM6	0	4	5	35	0	4
P-0047768-T01-IM6	0	12	6	41	3	0
P-0047771-T01-IM6	57	27	5	0	0	1
P-0047974-T01-IM6	27	7	2	6	0	2
P-0048176-T01-IM6	2	1	6	7	7	2
P-0048238-T01-IM6	0	1	0	6	6	10
P-0048255-T01-IM6	0	5	2	6	17	8
P-0048289-T01-IM6	3	0	0	6	9	0
P-0048521-T01-IM6	0	1	0	7	4	11
P-0048589-T01-IM6	2	1	0	1	6	11
P-0048620-T01-IM6	0	5	0	6	9	12
P-0048757-T01-IM6	0	11	2	20	0	0
P-0048915-T01-IM6	0	2	1	2	3	13
P-0048984-T01-IM6	0	0	4	10	6	0
P-0049047-T01-IM6	344	31	181	50	23	0
P-0049073-T01-IM6	164	22	1	7	7	18
P-0049274-T01-IM6	29	9	0	0	1	7
P-0049291-T01-IM6	0	3	0	38	0	4
P-0049371-T01-IM6	28	20	0	3	0	0
P-0049473-T01-IM6	0	5	3	14	0	6
P-0049485-T01-IM6	0	6	20	6	11	3
P-0049760-T01-IM6	72	148	102	62	0	0
P-0049775-T01-IM6	2	8	0	17	2	3
P-0049788-T01-IM6	17	4	1	0	0	0
P-0049805-T01-IM6	0	2	2	8	0	9
P-0049931-T01-IM6	0	6	12	13	3	5
P-0050111-T01-IM6	0	3	8	9	7	1
P-0050149-T01-IM6	2	0	0	6	7	15
