Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0046756-T01-IM6	4	0.348	6.337	158.425%	1.941	97.05%	2.15624	0.302
P-0046781-T01-IM6	7	0.227	12.054	172.2%	2.77	104.696%	2.81609	0.125
P-0046801-T01-IM6	28	0.915	25.207	90.025%	5.681	46.698%	0.72544	0.914
P-0046816-T01-IM6	3	0.412	5.109	170.3%	1.581	91.279%	2.71032	0.379
P-0046842-T01-IM6	31	0.964	20.167	65.055%	4.69	33.247%	0.45006	0.965
P-0047000-T01-IM6	3	0.291	5.465	182.167%	1.657	95.667%	2.42769	0.235
P-0047235-T01-IM6	5	0.699	7.395	147.9%	2.028	76.651%	1.86562	0.699
P-0047254-T01-IM6	23	0.896	16.468	71.6%	4.071	48.314%	0.50671	0.89
P-0047315-T01-IM6	13	0.909	11.505	88.5%	3.108	49.768%	0.66146	0.91
P-0047341-T01-IM6	90	0.962	45.911	51.012%	8.402	27.522%	0.32014	0.958
P-0047357-T01-IM6	24	0.879	17.655	73.563%	3.647	47.887%	0.73077	0.864
P-0047457-T01-IM6	28	0.909	17.677	63.132%	3.709	41.996%	0.79427	0.898
P-0047507-T01-IM6	43	0.963	23.98	55.767%	4.751	31.815%	0.36741	0.962
P-0047596-T01-IM6	13	0.907	10.523	80.946%	2.849	46.837%	0.64742	0.904
P-0047617-T01-IM6	4	0.151	7.53	188.25%	2.033	101.65%	3.01045	0.053
P-0047638-T01-IM6	5	0.604	7.361	147.22%	1.821	81.438%	1.41315	0.583
P-0047757-T01-IM6	9	0.616	11.412	126.8%	2.364	78.8%	1.54817	0.561
P-0047759-T01-IM6	25	0.91	18.435	73.74%	3.976	41.68%	0.73676	0.903
P-0047965-T01-IM6	7	0.683	10.197	145.671%	2.554	77.006%	1.5776	0.678
P-0047976-T01-IM6	1	0.752	1.708	170.8%	0.864	86.4%	1.92409	0.825
P-0047981-T01-IM6	12	0.853	9.808	81.733%	2.336	52.235%	1.20203	0.84
P-0048080-T01-IM6	26	0.92	17.323	66.627%	3.325	39.186%	0.69014	0.911
P-0048111-T01-IM6	20	0.917	13.016	65.08%	2.722	40.134%	0.55624	0.909
P-0048144-T01-IM6	1	0.228	1.802	180.2%	0.996	99.6%	2.3141	0.21
P-0048253-T01-IM6	1	0.171	1.934	193.4%	0.986	98.6%	3.40787	0.138
P-0048261-T01-IM6	13	0.831	11.993	92.254%	2.726	56.841%	0.89502	0.817
P-0048270-T01-IM6	67	0.941	36.366	54.278%	7.382	33.8%	0.37464	0.935
P-0048296-T01-IM6	4	0.472	5.984	149.6%	1.767	88.35%	2.38561	0.436
P-0048549-T01-IM6	34	0.805	26.285	77.309%	6.642	61.145%	0.62031	0.782
P-0048555-T01-IM6	9	0.822	9.264	102.933%	2.43	58.936%	1.11059	0.814
P-0048585-T03-IM6	29	0.936	19.81	68.31%	4.416	37.456%	0.59766	0.933
P-0048592-T01-IM6	11	0.558	14.93	135.727%	2.994	83.039%	1.52615	0.488
P-0048603-T01-IM6	7	0.143	12.89	184.143%	3.113	103.767%	3.30169	0.022
P-0048628-T01-IM6	19	0.764	15.12	79.579%	4.231	64.522%	0.68183	0.738
P-0048726-T01-IM6	1	0.752	1.708	170.8%	0.864	86.4%	1.92409	0.825
P-0048786-T01-IM6	33	0.886	23.265	70.5%	4.755	46.404%	0.71549	0.871
P-0048904-T01-IM6	41	0.905	29.831	72.759%	6.08	42.465%	0.82431	0.896
P-0048926-T01-IM6	5	0.913	4.067	81.34%	1.599	48.212%	0.6394	0.913
P-0049007-T01-IM6	8	0.789	9.606	120.075%	2.076	65.649%	1.39375	0.783
P-0049096-T01-IM6	5	0.58	6.578	131.56%	2.167	81.905%	1.52489	0.559
P-0049320-T01-IM6	108	0.977	41.283	38.225%	7.138	21.253%	0.25849	0.974
P-0049391-T01-IM6	2	0.576	3.368	168.4%	1.232	87.116%	2.47888	0.594
P-0049457-T01-IM6	15	0.799	15.122	100.813%	3.674	60.4%	1.56261	0.783
P-0049573-T01-IM6	87	0.987	33.968	39.044%	5.219	18.083%	0.29313	0.987
P-0049734-T01-IM6	116	0.975	51.597	44.48%	9.684	24.332%	0.28507	0.974
P-0049773-T01-IM6	14	0.926	9.982	71.3%	2.674	45.859%	0.50374	0.927
P-0049891-T01-IM6	4	0.758	5.76	144.0%	1.81	73.893%	1.4416	0.766
P-0049901-T01-IM6	4	0.747	5.481	137.025%	1.481	74.05%	1.27878	0.756
P-0049953-T01-IM6	6	0.691	6.776	112.933%	1.776	72.505%	1.44095	0.666
P-0049959-T01-IM6	2	0.076	3.916	195.8%	1.438	101.682%	3.87511	0.001
P-0050076-T01-IM6	27	0.926	19.349	71.663%	3.721	40.843%	0.52117	0.92
P-0050087-T01-IM6	17	0.889	17.487	102.865%	3.957	54.354%	0.82539	0.892
P-0050267-T01-IM6	72	0.971	36.83	51.153%	6.573	26.613%	0.37121	0.97
P-0050405-T01-IM6	38	0.922	24.386	64.174%	4.953	38.914%	0.64414	0.913
P-0050421-T01-IM6	64	0.967	33.458	52.278%	5.153	25.83%	0.38729	0.963
