Samples	SBS96A	SBS96B	SBS96C
P-0006155-T02-IM5	1.94E+00	1.92E+00	4.50E-01
P-0006177-T01-IM5	1.42E+00	1.42E+00	7.32E-02
P-0006192-T01-IM5	3.25E-01	3.22E-01	1.10E-01
P-0006193-T01-IM5	3.08E-01	2.96E-01	2.11E-01
P-0006267-T01-IM5	5.84E-01	6.54E-01	3.61E-01
P-0006339-T01-IM5	1.74E+00	1.73E+00	3.98E-01
P-0006407-T01-IM5	1.19E+00	1.20E+00	2.43E-01
P-0006423-T01-IM5	2.70E-01	2.78E-01	2.02E-01
P-0006476-T01-IM5	4.08E-01	4.13E-01	2.64E-01
P-0006488-T01-IM5	4.15E-01	4.17E-01	2.07E-01
P-0006541-T02-IM5	5.99E-01	5.88E-01	3.93E-01
P-0006621-T01-IM5	1.95E+00	1.96E+00	4.51E-01
P-0006624-T01-IM5	6.01E-01	5.97E-01	2.76E-01
P-0006719-T01-IM5	9.14E-01	9.38E-01	5.23E-01
P-0006731-T01-IM5	4.90E-01	4.70E-01	2.29E-01
P-0006796-T01-IM5	9.08E-01	9.12E-01	3.45E-01
P-0006845-T01-IM5	1.88E-01	1.94E-01	8.86E-02
P-0006952-T01-IM5	6.16E-01	6.08E-01	2.23E-01
P-0006973-T01-IM5	3.56E-01	3.87E-01	1.91E-01
P-0007142-T01-IM5	1.62E-01	1.58E-01	1.41E-01
P-0007232-T02-IM6	1.43E-01	1.34E-01	1.54E-01
P-0007238-T01-IM5	7.06E-02	7.66E-02	6.68E-02
P-0007281-T01-IM5	3.06E-01	3.16E-01	2.27E-01
P-0007492-T01-IM5	1.53E-01	1.28E-01	1.08E-01
P-0007517-T01-IM5	1.69E-01	1.96E-01	1.46E-01
P-0007544-T01-IM5	1.39E+00	1.36E+00	3.50E-01
P-0007561-T01-IM5	7.80E-01	7.37E-01	3.45E-01
P-0007736-T01-IM5	3.59E-01	3.45E-01	2.13E-01
P-0007810-T02-IM5	1.16E+00	1.16E+00	4.14E-01
P-0007876-T01-IM5	1.00E+00	1.02E+00	3.92E-01
P-0007918-T01-IM5	1.31E+00	1.29E+00	4.14E-01
P-0007970-T01-IM5	3.76E-01	3.75E-01	2.01E-01
P-0007980-T01-IM5	3.65E-01	3.70E-01	7.30E-02
P-0007986-T01-IM5	1.81E-01	2.00E-01	2.07E-01
P-0008009-T01-IM5	3.76E-01	3.66E-01	1.20E-01
P-0008028-T01-IM5	1.36E-01	1.45E-01	1.28E-01
P-0008050-T01-IM5	1.41E-02	2.39E-02	2.73E-02
P-0008080-T01-IM5	1.40E+00	1.38E+00	4.09E-01
P-0008228-T01-IM5	1.32E+00	1.32E+00	1.99E-01
P-0008246-T02-IM5	2.39E+00	2.44E+00	2.64E-01
P-0008360-T01-IM5	2.63E-01	2.58E-01	2.23E-01
P-0008403-T01-IM5	7.16E-01	7.17E-01	2.15E-01
P-0008434-T01-IM5	1.50E+00	1.53E+00	3.91E-01
P-0008445-T01-IM5	2.14E-01	2.45E-01	1.97E-01
P-0008450-T01-IM5	3.27E-02	2.88E-02	1.71E-02
P-0008490-T01-IM5	2.49E-01	2.65E-01	1.30E-01
P-0008492-T02-IM5	1.01E-01	1.13E-01	9.92E-02
P-0008557-T02-IM5	1.24E+00	1.22E+00	4.67E-01
P-0008659-T01-IM5	2.27E-01	2.25E-01	2.49E-01
P-0008728-T01-IM5	9.30E-01	9.49E-01	4.54E-01
