Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0041347-T01-IM6	0	2	3	9
P-0042199-T01-IM6	121	0	182	0
P-0042256-T01-IM6	50	0	25	0
P-0042644-T01-IM6	0	4	19	13
P-0042702-T01-IM6	44	0	39	0
P-0042762-T01-IM6	0	1	10	69
P-0042782-T01-IM6	0	5	3	11
P-0043033-T02-IM6	1	20	2	12
P-0043071-T01-IM6	20	4	23	0
P-0043596-T01-IM6	398	0	354	0
P-0043613-T01-IM6	1	33	15	14
P-0043842-T01-IM6	202	174	53	0
P-0043909-T01-IM6	0	9	0	15
P-0043940-T01-IM6	0	3	0	17
P-0044312-T01-IM6	0	5	2	14
P-0044767-T01-IM6	0	6	0	4
P-0044790-T01-IM6	4	155	0	0
P-0044987-T01-IM6	4	44	4	24
P-0045120-T01-IM6	10	0	21	0
P-0045458-T01-IM6	90	32	249	0
P-0045671-T01-IM6	3	4	0	6
P-0045738-T01-IM6	0	8	8	11
P-0045991-T01-IM6	0	7	0	12
P-0046448-T01-IM6	4	29	0	0
P-0046630-T01-IM6	0	40	0	0
P-0046754-T01-IM6	0	11	0	16
P-0046965-T01-IM6	399	29	0	51
P-0047374-T01-IM6	1	48	6	4
P-0047653-T01-IM6	24	2	27	0
P-0047766-T01-IM6	0	48	0	0
P-0047768-T01-IM6	1	48	13	0
P-0047771-T01-IM6	63	0	27	0
P-0047974-T01-IM6	33	9	2	0
P-0048176-T01-IM6	2	12	0	11
P-0048238-T01-IM6	0	7	1	15
P-0048255-T01-IM6	0	7	8	23
P-0048521-T01-IM6	0	7	1	15
P-0048589-T01-IM6	2	1	0	18
P-0048620-T01-IM6	0	5	9	18
P-0048757-T01-IM6	1	18	14	0
P-0048915-T01-IM6	0	2	3	16
P-0048984-T01-IM6	0	14	0	6
P-0049047-T01-IM6	386	177	0	66
P-0049073-T01-IM6	186	9	0	24
P-0049274-T01-IM6	36	0	6	4
P-0049291-T01-IM6	0	44	0	1
P-0049371-T01-IM6	29	0	22	0
P-0049473-T01-IM6	1	17	6	4
P-0049485-T01-IM6	0	21	11	14
P-0049760-T01-IM6	80	69	235	0
P-0049775-T01-IM6	3	15	11	3
P-0049788-T01-IM6	20	0	2	0
P-0049805-T01-IM6	0	12	1	8
P-0049931-T01-IM6	0	23	8	8
P-0050111-T01-IM6	0	16	4	8
