Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0025885-T01-IM6	2.29E-01	5.70E-01	5.35E-01	3.09E-01
P-0026714-T01-IM6	0.00E+00	3.21E-01	3.19E-01	4.04E-01
P-0027652-T01-IM6	2.65E+00	9.75E-01	3.14E+00	3.97E-01
P-0028495-T01-IM6	1.79E-01	4.64E-01	3.92E-01	4.47E-01
P-0028774-T01-IM6	1.13E-01	3.53E-01	3.41E-01	3.66E-01
P-0029690-T01-IM6	1.33E+00	7.98E-01	1.78E+00	4.79E-01
P-0029778-T01-IM6	1.31E-01	1.30E-01	3.87E-01	4.06E-01
P-0029972-T01-IM6	9.19E-01	1.10E+00	5.05E+00	4.34E+00
P-0030260-T01-IM6	1.00E-02	5.13E-01	4.68E-01	4.37E-01
P-0031042-T01-IM6	0.00E+00	6.60E-01	8.06E-01	7.21E-01
P-0031094-T01-IM6	0.00E+00	5.68E-01	5.62E-01	5.10E-01
P-0031195-T01-IM6	9.90E-02	1.73E-01	2.24E-01	2.73E-01
P-0031211-T01-IM6	0.00E+00	8.36E-01	8.37E-01	7.92E-02
P-0031271-T01-IM6	3.15E-02	4.35E-01	3.96E-01	4.49E-01
P-0031436-T01-IM6	0.00E+00	3.26E-01	5.02E-01	4.78E-01
P-0031501-T01-IM6	1.41E-02	1.12E+00	1.10E+00	7.90E-01
P-0032113-T01-IM6	2.58E-01	8.43E-01	8.08E-01	3.45E-01
P-0032161-T02-IM6	1.23E-01	6.61E-01	6.63E-01	4.64E-01
P-0032443-T01-IM6	2.28E-01	4.77E-01	5.22E-01	5.25E-01
P-0032496-T01-IM6	3.41E+00	1.15E+00	3.92E+00	1.40E-01
P-0032497-T01-IM6	1.74E-01	2.95E-01	3.54E-01	4.25E-01
P-0032548-T01-IM6	2.24E+00	4.78E-01	2.47E+00	3.59E-01
P-0032567-T01-IM6	1.55E-01	7.46E-01	7.27E-01	3.86E-01
P-0032761-T01-IM6	9.66E-02	4.29E-01	5.53E-01	5.40E-01
P-0032818-T01-IM6	6.18E+00	1.78E+00	7.62E+00	0.00E+00
P-0032990-T01-IM6	1.26E-01	2.46E-01	2.80E-01	3.87E-01
P-0032994-T01-IM6	8.83E-02	7.17E-01	6.79E-01	5.59E-01
P-0033016-T01-IM6	8.67E-01	7.16E-01	9.45E-01	4.10E-01
P-0033133-T01-IM6	4.07E-01	2.60E+00	2.87E+00	8.87E-01
P-0033682-T01-IM6	1.27E-01	8.77E-01	8.66E-01	5.17E-02
P-0034775-T01-IM6	7.00E-02	3.48E-01	4.19E-01	4.63E-01
P-0034862-T01-IM6	2.44E-01	3.90E-01	3.90E-01	3.90E-01
P-0034915-T01-IM6	1.34E+00	5.31E+00	7.15E+00	2.55E+00
P-0035146-T01-IM6	1.05E+00	4.15E-01	1.20E+00	6.81E-01
P-0035147-T01-IM6	1.07E+00	3.43E-01	1.06E+00	4.51E-01
P-0035281-T01-IM6	2.55E+00	7.93E-01	2.95E+00	6.23E-01
P-0035770-T01-IM6	3.62E+00	1.01E+00	4.25E+00	6.27E-01
P-0035790-T01-IM6	1.35E+00	6.18E+00	7.43E+00	3.81E+00
P-0036123-T01-IM6	3.95E+00	1.78E+00	5.22E+00	0.00E+00
P-0036230-T01-IM6	2.23E-01	2.40E-01	3.07E-01	3.47E-01
P-0036297-T01-IM6	2.06E+00	8.16E-01	2.45E+00	1.42E-01
P-0036505-T01-IM6	0.00E+00	4.24E-01	4.82E-01	4.74E-01
P-0036664-T01-IM6	0.00E+00	4.73E-01	3.77E-01	4.37E-01
P-0036740-T03-IM6	6.09E-02	3.61E-01	3.53E-01	3.05E-01
P-0036868-T01-IM6	4.04E-02	3.59E-01	3.66E-01	3.62E-01
P-0037690-T01-IM6	3.71E-01	1.31E+00	1.24E+00	2.96E-01
P-0037917-T01-IM6	1.56E-01	2.25E-01	1.70E-01	2.11E-01
P-0038016-T01-IM6	2.97E-02	6.60E-01	6.04E-01	4.03E-01
P-0038084-T01-IM6	6.37E-02	1.10E+00	1.12E+00	3.75E-01
P-0038520-T01-IM6	6.74E-02	7.17E-01	9.26E-01	8.90E-01
P-0038755-T01-IM6	8.10E-01	3.96E-01	9.10E-01	3.11E-01
P-0038944-T01-IM6	2.61E-01	5.49E-01	5.09E-01	3.44E-01
P-0039054-T01-IM6	2.19E+00	8.47E+00	1.02E+01	3.44E+00
P-0039231-T01-IM6	0.00E+00	6.32E-01	5.76E-01	4.61E-01
P-0039466-T01-IM6	1.12E-01	5.60E-01	5.75E-01	4.90E-01
P-0039477-T01-IM6	0.00E+00	6.75E-01	6.99E-01	1.65E-01
P-0039599-T01-IM6	1.45E-01	1.02E-01	1.30E-01	2.06E-01
P-0039704-T01-IM6	3.54E+00	7.64E-01	3.88E+00	6.19E-01
P-0039773-T01-IM6	1.11E+00	2.00E-01	1.08E+00	3.33E-01
P-0039854-T01-IM6	2.49E-01	5.67E-01	5.29E-01	4.99E-01
P-0040023-T01-IM6	1.25E+00	5.41E+00	5.64E+00	2.38E+00
P-0040086-T01-IM6	6.77E-01	4.38E-01	7.61E-01	3.68E-01
P-0040149-T01-IM6	2.38E-01	3.97E-01	3.39E-01	3.92E-01
P-0040228-T01-IM6	2.16E-01	5.09E-01	4.51E-01	4.39E-01
P-0040284-T01-IM6	1.22E+00	5.55E-01	1.38E+00	3.72E-01
P-0040575-T01-IM6	5.22E-02	1.07E+00	1.09E+00	3.11E-01
P-0040701-T01-IM6	1.89E-01	2.56E-01	3.96E-01	3.81E-01
P-0040828-T01-IM6	6.21E+00	5.32E+00	9.31E+00	4.68E-01
P-0040884-T01-IM6	0.00E+00	4.83E-01	4.43E-01	3.70E-01
P-0040892-T01-IM6	0.00E+00	5.59E-01	6.72E-01	5.74E-01
P-0040992-T01-IM6	4.19E-02	9.10E-01	8.67E-01	5.71E-01
P-0041146-T01-IM6	1.42E+00	8.97E-01	1.47E+00	6.23E-01
P-0041318-T01-IM6	4.14E-01	3.35E-01	4.39E-01	1.23E-01
P-0041346-T01-IM6	1.40E+00	4.89E-01	1.47E+00	8.00E-01
P-0041347-T01-IM6	4.56E-02	4.65E-01	4.32E-01	3.18E-01
P-0042199-T01-IM6	6.07E+00	3.48E+00	8.67E+00	0.00E+00
P-0042256-T01-IM6	1.01E+00	2.75E-01	1.14E+00	3.09E-01
P-0042644-T01-IM6	2.21E-01	7.79E-01	6.33E-01	7.49E-01
P-0042702-T01-IM6	1.44E+00	2.58E-01	1.58E+00	3.29E-01
P-0042762-T01-IM6	2.36E-01	8.44E-01	1.68E+00	1.50E+00
P-0042782-T01-IM6	8.83E-02	3.62E-01	3.46E-01	4.60E-01
P-0043033-T02-IM6	1.88E-01	6.42E-01	5.74E-01	4.56E-01
P-0043071-T01-IM6	8.37E-01	4.87E-01	1.10E+00	1.26E-01
P-0043596-T01-IM6	1.09E+01	4.72E+00	1.38E+01	8.29E-01
P-0043613-T01-IM6	0.00E+00	1.41E+00	1.45E+00	6.12E-01
P-0043842-T01-IM6	3.08E+00	3.07E+00	3.39E+00	3.81E-01
P-0043909-T01-IM6	0.00E+00	4.52E-01	5.65E-01	5.64E-01
P-0043940-T01-IM6	1.40E-01	2.17E-01	3.23E-01	3.58E-01
P-0044312-T01-IM6	3.07E-02	2.96E-01	3.43E-01	3.11E-01
P-0044767-T01-IM6	1.43E-01	1.77E-01	2.03E-01	2.57E-01
P-0044790-T01-IM6	3.93E-01	2.94E+00	2.99E+00	3.91E-01
P-0044987-T01-IM6	1.85E-01	1.31E+00	1.32E+00	6.66E-01
P-0045120-T01-IM6	8.19E-01	3.39E-01	1.02E+00	1.00E-02
P-0045458-T01-IM6	6.61E+00	4.79E+00	1.02E+01	9.80E-02
P-0045671-T01-IM6	1.69E-01	2.69E-01	2.50E-01	2.76E-01
P-0045738-T01-IM6	1.25E-01	6.62E-01	6.12E-01	6.06E-01
P-0045991-T01-IM6	0.00E+00	3.82E-01	3.18E-01	3.60E-01
P-0046448-T01-IM6	1.72E-01	7.51E-01	7.75E-01	3.35E-01
P-0046630-T01-IM6	1.36E-01	9.24E-01	8.92E-01	1.88E-01
P-0046754-T01-IM6	0.00E+00	5.00E-01	5.48E-01	4.38E-01
P-0046965-T01-IM6	3.14E+00	1.37E+00	3.56E+00	1.24E+00
P-0047374-T01-IM6	0.00E+00	1.23E+00	1.26E+00	4.83E-01
P-0047653-T01-IM6	8.56E-01	5.03E-01	1.06E+00	2.35E-01
P-0047766-T01-IM6	0.00E+00	1.09E+00	1.03E+00	5.62E-01
P-0047768-T01-IM6	0.00E+00	1.50E+00	1.47E+00	3.10E-01
P-0047771-T01-IM6	1.35E+00	2.94E-01	1.43E+00	2.34E-01
P-0047974-T01-IM6	6.57E-01	4.40E-01	8.44E-01	2.61E-02
P-0048176-T01-IM6	1.65E-01	4.03E-01	5.17E-01	4.81E-01
P-0048238-T01-IM6	2.93E-02	3.58E-01	3.62E-01	3.83E-01
P-0048255-T01-IM6	8.89E-02	6.43E-01	5.56E-01	6.40E-01
P-0048521-T01-IM6	3.15E-02	4.29E-01	4.19E-01	3.75E-01
P-0048589-T01-IM6	1.48E-01	2.29E-01	3.72E-01	4.21E-01
P-0048620-T01-IM6	1.44E-01	4.51E-01	4.10E-01	4.60E-01
P-0048757-T01-IM6	2.15E-01	9.53E-01	9.93E-01	1.83E-01
P-0048915-T01-IM6	9.17E-02	2.94E-01	2.91E-01	3.64E-01
P-0048984-T01-IM6	0.00E+00	4.91E-01	4.55E-01	4.41E-01
P-0049047-T01-IM6	3.17E+00	5.93E+00	7.41E+00	1.98E+00
P-0049073-T01-IM6	1.44E+00	6.27E-01	1.63E+00	8.27E-01
P-0049274-T01-IM6	6.57E-01	1.89E-01	6.95E-01	3.81E-01
P-0049291-T01-IM6	0.00E+00	1.21E+00	1.19E+00	3.78E-01
P-0049371-T01-IM6	9.53E-01	3.59E-01	1.07E+00	4.45E-02
P-0049473-T01-IM6	6.94E-02	5.69E-01	5.04E-01	4.10E-01
P-0049485-T01-IM6	1.92E-01	6.54E-01	7.89E-01	7.85E-01
P-0049760-T01-IM6	6.26E+00	5.29E+00	1.02E+01	5.02E-01
P-0049775-T01-IM6	2.36E-01	7.73E-01	7.33E-01	2.30E-01
P-0049788-T01-IM6	3.23E-01	7.32E-02	3.09E-01	1.74E-01
P-0049805-T01-IM6	7.16E-02	5.12E-01	3.69E-01	4.09E-01
P-0049931-T01-IM6	1.78E-01	7.03E-01	6.61E-01	5.92E-01
P-0050111-T01-IM6	2.13E-01	5.10E-01	5.06E-01	3.67E-01
