Samples	SBS1	SBS5	SBS7a	SBS7b
P-0004348-T01-IM5	3	0	14	7
P-0004349-T01-IM5	0	1	3	3
P-0004437-T01-IM5	2	3	7	3
P-0004457-T01-IM5	0	0	22	19
P-0004518-T01-IM5	0	0	13	11
P-0004650-T01-IM5	0	0	24	36
P-0004700-T02-IM5	0	0	2	4
P-0004914-T01-IM5	0	4	6	15
P-0004933-T02-IM6	1	4	0	12
P-0004952-T01-IM5	0	0	14	22
P-0005039-T01-IM5	0	0	10	19
P-0005053-T01-IM5	0	0	8	4
P-0005062-T01-IM5	0	1	0	0
P-0005109-T01-IM5	1	3	2	11
P-0005118-T01-IM5	1	0	5	13
P-0005129-T01-IM5	0	2	3	4
P-0005144-T01-IM5	0	0	7	0
P-0005146-T01-IM5	0	8	0	0
P-0005159-T01-IM5	16	18	0	68
P-0005222-T01-IM5	0	0	8	7
P-0005228-T01-IM5	0	0	40	52
P-0005241-T01-IM5	0	0	1	1
P-0005260-T01-IM5	2	0	3	4
P-0005352-T01-IM5	0	4	6	0
P-0005366-T01-IM5	0	0	72	82
P-0005370-T01-IM5	1	4	10	0
P-0005383-T01-IM5	2	3	0	16
P-0005421-T01-IM5	1	5	11	0
P-0005461-T02-IM5	1	0	1	0
P-0005493-T01-IM5	2	2	4	0
P-0005583-T01-IM5	0	0	4	0
P-0005604-T01-IM5	0	0	0	7
P-0005673-T01-IM5	0	0	0	12
P-0005725-T01-IM5	0	0	13	11
P-0005733-T02-IM5	0	0	9	10
P-0005769-T01-IM5	0	0	3	3
P-0005928-T01-IM5	0	0	7	12
P-0005971-T01-IM5	1	0	0	5
P-0006034-T01-IM5	2	4	0	44
P-0006155-T02-IM5	0	0	20	60
P-0006177-T01-IM5	0	1	32	10
P-0006192-T01-IM5	0	0	3	6
P-0006193-T01-IM5	1	0	10	0
P-0006267-T01-IM5	0	0	11	19
P-0006339-T01-IM5	0	0	36	31
P-0006407-T01-IM5	3	7	0	31
P-0006423-T01-IM5	0	0	7	4
P-0006476-T01-IM5	3	4	2	4
P-0006488-T01-IM5	0	0	0	12
P-0006541-T02-IM5	4	12	17	0
P-0006621-T01-IM5	0	0	23	55
P-0006624-T01-IM5	0	0	3	16
P-0006719-T01-IM5	2	10	0	28
P-0006731-T01-IM5	0	0	10	6
P-0006796-T01-IM5	2	13	0	21
P-0006845-T01-IM5	1	3	2	0
P-0006952-T01-IM5	3	2	0	16
P-0006973-T01-IM5	0	0	2	10
P-0007142-T01-IM5	0	0	0	5
P-0007232-T02-IM6	0	0	4	0
P-0007238-T01-IM5	0	1	1	0
P-0007281-T01-IM5	0	5	0	7
P-0007492-T01-IM5	0	0	3	1
P-0007517-T01-IM5	0	1	2	3
P-0007544-T01-IM5	6	10	10	32
P-0007561-T01-IM5	3	5	7	18
P-0007736-T01-IM5	2	0	0	9
P-0007810-T02-IM5	3	1	10	33
P-0007876-T01-IM5	1	0	0	38
P-0007918-T01-IM5	0	0	24	35
P-0007970-T01-IM5	0	0	13	0
P-0007980-T01-IM5	0	0	8	3
P-0007986-T01-IM5	3	2	2	0
P-0008009-T01-IM5	0	1	0	10
P-0008028-T01-IM5	0	2	0	2
P-0008050-T01-IM5	0	1	0	0
P-0008080-T01-IM5	0	6	6	40
P-0008228-T01-IM5	0	0	14	31
P-0008246-T02-IM5	0	0	37	44
P-0008360-T01-IM5	0	0	4	4
P-0008403-T01-IM5	0	0	9	13
P-0008434-T01-IM5	0	0	27	26
P-0008445-T01-IM5	0	0	0	8
P-0008450-T01-IM5	0	1	0	0
P-0008490-T01-IM5	0	0	3	4
P-0008492-T02-IM5	0	2	0	1
P-0008557-T02-IM5	0	0	21	31
P-0008659-T01-IM5	3	1	0	4
P-0008728-T01-IM5	0	0	19	23
P-0008733-T01-IM5	0	4	0	3
P-0008857-T01-IM5	0	0	23	27
P-0008859-T01-IM5	0	1	0	0
P-0008912-T01-IM5	2	3	5	2
P-0008942-T01-IM5	2	0	6	29
P-0008946-T01-IM5	3	0	3	10
P-0008963-T01-IM5	2	3	0	4
P-0008974-T01-IM5	2	9	0	25
P-0008997-T01-IM5	3	0	43	21
P-0008999-T01-IM5	1	0	7	5
P-0009072-T01-IM5	0	0	4	2
P-0009105-T01-IM5	0	0	20	15
