Samples	SBS1	SBS5	SBS7a	SBS7b
P-0036712-T01-IM6	1	0	4	8
P-0036733-T05-IM6	0	0	40	42
P-0036794-T01-IM6	2	0	6	5
P-0036809-T01-IM6	0	0	61	95
P-0036862-T01-IM6	0	0	0	9
P-0036873-T01-IM6	1	0	0	12
P-0037010-T01-IM6	0	0	3	0
P-0037110-T01-IM6	0	0	32	75
P-0037116-T01-IM6	0	0	0	6
P-0037118-T01-IM6	0	0	0	21
P-0037130-T01-IM6	0	0	33	19
P-0037309-T01-IM6	0	0	12	13
P-0037336-T01-IM6	2	0	3	2
P-0037380-T01-IM6	1	0	4	9
P-0037408-T01-IM6	0	0	25	35
P-0037493-T01-IM6	0	1	0	0
P-0037606-T02-IM6	0	0	21	21
P-0037685-T01-IM6	4	12	14	0
P-0037749-T01-IM6	1	5	0	9
P-0037755-T01-IM6	0	0	3	8
P-0037873-T01-IM6	4	0	8	23
P-0037913-T01-IM6	0	0	22	25
P-0037955-T01-IM6	0	0	7	8
P-0038079-T01-IM6	0	2	0	0
P-0038279-T01-IM6	2	0	8	35
P-0038372-T01-IM6	0	0	9	24
P-0038408-T01-IM6	3	4	0	11
P-0038509-T01-IM6	0	0	8	0
P-0038676-T01-IM6	0	2	0	0
P-0038722-T01-IM6	0	0	23	71
P-0038799-T01-IM6	4	7	8	26
P-0038817-T01-IM6	0	0	3	4
P-0038936-T01-IM6	8	10	18	98
P-0038967-T01-IM6	1	3	4	0
P-0039052-T01-IM6	0	0	8	19
P-0039091-T01-IM6	0	0	59	60
P-0039162-T01-IM6	0	0	1	3
P-0039170-T01-IM6	0	0	0	20
P-0039179-T01-IM6	0	0	56	99
P-0039287-T01-IM6	1	2	0	21
P-0039360-T01-IM6	1	4	0	8
P-0039410-T01-IM6	3	4	0	6
P-0039415-T01-IM6	0	0	14	15
P-0039426-T01-IM6	0	0	14	18
P-0039447-T01-IM6	4	1	0	14
P-0039629-T01-IM6	1	3	2	0
P-0039687-T02-IM6	1	0	0	14
P-0039787-T01-IM6	0	5	0	2
P-0040045-T01-IM6	1	0	0	8
P-0040076-T01-IM6	0	0	5	6
P-0040090-T01-IM6	0	0	6	10
P-0040246-T01-IM6	3	13	23	8
P-0040265-T01-IM6	3	0	4	12
P-0040623-T01-IM6	0	0	41	74
P-0040648-T01-IM6	0	0	9	14
P-0040673-T01-IM6	0	0	16	19
P-0040688-T01-IM6	0	0	0	5
P-0040785-T01-IM6	1	0	5	3
P-0040819-T01-IM6	1	0	0	57
P-0040837-T01-IM6	1	5	6	0
P-0040959-T01-IM6	0	0	69	78
P-0041024-T01-IM6	0	1	0	1
P-0041068-T01-IM6	1	0	20	10
P-0041122-T01-IM6	4	0	0	0
P-0041173-T01-IM6	10	9	0	95
P-0041199-T01-IM6	0	0	0	6
P-0041200-T01-IM6	3	4	0	8
P-0041256-T02-IM6	0	0	11	0
P-0041327-T01-IM6	0	0	0	5
P-0041437-T01-IM6	0	0	108	175
P-0041460-T01-IM6	3	0	0	0
P-0041526-T01-IM6	4	2	0	6
P-0041588-T01-IM6	6	25	14	22
P-0041720-T01-IM6	5	6	11	34
P-0041938-T01-IM6	4	1	7	35
P-0042134-T01-IM6	0	0	10	9
P-0042278-T01-IM6	0	1	0	1
P-0042342-T01-IM6	1	4	0	9
P-0042545-T01-IM6	0	0	2	9
P-0042585-T01-IM6	0	0	18	8
P-0042646-T01-IM6	1	0	0	0
P-0042758-T01-IM6	2	0	0	16
P-0042849-T01-IM6	7	0	31	21
P-0042912-T01-IM6	0	3	0	0
P-0042993-T01-IM6	0	0	13	6
P-0043072-T01-IM6	0	0	16	14
P-0043094-T02-IM6	0	0	20	0
P-0043339-T01-IM6	2	0	0	0
P-0043362-T01-IM6	0	1	0	0
P-0043393-T01-IM6	2	0	0	8
P-0043408-T01-IM6	3	6	5	29
P-0043411-T01-IM6	2	7	7	17
P-0043570-T01-IM6	6	8	16	45
P-0043669-T01-IM6	0	0	15	15
P-0043691-T01-IM6	3	5	6	19
P-0043852-T01-IM6	0	0	8	2
P-0043916-T01-IM6	0	0	37	50
P-0043917-T01-IM6	0	0	10	18
P-0043927-T01-IM6	0	1	0	0
P-0044148-T01-IM6	1	0	0	8
P-0044211-T01-IM6	1	0	3	6
P-0044212-T01-IM6	0	8	0	13
P-0044475-T01-IM6	6	0	6	17
P-0044756-T01-IM6	2	6	8	5
P-0044900-T01-IM6	0	2	0	0
P-0044908-T01-IM6	3	0	0	5
P-0044952-T01-IM6	0	1	5	19
P-0044955-T01-IM6	0	4	0	0
P-0045141-T01-IM6	1	0	0	13
P-0045164-T01-IM6	0	0	11	18
P-0045187-T01-IM6	0	0	10	26
P-0045233-T01-IM6	0	4	0	0
P-0045248-T01-IM6	3	0	6	0
P-0045293-T01-IM6	1	5	6	0
P-0045319-T01-IM6	0	0	10	0
P-0045374-T01-IM6	0	0	20	18
P-0045450-T01-IM6	0	0	0	5
P-0045464-T01-IM6	0	0	0	1
P-0045510-T01-IM6	0	0	13	18
P-0045573-T01-IM6	0	0	10	20
P-0045574-T01-IM6	0	1	6	10
P-0045688-T01-IM6	0	0	14	23
P-0045711-T01-IM6	0	2	0	10
P-0045820-T01-IM6	2	0	0	0
P-0045876-T01-IM6	0	1	4	7
P-0045921-T01-IM6	0	0	0	5
P-0045925-T01-IM6	0	0	5	7
P-0046036-T01-IM6	0	0	10	0
P-0046051-T01-IM6	5	0	3	11
P-0046236-T01-IM6	3	4	7	32
P-0046396-T01-IM6	0	0	4	8
P-0046405-T01-IM6	5	4	13	34
P-0046494-T02-IM6	3	1	0	0
P-0046563-T01-IM6	0	0	81	111
P-0046599-T01-IM6	0	4	0	0
P-0046665-T01-IM6	0	2	0	0
P-0046756-T01-IM6	0	3	0	1
P-0046781-T01-IM6	0	7	0	0
P-0046801-T01-IM6	0	0	5	23
P-0046816-T01-IM6	1	2	0	0
P-0046842-T01-IM6	0	0	10	20
P-0047000-T01-IM6	2	1	0	0
P-0047235-T01-IM6	0	0	3	2
P-0047254-T01-IM6	0	3	0	20
P-0047315-T01-IM6	0	0	5	8
P-0047341-T01-IM6	0	0	37	52
P-0047357-T01-IM6	0	6	4	14
P-0047457-T01-IM6	0	0	9	18
P-0047507-T01-IM6	2	0	6	35
P-0047596-T01-IM6	1	0	3	9
P-0047617-T01-IM6	4	0	0	0
P-0047638-T01-IM6	0	3	2	0
P-0047757-T01-IM6	0	7	2	0
P-0047759-T01-IM6	0	0	8	17
P-0047965-T01-IM6	0	0	0	7
P-0047976-T01-IM6	0	1	0	0
P-0047981-T01-IM6	1	0	3	8
P-0048080-T01-IM6	2	0	5	19
P-0048111-T01-IM6	0	0	10	9
P-0048144-T01-IM6	0	0	1	0
P-0048253-T01-IM6	0	1	0	0
P-0048261-T01-IM6	1	3	9	0
P-0048270-T01-IM6	0	0	27	39
P-0048296-T01-IM6	0	0	4	0
P-0048549-T01-IM6	3	11	20	0
P-0048555-T01-IM6	2	0	3	4
P-0048585-T03-IM6	2	0	7	20
P-0048592-T01-IM6	3	5	3	0
P-0048603-T01-IM6	0	7	0	0
P-0048628-T01-IM6	1	8	10	0
P-0048726-T01-IM6	0	1	0	0
P-0048786-T01-IM6	0	0	20	12
P-0048904-T01-IM6	0	0	14	26
P-0048926-T01-IM6	0	0	3	2
P-0049007-T01-IM6	1	0	3	4
P-0049096-T01-IM6	0	0	0	5
P-0049320-T01-IM6	0	0	53	54
P-0049391-T01-IM6	0	2	0	0
P-0049457-T01-IM6	0	0	9	6
P-0049573-T01-IM6	0	0	32	54
P-0049734-T01-IM6	0	0	30	85
P-0049773-T01-IM6	0	0	4	10
P-0049891-T01-IM6	0	0	2	2
P-0049901-T01-IM6	0	0	4	0
P-0049953-T01-IM6	0	1	0	5
P-0049959-T01-IM6	0	2	0	0
P-0050076-T01-IM6	3	1	4	19
P-0050087-T01-IM6	0	0	7	9
P-0050267-T01-IM6	0	0	25	46
P-0050405-T01-IM6	2	0	8	28
P-0050421-T01-IM6	0	0	23	40
