Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0019093-T01-IM6	0.00E+00	5.77E-01	5.45E-01	5.78E-01
P-0019386-T01-IM6	1.94E-01	4.44E-01	4.20E-01	4.45E-01
P-0019598-T01-IM6	1.81E-01	3.62E-01	3.22E-01	3.45E-01
P-0019649-T01-IM6	3.25E+00	2.00E+00	4.17E+00	7.54E-01
P-0019650-T01-IM6	1.13E-01	4.42E-01	3.94E-01	4.00E-01
P-0019658-T01-IM6	9.23E-01	1.33E-01	9.71E-01	7.30E-02
P-0019741-T01-IM6	0.00E+00	5.32E-01	4.20E-01	4.66E-01
P-0020009-T01-IM6	1.16E-01	3.70E-01	2.46E-01	3.64E-01
P-0020227-T01-IM6	2.02E-01	2.87E-01	3.89E-01	5.22E-01
P-0020271-T01-IM6	1.00E-02	6.12E-01	4.34E-01	5.48E-01
P-0020509-T01-IM6	1.79E-01	3.50E-01	2.94E-01	2.72E-01
P-0020754-T01-IM6	6.42E-02	2.44E-01	2.06E-01	2.84E-01
P-0021505-T01-IM6	1.81E-01	5.68E-01	4.93E-01	5.84E-01
P-0021670-T01-IM6	1.47E-01	3.87E-01	2.41E-01	3.62E-01
P-0021692-T01-IM6	8.10E-02	3.29E-01	2.16E-01	3.45E-01
P-0021856-T01-IM6	2.61E-02	3.93E-01	2.01E-01	3.83E-01
P-0021897-T01-IM6	0.00E+00	1.76E-01	2.23E-01	2.61E-01
P-0022010-T01-IM6	0.00E+00	6.33E-01	5.13E-01	4.98E-01
P-0023250-T01-IM6	2.09E-01	2.48E-01	4.58E-01	5.33E-01
P-0023555-T01-IM6	4.38E-02	5.25E-01	3.29E-01	5.02E-01
P-0023857-T01-IM6	2.28E-01	4.47E-01	4.39E-01	4.58E-01
P-0023968-T01-IM6	7.34E-02	3.26E-01	2.55E-01	3.07E-01
P-0024106-T01-IM6	1.69E-01	2.65E-01	2.08E-01	2.72E-01
P-0024289-T01-IM6	0.00E+00	6.96E-01	5.44E-01	6.52E-01
P-0025003-T01-IM6	2.32E-01	2.40E-01	3.32E-01	3.52E-01
P-0025195-T01-IM6	8.77E-02	5.71E-01	7.92E-01	5.52E-01
P-0025240-T01-IM6	1.49E-01	4.62E-01	3.46E-01	4.27E-01
P-0025248-T01-IM6	1.97E-02	4.98E-01	5.29E-01	4.44E-01
P-0025312-T01-IM6	1.50E-01	3.89E-01	3.55E-01	3.23E-01
P-0025648-T01-IM6	1.59E+00	5.81E-01	1.74E+00	1.13E-01
P-0025701-T01-IM6	0.00E+00	4.76E-01	2.75E-01	4.44E-01
P-0025885-T01-IM6	1.67E-01	4.54E-01	4.24E-01	3.39E-01
P-0026221-T01-IM6	0.00E+00	5.00E-01	4.07E-01	4.56E-01
P-0026297-T01-IM6	1.55E+00	7.91E+00	1.10E+01	3.88E+00
P-0026714-T01-IM6	0.00E+00	2.96E-01	3.27E-01	3.74E-01
P-0027652-T01-IM6	2.71E+00	8.08E-01	3.02E+00	3.54E-01
P-0027698-T01-IM6	2.81E-01	7.75E-01	7.43E-01	5.87E-01
P-0028034-T01-IM6	1.46E-01	7.19E-01	6.87E-01	7.60E-01
P-0028141-T01-IM6	1.56E-01	4.30E-01	3.50E-01	4.50E-01
P-0028144-T01-IM6	0.00E+00	5.80E-01	4.68E-01	5.28E-01
P-0028200-T01-IM6	1.15E-01	3.47E-01	2.56E-01	3.12E-01
P-0028472-T01-IM6	4.55E-02	5.74E-01	6.12E-01	4.20E-01
P-0028495-T01-IM6	1.80E-01	4.05E-01	4.03E-01	4.28E-01
P-0028774-T01-IM6	1.30E-01	2.97E-01	2.70E-01	2.98E-01
P-0028924-T01-IM6	1.99E-01	4.96E-01	3.44E-01	4.79E-01
P-0029429-T01-IM6	0.00E+00	4.99E-01	3.70E-01	4.47E-01
P-0029690-T01-IM6	1.44E+00	7.37E-01	1.70E+00	5.58E-01
P-0029778-T01-IM6	1.36E-01	1.30E-01	3.70E-01	4.10E-01
P-0029972-T01-IM6	1.13E+00	7.76E-01	8.56E+00	7.66E+00
P-0029983-T01-IM6	8.82E-02	3.94E-02	2.46E-01	2.53E-01
P-0030260-T01-IM6	4.29E-02	4.93E-01	3.65E-01	4.48E-01
P-0030322-T01-IM6	1.91E+00	3.57E-01	1.88E+00	4.60E-01
P-0031042-T01-IM6	0.00E+00	5.89E-01	8.51E-01	6.20E-01
P-0031094-T01-IM6	0.00E+00	4.78E-01	4.56E-01	4.88E-01
P-0031195-T01-IM6	7.06E-02	1.65E-01	3.72E-01	3.84E-01
P-0031211-T01-IM6	0.00E+00	3.57E-01	3.64E-01	8.13E-02
P-0031271-T01-IM6	5.75E-02	3.86E-01	4.39E-01	4.37E-01
P-0031436-T01-IM6	0.00E+00	2.80E-01	4.26E-01	4.27E-01
P-0031501-T01-IM6	3.12E-02	7.24E-01	5.60E-01	6.99E-01
P-0032113-T01-IM6	2.63E-01	5.32E-01	4.62E-01	3.14E-01
