Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0033467-T01-IM6	0	13	0	12
P-0033583-T01-IM6	0	9	6	7
P-0033682-T01-IM6	2	15	8	6
P-0034775-T01-IM6	0	3	0	12
P-0034862-T01-IM6	2	1	2	12
P-0034915-T01-IM6	43	172	11	93
P-0035146-T01-IM6	115	10	20	3
P-0035147-T01-IM6	97	4	2	3
P-0035281-T01-IM6	53	0	78	0
P-0035770-T01-IM6	305	11	30	12
P-0035790-T01-IM6	66	317	64	60
P-0036123-T01-IM6	64	0	112	0
P-0036230-T01-IM6	1	0	7	13
P-0036297-T01-IM6	83	10	28	0
P-0036505-T01-IM6	0	6	0	13
P-0036664-T01-IM6	0	12	0	9
P-0036740-T03-IM6	0	5	4	9
P-0036868-T01-IM6	0	10	0	7
P-0037690-T01-IM6	6	53	18	5
P-0037917-T01-IM6	2	2	0	4
P-0038016-T01-IM6	1	19	3	7
P-0038084-T01-IM6	2	29	9	4
P-0038304-T01-IM6	0	6	5	28
P-0038424-T01-IM6	1	30	9	17
P-0038520-T01-IM6	0	12	7	28
P-0038755-T01-IM6	21	0	25	0
P-0038944-T01-IM6	1	9	12	3
P-0039004-T01-IM6	0	10	5	8
P-0039054-T01-IM6	186	203	41	72
P-0039184-T01-IM6	0	18	0	0
P-0039231-T01-IM6	0	19	0	4
P-0039294-T01-IM6	1	12	6	10
P-0039466-T01-IM6	0	20	1	19
P-0039477-T01-IM6	1	23	2	3
P-0039599-T01-IM6	1	0	0	7
P-0039704-T01-IM6	316	6	39	0
P-0039773-T01-IM6	29	0	27	0
P-0039854-T01-IM6	2	9	9	11
P-0040023-T01-IM6	59	323	50	72
P-0040086-T01-IM6	71	10	0	2
P-0040149-T01-IM6	1	3	3	18
P-0040228-T01-IM6	3	12	0	9
P-0040284-T01-IM6	81	3	22	0
P-0040471-T01-IM6	0	5	1	21
P-0040549-T01-IM6	0	14	0	6
P-0040575-T01-IM6	2	28	8	6
P-0040701-T01-IM6	0	3	10	6
P-0040823-T01-IM6	0	3	4	47
P-0040828-T01-IM6	126	115	253	0
P-0040884-T01-IM6	0	5	0	10
P-0040892-T01-IM6	0	12	0	16
P-0040992-T01-IM6	2	20	0	18
P-0041146-T01-IM6	171	15	0	19
P-0041318-T01-IM6	21	5	0	2
P-0041346-T01-IM6	197	3	0	18
P-0041347-T01-IM6	0	2	3	9
P-0041596-T01-IM6	0	3	6	17
P-0042199-T01-IM6	122	19	162	0
P-0042256-T01-IM6	50	0	25	0
P-0042508-T01-IM6	0	6	2	0
P-0042644-T01-IM6	0	5	19	12
P-0042702-T01-IM6	43	0	40	0
P-0042762-T01-IM6	0	0	13	67
P-0042782-T01-IM6	0	4	3	12
P-0042819-T01-IM6	0	6	0	17
P-0043033-T02-IM6	1	20	1	13
P-0043071-T01-IM6	21	6	20	0
P-0043596-T01-IM6	399	37	316	0
P-0043613-T01-IM6	2	32	10	19
P-0043842-T01-IM6	204	169	56	0
P-0043909-T01-IM6	0	8	0	16
P-0043940-T01-IM6	0	3	0	17
P-0044312-T01-IM6	0	5	1	15
P-0044767-T01-IM6	0	6	0	4
P-0044790-T01-IM6	3	156	0	0
P-0044987-T01-IM6	4	42	1	29
P-0045120-T01-IM6	10	0	21	0
P-0045458-T01-IM6	95	57	219	0
P-0045533-T01-IM6	0	8	7	9
P-0045671-T01-IM6	3	4	0	6
P-0045738-T01-IM6	0	8	9	10
P-0045991-T01-IM6	0	6	0	13
P-0046448-T01-IM6	4	27	0	2
P-0046630-T01-IM6	0	40	0	0
P-0046754-T01-IM6	0	10	0	17
P-0046965-T01-IM6	406	25	0	48
P-0047374-T01-IM6	2	45	2	10
P-0047379-T01-IM6	3	4	0	2
P-0047653-T01-IM6	24	5	24	0
P-0047766-T01-IM6	0	47	0	1
P-0047768-T01-IM6	2	49	9	2
P-0047771-T01-IM6	63	0	27	0
P-0047974-T01-IM6	34	9	1	0
P-0048176-T01-IM6	2	11	0	12
P-0048238-T01-IM6	0	6	1	16
P-0048255-T01-IM6	0	7	8	23
P-0048289-T01-IM6	3	6	0	9
P-0048521-T01-IM6	1	7	0	15
P-0048589-T01-IM6	2	0	1	18
P-0048620-T01-IM6	1	5	8	18
P-0048757-T01-IM6	2	19	12	0
P-0048915-T01-IM6	0	2	3	16
P-0048984-T01-IM6	0	13	0	7
P-0049047-T01-IM6	399	169	0	61
P-0049073-T01-IM6	188	7	0	24
P-0049274-T01-IM6	36	0	6	4
P-0049291-T01-IM6	0	39	0	6
P-0049371-T01-IM6	29	0	22	0
P-0049473-T01-IM6	1	17	5	5
P-0049485-T01-IM6	0	20	12	14
P-0049760-T01-IM6	85	90	209	0
P-0049775-T01-IM6	4	15	8	5
P-0049788-T01-IM6	19	1	2	0
P-0049805-T01-IM6	0	11	1	9
P-0049931-T01-IM6	1	21	8	9
P-0050111-T01-IM6	0	15	4	9
P-0050149-T01-IM6	2	5	0	23
