Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS42	SBS54
P-0025885-T01-IM6	18	0	0	0	0	12	0	0
P-0026221-T01-IM6	7	5	0	0	0	11	0	0
P-0026297-T01-IM6	50	23	34	22	228	91	0	0
P-0026714-T01-IM6	4	9	0	0	0	5	0	0
P-0027652-T01-IM6	18	0	68	123	0	0	0	0
P-0027698-T01-IM6	24	10	0	9	18	0	0	0
P-0028034-T01-IM6	10	0	0	0	0	13	17	0
P-0028141-T01-IM6	2	12	0	0	7	0	0	0
P-0028144-T01-IM6	8	7	0	0	0	7	0	0
P-0028200-T01-IM6	6	0	0	0	12	0	0	0
P-0028472-T01-IM6	39	19	0	0	0	0	0	0
P-0028495-T01-IM6	6	4	0	0	0	0	10	0
P-0028774-T01-IM6	5	8	0	2	0	0	0	0
P-0028924-T01-IM6	14	15	0	0	0	0	0	0
P-0029429-T01-IM6	7	0	0	0	0	0	11	0
P-0029690-T01-IM6	18	0	51	61	0	0	0	0
P-0029778-T01-IM6	0	8	0	0	0	12	0	0
P-0029972-T01-IM6	6	126	22	0	0	61	0	88
P-0029983-T01-IM6	0	12	0	0	0	0	0	0
P-0030260-T01-IM6	5	0	0	0	16	0	0	6
P-0030322-T01-IM6	6	7	24	93	0	0	0	0
P-0031042-T01-IM6	6	7	0	0	0	15	0	0
P-0031094-T01-IM6	5	9	0	0	11	0	0	0
P-0031195-T01-IM6	0	17	0	0	0	0	0	0
P-0031211-T01-IM6	25	5	0	0	0	0	0	0
P-0031271-T01-IM6	5	16	0	0	0	0	0	0
P-0031436-T01-IM6	0	10	0	0	9	0	0	6
P-0031501-T01-IM6	18	9	0	9	30	0	0	0
P-0032113-T01-IM6	19	0	0	0	16	11	0	0
P-0032161-T02-IM6	17	3	0	0	0	12	0	8
P-0032443-T01-IM6	2	7	0	0	14	0	0	0
P-0032456-T01-IM6	1	5	0	0	11	0	0	0
P-0032495-T01-IM6	6	27	0	0	0	0	0	0
