Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0032161-T02-IM6	2	0	9	16	13
P-0032443-T01-IM6	0	3	14	6	0
P-0032456-T01-IM6	0	0	6	6	5
P-0032495-T01-IM6	0	0	1	7	25
P-0032496-T01-IM6	237	61	0	7	0
P-0032497-T01-IM6	1	2	0	5	13
P-0032548-T01-IM6	64	56	0	0	0
P-0032567-T01-IM6	3	1	5	28	4
P-0032761-T01-IM6	0	2	4	4	13
P-0032818-T01-IM6	88	164	0	0	0
P-0032990-T01-IM6	2	1	0	2	12
P-0032994-T01-IM6	0	5	8	14	13
P-0033016-T01-IM6	37	13	14	12	0
P-0033133-T01-IM6	4	9	94	38	0
P-0033467-T01-IM6	0	0	7	9	9
P-0033583-T01-IM6	0	4	9	5	4
P-0033682-T01-IM6	1	9	0	21	0
P-0034775-T01-IM6	0	0	1	4	10
P-0034862-T01-IM6	2	3	0	3	9
P-0034915-T01-IM6	44	3	174	91	7
P-0035146-T01-IM6	100	28	8	4	8
P-0035147-T01-IM6	88	13	2	0	3
P-0035281-T01-IM6	52	79	0	0	0
P-0035770-T01-IM6	277	58	5	4	14
P-0035790-T01-IM6	55	40	291	121	0
P-0036123-T01-IM6	63	112	0	1	0
P-0036230-T01-IM6	0	6	0	0	15
P-0036297-T01-IM6	78	35	0	8	0
P-0036505-T01-IM6	0	0	5	4	10
P-0036664-T01-IM6	0	0	11	6	4
P-0036740-T03-IM6	0	3	1	5	9
P-0036868-T01-IM6	0	0	2	11	4
P-0037690-T01-IM6	5	12	39	26	0
P-0037917-T01-IM6	2	0	0	4	2
P-0038016-T01-IM6	0	6	0	19	5
P-0038084-T01-IM6	0	11	0	32	1
P-0038304-T01-IM6	0	3	6	6	24
P-0038424-T01-IM6	1	9	7	28	12
P-0038520-T01-IM6	0	3	16	8	20
P-0038755-T01-IM6	21	23	0	0	2
P-0038944-T01-IM6	0	11	0	9	5
P-0039004-T01-IM6	0	4	9	6	4
P-0039054-T01-IM6	155	24	259	64	0
P-0039184-T01-IM6	0	2	3	13	0
P-0039231-T01-IM6	0	0	3	20	0
P-0039294-T01-IM6	0	5	5	12	7
P-0039466-T01-IM6	0	2	11	14	13
P-0039477-T01-IM6	0	5	0	24	0
P-0039599-T01-IM6	1	0	0	0	7
P-0039704-T01-IM6	290	71	0	0	0
P-0039773-T01-IM6	28	28	0	0	0
P-0039854-T01-IM6	1	8	0	11	11
P-0040023-T01-IM6	50	56	179	219	0
P-0040086-T01-IM6	63	2	14	4	0
P-0040149-T01-IM6	1	3	0	5	16
P-0040228-T01-IM6	3	0	2	14	5
P-0040284-T01-IM6	75	26	4	1	0
P-0040471-T01-IM6	0	0	12	2	13
P-0040549-T01-IM6	0	0	5	10	5
P-0040575-T01-IM6	0	11	0	31	2
P-0040701-T01-IM6	0	6	4	2	7
P-0040823-T01-IM6	0	2	5	3	44
P-0040828-T01-IM6	111	212	77	94	0
P-0040884-T01-IM6	0	0	5	4	6
P-0040892-T01-IM6	0	0	5	12	11
P-0040992-T01-IM6	0	4	0	24	12
P-0041146-T01-IM6	162	3	18	11	11
P-0041318-T01-IM6	20	0	3	4	1
P-0041346-T01-IM6	184	8	8	2	16
P-0041347-T01-IM6	0	1	7	2	4
P-0041596-T01-IM6	0	4	4	4	14
P-0042199-T01-IM6	120	152	3	28	0
P-0042256-T01-IM6	47	28	0	0	0
P-0042508-T01-IM6	0	2	0	6	0
P-0042644-T01-IM6	0	12	12	5	7
P-0042702-T01-IM6	42	41	0	0	0
P-0042762-T01-IM6	1	3	23	0	53
P-0042782-T01-IM6	0	2	6	2	9
P-0042819-T01-IM6	0	0	0	9	14
P-0043033-T02-IM6	1	2	3	21	8
P-0043071-T01-IM6	19	20	3	5	0
P-0043596-T01-IM6	385	296	26	45	0
P-0043613-T01-IM6	0	13	0	37	13
P-0043842-T01-IM6	164	56	128	81	0
P-0043909-T01-IM6	0	0	9	5	10
P-0043940-T01-IM6	0	0	0	4	16
P-0044312-T01-IM6	0	2	0	5	14
P-0044767-T01-IM6	1	0	1	5	3
P-0044790-T01-IM6	3	4	100	52	0
P-0044987-T01-IM6	3	6	0	43	24
P-0045120-T01-IM6	10	21	0	0	0
P-0045458-T01-IM6	86	186	51	48	0
P-0045533-T01-IM6	0	4	9	5	6
P-0045671-T01-IM6	3	1	0	4	5
P-0045738-T01-IM6	0	4	19	1	3
P-0045991-T01-IM6	0	0	0	8	11
P-0046448-T01-IM6	3	3	0	27	0
P-0046630-T01-IM6	1	0	9	30	0
P-0046754-T01-IM6	0	0	3	10	14
P-0046965-T01-IM6	373	18	54	4	30
P-0047374-T01-IM6	0	9	0	46	4
P-0047379-T01-IM6	3	0	0	5	1
P-0047653-T01-IM6	23	22	3	5	0
P-0047766-T01-IM6	0	3	0	45	0
P-0047768-T01-IM6	0	13	1	48	0
P-0047771-T01-IM6	60	28	2	0	0
P-0047974-T01-IM6	30	6	1	7	0
P-0048176-T01-IM6	2	0	8	8	7
P-0048238-T01-IM6	0	1	0	6	16
P-0048255-T01-IM6	0	6	4	7	21
P-0048289-T01-IM6	3	0	2	7	6
P-0048521-T01-IM6	0	1	0	8	14
P-0048589-T01-IM6	2	1	0	1	17
P-0048620-T01-IM6	0	7	0	6	19
P-0048757-T01-IM6	0	13	0	20	0
P-0048915-T01-IM6	0	2	2	2	15
P-0048984-T01-IM6	0	0	3	13	4
P-0049047-T01-IM6	351	4	202	72	0
P-0049073-T01-IM6	176	11	2	7	23
P-0049274-T01-IM6	33	8	0	0	5
P-0049291-T01-IM6	0	1	0	43	1
P-0049371-T01-IM6	28	22	0	1	0
P-0049473-T01-IM6	0	6	3	17	2
P-0049485-T01-IM6	0	8	21	9	8
P-0049760-T01-IM6	73	178	65	68	0
P-0049775-T01-IM6	3	9	0	18	2
P-0049788-T01-IM6	18	3	1	0	0
P-0049805-T01-IM6	0	2	1	10	8
P-0049931-T01-IM6	0	7	10	16	6
P-0050111-T01-IM6	0	3	8	13	4
P-0050149-T01-IM6	2	0	1	6	21
