Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0016801-T01-IM6	3.15E-02	3.92E-01	6.53E-01	4.83E-01	5.07E-01
P-0016825-T01-IM6	4.78E-01	4.97E-01	1.67E-01	2.35E-01	0.00E+00
P-0016904-T01-IM6	1.50E-01	3.07E-01	1.39E-01	3.78E-01	3.72E-01
P-0017300-T01-IM6	1.50E-01	3.51E-01	1.76E-01	3.80E-01	3.99E-01
P-0017681-T01-IM6	0.00E+00	4.11E-01	2.64E-01	4.52E-01	4.80E-01
P-0017713-T01-IM6	1.00E-02	6.08E-01	8.70E-01	6.13E-01	6.96E-01
P-0017883-T01-IM6	0.00E+00	4.73E-01	3.93E-01	5.42E-01	3.07E-01
P-0018005-T01-IM6	0.00E+00	6.99E-01	5.95E-01	8.41E-01	4.63E-01
P-0018100-T01-IM6	4.18E-01	7.08E+00	5.98E+00	4.90E+00	6.81E+00
P-0018106-T01-IM6	0.00E+00	3.78E-01	3.04E-01	4.25E-01	4.70E-01
P-0018204-T01-IM6	1.48E-01	6.22E-01	7.78E-01	4.78E-01	8.16E-01
P-0018224-T01-IM6	1.53E-01	3.23E-01	3.20E-01	2.82E-01	3.33E-01
P-0018353-T01-IM6	2.23E-02	3.57E-01	5.02E-01	4.68E-01	3.82E-01
P-0018723-T01-IM6	7.57E-02	4.33E-02	6.33E-02	4.56E-02	9.21E-02
P-0019071-T01-IM6	4.11E-02	3.56E-01	4.07E-01	4.36E-01	5.55E-01
P-0019093-T01-IM6	0.00E+00	5.14E-01	4.62E-01	5.45E-01	5.18E-01
P-0019386-T01-IM6	2.01E-01	3.21E-01	4.00E-01	3.97E-01	4.22E-01
P-0019598-T01-IM6	1.80E-01	2.50E-01	3.57E-01	2.91E-01	3.46E-01
P-0019649-T01-IM6	2.65E+00	3.72E+00	1.62E+00	2.35E+00	9.00E-01
P-0019650-T01-IM6	9.22E-02	2.52E-01	3.61E-01	3.91E-01	4.34E-01
P-0019658-T01-IM6	8.80E-01	9.01E-01	2.28E-01	8.40E-02	4.82E-02
P-0019741-T01-IM6	0.00E+00	4.90E-01	6.83E-01	7.43E-01	4.08E-01
P-0020009-T01-IM6	1.06E-01	2.87E-01	3.28E-01	3.62E-01	3.84E-01
P-0020227-T01-IM6	1.14E-01	3.53E-01	4.42E-01	4.30E-01	5.44E-01
P-0020271-T01-IM6	0.00E+00	5.14E-01	5.45E-01	5.95E-01	6.03E-01
P-0020509-T01-IM6	1.46E-01	3.01E-01	4.61E-01	4.87E-01	2.66E-01
P-0020754-T01-IM6	5.73E-02	2.51E-01	2.23E-01	2.82E-01	3.44E-01
P-0021505-T01-IM6	1.68E-01	4.81E-01	5.54E-01	5.34E-01	5.09E-01
P-0021670-T01-IM6	1.06E-01	2.54E-01	1.51E-01	3.92E-01	3.53E-01
P-0021692-T01-IM6	3.30E-02	3.32E-01	1.75E-01	3.58E-01	4.15E-01
P-0021856-T01-IM6	0.00E+00	3.34E-01	1.55E-01	3.86E-01	3.44E-01
P-0021897-T01-IM6	0.00E+00	2.88E-01	2.96E-01	2.37E-01	3.88E-01
P-0022010-T01-IM6	0.00E+00	8.23E-01	8.78E-01	1.02E+00	4.77E-01
P-0023250-T01-IM6	2.18E-01	3.60E-01	4.44E-01	2.60E-01	5.08E-01
P-0023555-T01-IM6	6.72E-02	7.60E-01	8.35E-01	7.97E-01	5.24E-01
P-0023857-T01-IM6	2.01E-01	3.78E-01	6.56E-01	4.74E-01	4.47E-01
P-0023968-T01-IM6	3.43E-02	2.61E-01	3.54E-01	3.30E-01	2.97E-01
P-0024106-T01-IM6	1.65E-01	1.58E-01	2.12E-01	2.55E-01	2.81E-01
P-0024289-T01-IM6	0.00E+00	5.22E-01	5.98E-01	5.85E-01	7.35E-01
P-0025003-T01-IM6	1.33E-01	2.84E-01	2.58E-01	3.13E-01	3.52E-01
P-0025195-T01-IM6	6.11E-02	2.40E-01	5.46E-01	4.00E-01	4.37E-01
P-0025240-T01-IM6	1.46E-01	3.54E-01	4.98E-01	5.79E-01	4.20E-01
P-0025248-T01-IM6	1.00E-02	4.05E-01	5.54E-01	4.43E-01	4.06E-01
P-0025312-T01-IM6	1.06E-01	2.87E-01	1.70E-01	3.65E-01	3.44E-01
P-0025648-T01-IM6	1.38E+00	1.51E+00	4.90E-01	5.98E-01	9.46E-02
P-0025701-T01-IM6	0.00E+00	3.12E-01	2.19E-01	3.82E-01	3.44E-01
P-0025885-T01-IM6	1.66E-01	3.76E-01	4.59E-01	5.60E-01	2.85E-01
P-0026221-T01-IM6	0.00E+00	3.99E-01	4.24E-01	4.66E-01	5.12E-01
P-0026297-T01-IM6	1.19E+00	3.85E+00	5.83E+00	6.67E+00	3.21E+00
P-0026714-T01-IM6	0.00E+00	3.71E-01	3.02E-01	4.46E-01	4.66E-01
P-0027652-T01-IM6	2.44E+00	2.89E+00	9.31E-01	7.03E-01	3.45E-01
P-0027698-T01-IM6	1.96E-01	8.06E-01	6.18E-01	8.47E-01	7.25E-01
P-0028034-T01-IM6	1.34E-01	5.90E-01	7.41E-01	6.43E-01	6.74E-01
P-0028141-T01-IM6	1.44E-01	4.32E-01	3.95E-01	4.32E-01	4.90E-01
P-0028144-T01-IM6	0.00E+00	3.93E-01	4.67E-01	5.08E-01	4.76E-01
P-0028200-T01-IM6	9.96E-02	3.18E-01	4.31E-01	4.26E-01	2.95E-01
P-0028472-T01-IM6	0.00E+00	8.98E-01	7.72E-01	1.18E+00	3.67E-01
P-0028495-T01-IM6	1.74E-01	3.03E-01	4.26E-01	3.18E-01	3.61E-01
P-0028774-T01-IM6	7.82E-02	2.83E-01	1.69E-01	3.69E-01	4.08E-01
P-0028924-T01-IM6	1.72E-01	4.33E-01	4.46E-01	4.66E-01	4.95E-01
P-0029429-T01-IM6	0.00E+00	3.59E-01	4.34E-01	4.42E-01	3.48E-01
P-0029690-T01-IM6	1.35E+00	1.48E+00	6.87E-01	7.11E-01	5.33E-01
P-0029778-T01-IM6	8.98E-02	3.61E-01	4.66E-01	2.80E-01	4.60E-01
P-0029972-T01-IM6	9.26E-01	9.94E-01	5.59E+00	4.01E-01	5.57E+00
P-0029983-T01-IM6	7.40E-02	2.43E-01	2.45E-01	1.36E-01	3.08E-01
P-0030260-T01-IM6	4.08E-02	3.74E-01	5.79E-01	5.83E-01	4.44E-01
P-0030322-T01-IM6	1.87E+00	1.99E+00	7.87E-01	1.87E-01	4.76E-01
P-0031042-T01-IM6	0.00E+00	4.50E-01	7.36E-01	4.67E-01	6.00E-01
P-0031094-T01-IM6	0.00E+00	5.03E-01	3.73E-01	4.21E-01	5.20E-01
P-0031195-T01-IM6	7.16E-02	2.88E-01	3.23E-01	2.44E-01	4.39E-01
P-0031211-T01-IM6	0.00E+00	5.86E-01	4.68E-01	7.30E-01	4.11E-02
P-0031271-T01-IM6	2.00E-02	3.11E-01	4.51E-01	3.41E-01	4.32E-01
P-0031436-T01-IM6	0.00E+00	4.37E-01	3.99E-01	4.42E-01	5.32E-01
P-0031501-T01-IM6	2.00E-02	7.15E-01	1.00E+00	8.10E-01	8.60E-01
P-0032113-T01-IM6	2.05E-01	6.80E-01	7.91E-01	9.56E-01	2.00E-01
P-0032161-T02-IM6	1.12E-01	4.45E-01	5.36E-01	5.15E-01	6.12E-01
P-0032443-T01-IM6	1.81E-01	3.70E-01	5.55E-01	3.87E-01	3.87E-01
P-0032456-T01-IM6	0.00E+00	3.34E-01	4.46E-01	3.45E-01	3.67E-01
P-0032495-T01-IM6	0.00E+00	4.18E-01	5.31E-01	4.20E-01	6.43E-01
P-0032496-T01-IM6	2.59E+00	3.02E+00	8.41E-01	9.22E-01	1.19E-01
P-0032497-T01-IM6	1.69E-01	2.67E-01	3.14E-01	3.64E-01	4.85E-01
P-0032548-T01-IM6	2.00E+00	2.20E+00	4.70E-01	3.53E-01	2.81E-01
P-0032567-T01-IM6	1.54E-01	5.37E-01	6.63E-01	8.11E-01	3.20E-01
P-0032761-T01-IM6	4.90E-02	4.90E-01	5.58E-01	4.56E-01	6.23E-01
P-0032818-T01-IM6	5.22E+00	6.32E+00	8.83E-01	1.04E+00	1.37E-01
P-0032990-T01-IM6	1.34E-01	3.48E-01	1.98E-01	3.46E-01	4.42E-01
P-0032994-T01-IM6	5.75E-02	4.34E-01	6.88E-01	5.55E-01	5.28E-01
P-0033016-T01-IM6	7.65E-01	8.41E-01	7.13E-01	6.60E-01	3.87E-01
P-0033133-T01-IM6	3.89E-01	1.53E+00	2.47E+00	2.69E+00	6.25E-01
P-0033467-T01-IM6	0.00E+00	3.35E-01	4.75E-01	4.25E-01	4.68E-01
P-0033583-T01-IM6	1.97E-02	2.74E-01	4.16E-01	3.76E-01	3.90E-01
P-0033682-T01-IM6	1.30E-01	4.50E-01	2.12E-01	4.97E-01	6.61E-02
P-0034775-T01-IM6	0.00E+00	2.25E-01	4.67E-01	2.54E-01	4.75E-01
P-0034862-T01-IM6	1.72E-01	3.52E-01	1.82E-01	3.79E-01	4.35E-01
P-0034915-T01-IM6	1.10E+00	2.48E+00	3.59E+00	4.32E+00	1.91E+00
P-0035146-T01-IM6	1.42E+00	1.21E+00	9.18E-01	3.68E-01	7.49E-01
P-0035147-T01-IM6	8.80E-01	8.11E-01	5.48E-01	3.20E-01	5.12E-01
P-0035281-T01-IM6	2.24E+00	2.51E+00	5.29E-01	6.47E-01	6.02E-01
P-0035770-T01-IM6	2.90E+00	3.45E+00	1.05E+00	7.49E-01	7.49E-01
P-0035790-T01-IM6	1.19E+00	5.17E+00	7.40E+00	8.04E+00	3.73E+00
P-0036123-T01-IM6	3.22E+00	3.83E+00	5.05E-01	1.30E+00	0.00E+00
P-0036230-T01-IM6	1.88E-01	3.02E-01	2.46E-01	2.48E-01	3.76E-01
P-0036297-T01-IM6	1.67E+00	1.97E+00	3.51E-01	6.16E-01	8.53E-02
P-0036505-T01-IM6	0.00E+00	5.02E-01	4.93E-01	4.02E-01	5.35E-01
P-0036664-T01-IM6	0.00E+00	3.86E-01	4.22E-01	4.55E-01	4.47E-01
P-0036740-T03-IM6	3.12E-02	2.85E-01	2.60E-01	3.92E-01	3.88E-01
P-0036868-T01-IM6	5.45E-02	3.17E-01	3.03E-01	3.81E-01	3.73E-01
P-0037690-T01-IM6	2.74E-01	1.03E+00	1.53E+00	1.68E+00	2.15E-01
P-0037917-T01-IM6	1.34E-01	2.01E-01	1.31E-01	2.07E-01	1.77E-01
P-0038016-T01-IM6	0.00E+00	4.06E-01	3.16E-01	4.47E-01	4.11E-01
P-0038084-T01-IM6	8.65E-02	7.18E-01	6.21E-01	8.14E-01	3.62E-01
P-0038304-T01-IM6	1.53E-01	5.92E-01	4.81E-01	6.56E-01	7.53E-01
P-0038424-T01-IM6	1.67E-01	7.61E-01	7.70E-01	8.23E-01	6.76E-01
P-0038520-T01-IM6	2.00E-02	4.42E-01	8.98E-01	5.61E-01	7.78E-01
P-0038755-T01-IM6	6.97E-01	8.20E-01	3.56E-01	2.77E-01	2.61E-01
P-0038944-T01-IM6	1.99E-01	3.30E-01	2.00E-01	4.13E-01	4.64E-01
P-0039004-T01-IM6	2.23E-02	3.61E-01	6.25E-01	4.83E-01	3.92E-01
P-0039054-T01-IM6	2.12E+00	3.04E+00	5.77E+00	5.88E+00	2.04E+00
P-0039184-T01-IM6	8.33E-02	2.89E-01	1.49E-01	3.39E-01	3.46E-01
P-0039231-T01-IM6	0.00E+00	4.25E-01	4.66E-01	4.89E-01	4.41E-01
P-0039294-T01-IM6	2.09E-01	4.79E-01	5.51E-01	5.03E-01	5.82E-01
P-0039466-T01-IM6	1.17E-01	5.06E-01	6.04E-01	5.49E-01	5.98E-01
