Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0002890-T01-IM3	4	0.388	6.596	164.9%	1.847	92.35%	1.8862	0.339
P-0002893-T01-IM3	6	0.361	10.42	173.667%	2.284	93.244%	2.28149	0.27
P-0002904-T01-IM3	2	0.35	3.657	182.85%	1.333	94.257%	2.54796	0.331
P-0002905-T01-IM3	5	0.167	9.3	186.0%	2.275	101.741%	3.33509	0.052
P-0002909-T01-IM3	1	0.256	1.884	188.4%	0.967	96.7%	2.84794	0.237
P-0002912-T01-IM3	2	0.263	3.779	188.95%	1.367	96.661%	2.89666	0.228
P-0002916-T02-IM5	4	0.343	7.184	179.6%	1.881	94.05%	2.72599	0.285
P-0002917-T01-IM3	6	0.219	10.787	179.783%	2.792	98.712%	3.01916	0.116
P-0002921-T01-IM3	13	0.48	19.551	150.392%	3.397	87.71%	1.64391	0.358
P-0002949-T01-IM3	2	0.285	3.72	186.0%	1.357	95.954%	3.04028	0.251
P-0002954-T01-IM3	11	0.493	15.728	142.982%	3.139	87.06%	1.64651	0.404
P-0002955-T01-IM3	5	0.175	9.438	188.76%	2.226	99.55%	3.38029	0.019
P-0002956-T01-IM3	13	0.419	20.269	155.915%	3.749	90.927%	1.81081	0.287
P-0002957-T01-IM3	18	0.442	27.279	151.55%	4.6	90.213%	1.68194	0.29
P-0002969-T01-IM3	20	0.494	27.602	138.01%	4.449	87.252%	1.36461	0.325
P-0002980-T01-IM3	6	0.234	10.806	180.1%	2.426	99.041%	2.76967	0.111
P-0002989-T01-IM3	3	0.283	5.491	183.033%	1.662	95.956%	2.72565	0.225
P-0002996-T01-IM3	10	0.391	16.048	160.48%	3.211	92.694%	1.86397	0.281
P-0003013-T01-IM3	3	0.455	5.18	172.667%	1.565	90.355%	2.34214	0.441
P-0003017-T01-IM3	4	0.48	6.67	166.75%	1.775	88.75%	1.88968	0.454
P-0003030-T01-IM3	6	0.493	9.59	159.833%	2.141	87.406%	1.79612	0.444
P-0003034-T01-IM5	13	0.476	20.425	157.115%	3.406	87.943%	1.68889	0.352
P-0003055-T01-IM5	13	0.719	14.434	111.031%	3.204	69.917%	1.22048	0.689
P-0003070-T01-IM5	2	0.15	3.853	192.65%	1.405	99.349%	3.37983	0.081
P-0003096-T01-IM5	7	0.282	12.379	176.843%	2.56	96.759%	2.74376	0.144
P-0003107-T01-IM5	6	0.319	10.442	174.033%	2.332	95.204%	2.32813	0.216
P-0003116-T01-IM5	12	0.494	17.166	143.05%	3.025	87.324%	1.70193	0.375
P-0003119-T01-IM5	12	0.598	16.468	137.233%	3.003	80.259%	1.74436	0.53
P-0003125-T01-IM5	1	0.128	1.942	194.2%	0.997	99.7%	3.54656	0.092
P-0003129-T01-IM5	13	0.495	19.859	152.762%	3.365	86.884%	1.69584	0.38
P-0003156-T01-IM5	6	0.562	9.217	153.617%	2.379	84.11%	1.88562	0.539
P-0003165-T01-IM5	24	0.622	30.417	126.738%	4.841	78.531%	1.29134	0.525
P-0003167-T01-IM5	29	0.754	32.041	110.486%	8.084	68.568%	1.21856	0.742
P-0003169-T01-IM5	3	0.175	5.739	191.3%	1.71	98.727%	3.13547	0.071
P-0003196-T01-IM5	4	0.353	7.32	183.0%	2.309	94.265%	2.46695	0.335
P-0003201-T01-IM5	9	0.451	14.387	159.856%	2.965	89.398%	1.90606	0.374
P-0003202-T01-IM5	1	0.427	1.852	185.2%	0.939	93.9%	2.6045	0.456
P-0003206-T01-IM5	4	0.347	7.235	180.875%	2.311	94.346%	2.41556	0.325
P-0003207-T01-IM5	1	0.256	1.884	188.4%	0.967	96.7%	2.84794	0.237
P-0003213-T01-IM5	9	0.468	13.367	148.522%	2.663	88.767%	1.84512	0.376
P-0003222-T01-IM5	36	0.606	42.306	117.517%	6.576	79.746%	1.16298	0.461
P-0003229-T01-IM5	50	0.626	54.179	108.358%	9.294	77.994%	0.97247	0.505
P-0003240-T01-IM5	6	0.448	10.042	167.367%	2.2	89.815%	2.03692	0.393
P-0003247-T01-IM5	9	0.505	13.963	155.144%	2.596	86.533%	1.63827	0.425
P-0003250-T01-IM5	4	0.487	6.607	165.175%	1.766	88.3%	1.93816	0.461
P-0003274-T02-IM6	3	0.286	5.505	183.5%	1.66	95.84%	2.58662	0.229
P-0003275-T01-IM5	3	0.353	5.472	182.4%	1.63	94.108%	2.53783	0.329
P-0003276-T01-IM5	5	0.426	8.627	172.54%	2.036	91.053%	2.37213	0.385
P-0003278-T01-IM5	13	0.245	22.636	174.123%	5.602	97.518%	2.48713	0.125
P-0003282-T01-IM5	3	0.251	5.41	180.333%	1.694	97.803%	2.83864	0.195
P-0003297-T01-IM5	1	0.064	1.978	197.8%	1.004	100.4%	4.50464	0.005
P-0003302-T01-IM5	7	0.34	11.509	164.414%	2.534	95.776%	2.72851	0.244
P-0003303-T01-IM5	7	0.523	11.324	161.771%	2.603	86.767%	1.86269	0.501
P-0003311-T01-IM5	39	0.74	40.695	104.346%	6.94	67.727%	0.84018	0.687
P-0003314-T01-IM5	8	0.408	12.799	159.987%	2.593	91.676%	1.88535	0.308
P-0003316-T01-IM5	5	0.383	8.717	174.34%	2.068	92.484%	2.22479	0.319
P-0003317-T02-IM5	6	0.279	10.782	179.7%	2.362	96.428%	2.37053	0.152
P-0003322-T03-IM6	5	0.176	9.434	188.68%	2.225	99.505%	3.41941	0.02
P-0003323-T01-IM5	1	0.023	1.992	199.2%	1.011	101.1%	5.5411	-0.047
P-0003324-T01-IM5	6	0.471	9.889	164.817%	2.174	88.753%	1.97122	0.421
P-0003357-T02-IM6	2	0.341	3.713	185.65%	1.342	94.894%	2.67232	0.336
P-0003368-T01-IM5	9	0.398	14.816	164.622%	2.756	91.867%	2.06491	0.271
P-0003383-T01-IM5	1	0.263	1.881	188.1%	0.965	96.5%	2.8209	0.245
P-0003425-T01-IM5	4	0.44	6.952	173.8%	1.818	90.9%	2.12452	0.422
P-0003444-T01-IM5	8	0.533	12.563	157.038%	2.705	85.54%	1.88037	0.495
P-0003460-T01-IM5	1	0.111	1.95	195.0%	1.0	100.0%	3.68288	0.073
P-0003465-T01-IM5	2	0.056	3.945	197.25%	1.437	101.611%	4.57758	-0.036
P-0003479-T01-IM5	2	0.531	3.321	166.05%	1.235	87.328%	1.84338	0.527
P-0003489-T01-IM5	9	0.458	15.312	170.133%	3.461	89.363%	2.05519	0.411
P-0003495-T01-IM5	5	0.204	9.148	182.96%	2.242	100.265%	3.00362	0.097
P-0003502-T01-IM5	4	0.1	7.763	194.075%	2.029	101.45%	3.52478	-0.057
P-0003505-T01-IM5	16	0.588	21.429	133.931%	3.624	81.035%	1.40716	0.497
P-0003508-T01-IM5	1	0.112	1.949	194.9%	1.0	100.0%	3.67787	0.074
P-0003523-T01-IM5	6	0.362	10.472	174.533%	2.641	93.373%	2.22593	0.303
P-0003527-T01-IM5	6	0.361	9.953	165.883%	2.301	93.938%	2.08173	0.278
P-0003531-T01-IM5	5	0.452	7.893	157.86%	2.361	89.237%	1.63967	0.417
P-0003537-T02-IM5	12	0.471	17.893	149.108%	3.066	88.508%	1.91495	0.338
P-0003553-T01-IM5	25	0.559	31.751	127.004%	5.311	82.944%	1.28593	0.427
P-0003562-T01-IM5	38	0.825	32.576	85.726%	4.624	56.918%	0.68271	0.768
P-0003569-T01-IM5	3	0.189	5.637	187.9%	2.21	98.834%	2.82065	0.144
P-0003572-T01-IM5	6	0.389	10.338	172.3%	2.606	92.136%	2.31523	0.332
P-0003573-T03-IM6	6	0.421	9.845	164.083%	2.57	90.863%	2.10273	0.371
P-0003580-T02-IM6	5	0.3	9.035	180.7%	2.134	95.435%	2.67256	0.201
P-0003584-T01-IM5	12	0.514	18.65	155.417%	4.224	86.222%	1.82433	0.469
