Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0040250-T01-IM6	41	0.939	28.222	68.834%	5.788	35.29%	0.81576	0.935
P-0040355-T01-IM6	30	0.898	22.202	74.007%	4.368	44.123%	0.66309	0.886
P-0040373-T01-IM6	51	0.924	34.785	68.206%	5.374	38.288%	0.59039	0.912
P-0040484-T01-IM6	23	0.919	16.24	70.609%	3.465	40.01%	0.78089	0.913
P-0040678-T01-IM6	49	0.894	38.634	78.845%	9.678	45.075%	0.67164	0.887
P-0040787-T01-IM6	173	0.992	55.299	31.965%	9.392	12.581%	0.2653	0.992
P-0041005-T01-IM6	73	0.924	43.106	59.049%	8.036	38.267%	0.57016	0.913
P-0041144-T01-IM6	58	0.915	41.23	71.086%	6.619	40.892%	0.5453	0.901
P-0041213-T01-IM6	26	0.913	19.219	73.919%	3.33	41.625%	0.67582	0.902
P-0041436-T01-IM6	48	0.887	37.409	77.935%	6.324	46.37%	0.72384	0.869
P-0041542-T01-IM6	21	0.933	14.408	68.61%	3.149	38.471%	0.90438	0.929
P-0041648-T01-IM6	69	0.975	34.122	49.452%	5.666	22.485%	0.40381	0.972
P-0041855-T01-IM6	79	0.911	50.18	63.519%	7.588	41.582%	0.5737	0.889
P-0041986-T01-IM6	54	0.847	45.604	84.452%	9.397	53.371%	0.6683	0.828
P-0042503-T01-IM6	40	0.817	33.806	84.515%	5.764	57.64%	0.69417	0.776
P-0042615-T01-IM6	38	0.909	27.618	72.679%	7.038	42.06%	0.79943	0.903
P-0042737-T01-IM6	42	0.947	25.391	60.455%	4.784	33.332%	0.51227	0.942
P-0042880-T01-IM6	27	0.863	24.935	92.352%	4.382	50.599%	0.87529	0.846
P-0043005-T01-IM6	65	0.933	41.184	63.36%	8.039	35.988%	0.49412	0.927
P-0043052-T01-IM6	93	0.938	54.03	58.097%	10.082	34.642%	0.44657	0.931
P-0043087-T01-IM6	87	0.906	59.464	68.349%	11.751	42.32%	0.59203	0.895
P-0043095-T01-IM6	56	0.935	36.418	65.032%	5.552	35.543%	0.52311	0.925
P-0043154-T01-IM6	52	0.862	43.39	83.442%	8.708	50.786%	0.66247	0.846
P-0043169-T01-IM6	18	0.749	19.159	106.439%	3.381	66.307%	1.13689	0.705
P-0043595-T01-IM6	56	0.944	35.717	63.78%	6.414	33.078%	0.55784	0.939
P-0043599-T01-IM6	39	0.828	32.974	84.549%	5.379	56.387%	0.8293	0.788
P-0043781-T01-IM6	36	0.752	33.3	92.5%	6.104	66.6%	1.08282	0.697
P-0043907-T01-IM6	50	0.923	34.685	69.37%	7.07	38.456%	0.5837	0.916
P-0044184-T01-IM6	53	0.946	29.456	55.577%	4.629	33.494%	0.52287	0.936
P-0044217-T01-IM6	21	0.8	22.864	108.876%	4.117	60.053%	1.0617	0.775
P-0044329-T01-IM6	52	0.944	29.774	57.258%	5.627	32.93%	0.43758	0.938
P-0044371-T01-IM6	66	0.872	44.27	67.076%	8.202	49.37%	0.60774	0.845
P-0044406-T01-IM6	37	0.751	38.188	103.211%	7.84	66.025%	1.01479	0.718
P-0044484-T01-IM6	38	0.868	31.577	83.097%	6.505	49.6%	0.71154	0.855
P-0044540-T01-IM6	45	0.843	44.621	99.158%	7.956	56.684%	1.21643	0.824
P-0044544-T01-IM6	36	0.889	27.715	76.986%	4.687	45.96%	0.65917	0.871
P-0044576-T01-IM6	32	0.758	31.557	98.616%	6.76	70.478%	1.14795	0.728
P-0044645-T01-IM6	85	0.959	45.919	54.022%	10.901	29.505%	0.43178	0.957
P-0044666-T01-IM6	29	0.949	19.863	68.493%	3.863	33.247%	0.87804	0.946
