Samples	SBS96A	SBS96B
P-0036297-T01-IM6	4.43E-01	4.43E-01
P-0036505-T01-IM6	0.00E+00	0.00E+00
P-0036664-T01-IM6	1.00E-02	1.00E-02
P-0036740-T03-IM6	1.18E-01	1.19E-01
P-0036868-T01-IM6	6.08E-02	6.08E-02
P-0037690-T01-IM6	4.69E-01	4.70E-01
P-0037917-T01-IM6	1.72E-01	1.72E-01
P-0038016-T01-IM6	1.83E-01	1.83E-01
P-0038084-T01-IM6	3.57E-01	3.57E-01
P-0038520-T01-IM6	1.11E-01	1.11E-01
P-0038755-T01-IM6	4.29E-01	4.29E-01
P-0038944-T01-IM6	2.94E-01	2.94E-01
P-0039054-T01-IM6	1.75E+00	1.75E+00
P-0039231-T01-IM6	0.00E+00	0.00E+00
P-0039466-T01-IM6	1.68E-01	1.68E-01
P-0039477-T01-IM6	1.29E-01	1.29E-01
P-0039599-T01-IM6	1.91E-01	1.91E-01
P-0039704-T01-IM6	3.93E-01	3.93E-01
P-0039773-T01-IM6	3.41E-01	3.41E-01
P-0039854-T01-IM6	3.42E-01	3.42E-01
P-0040023-T01-IM6	1.21E+00	1.21E+00
P-0040086-T01-IM6	2.87E-01	2.87E-01
P-0040149-T01-IM6	2.52E-01	2.52E-01
P-0040228-T01-IM6	2.47E-01	2.47E-01
P-0040284-T01-IM6	3.92E-01	3.93E-01
P-0040575-T01-IM6	3.11E-01	3.10E-01
P-0040701-T01-IM6	2.44E-01	2.44E-01
P-0040828-T01-IM6	1.60E+00	1.60E+00
P-0040884-T01-IM6	0.00E+00	0.00E+00
P-0040892-T01-IM6	0.00E+00	0.00E+00
P-0040992-T01-IM6	1.73E-01	1.73E-01
P-0041146-T01-IM6	6.85E-01	6.84E-01
P-0041318-T01-IM6	2.58E-01	2.59E-01
P-0041346-T01-IM6	8.11E-01	8.10E-01
P-0041347-T01-IM6	7.68E-02	7.68E-02
P-0042199-T01-IM6	1.35E+00	1.35E+00
P-0042256-T01-IM6	2.47E-01	2.47E-01
P-0042644-T01-IM6	3.21E-01	3.23E-01
P-0042702-T01-IM6	2.67E-01	2.71E-01
P-0042762-T01-IM6	2.62E-01	2.61E-01
P-0042782-T01-IM6	1.02E-01	1.02E-01
P-0043033-T02-IM6	2.54E-01	2.54E-01
P-0043071-T01-IM6	4.39E-01	4.39E-01
P-0043596-T01-IM6	1.59E+00	1.59E+00
P-0043613-T01-IM6	3.10E-01	3.10E-01
P-0043842-T01-IM6	1.57E+00	1.57E+00
P-0043909-T01-IM6	0.00E+00	0.00E+00
P-0043940-T01-IM6	1.93E-01	1.94E-01
P-0044312-T01-IM6	6.01E-02	6.01E-02
P-0044767-T01-IM6	1.66E-01	1.66E-01
P-0044790-T01-IM6	4.09E-01	4.09E-01
P-0044987-T01-IM6	3.72E-01	3.72E-01
P-0045120-T01-IM6	1.80E-01	1.80E-01
P-0045458-T01-IM6	1.42E+00	1.42E+00
P-0045671-T01-IM6	2.00E-01	1.99E-01
P-0045738-T01-IM6	2.41E-01	2.38E-01
P-0045991-T01-IM6	0.00E+00	0.00E+00
P-0046448-T01-IM6	2.64E-01	2.64E-01
P-0046630-T01-IM6	1.63E-01	1.63E-01
P-0046754-T01-IM6	0.00E+00	0.00E+00
P-0046965-T01-IM6	1.18E+00	1.17E+00
P-0047374-T01-IM6	2.20E-01	2.20E-01
P-0047653-T01-IM6	4.17E-01	4.19E-01
P-0047766-T01-IM6	1.26E-01	1.26E-01
P-0047768-T01-IM6	3.65E-01	3.64E-01
P-0047771-T01-IM6	2.89E-01	2.89E-01
P-0047974-T01-IM6	3.69E-01	3.69E-01
P-0048176-T01-IM6	1.89E-01	1.89E-01
P-0048238-T01-IM6	7.83E-02	7.83E-02
P-0048255-T01-IM6	1.46E-01	1.47E-01
P-0048521-T01-IM6	6.77E-02	6.77E-02
P-0048589-T01-IM6	1.64E-01	1.65E-01
P-0048620-T01-IM6	1.77E-01	1.77E-01
P-0048757-T01-IM6	3.65E-01	3.65E-01
P-0048915-T01-IM6	1.23E-01	1.23E-01
P-0048984-T01-IM6	0.00E+00	0.00E+00
P-0049047-T01-IM6	1.95E+00	1.95E+00
P-0049073-T01-IM6	8.84E-01	8.84E-01
P-0049274-T01-IM6	2.83E-01	2.83E-01
P-0049291-T01-IM6	3.83E-02	3.83E-02
P-0049371-T01-IM6	2.66E-01	2.66E-01
P-0049473-T01-IM6	2.14E-01	2.13E-01
P-0049485-T01-IM6	2.41E-01	2.41E-01
P-0049760-T01-IM6	1.64E+00	1.64E+00
P-0049775-T01-IM6	2.97E-01	2.96E-01
P-0049788-T01-IM6	1.74E-01	1.74E-01
P-0049805-T01-IM6	1.35E-01	1.35E-01
P-0049931-T01-IM6	2.41E-01	2.41E-01
P-0050111-T01-IM6	2.59E-01	2.58E-01
