Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0006365-T01-IM5	4.79E-01	3.73E-01	4.01E-01	1.75E-01	4.89E-01	4.17E-01
P-0006612-T01-IM5	1.08E+00	1.46E+00	8.80E+00	7.64E+00	7.18E-01	2.24E-01
P-0006753-T01-IM5	4.04E-01	5.97E-01	5.69E-01	1.41E-01	4.88E-01	5.48E-01
P-0006960-T01-IM5	1.55E+00	2.84E+00	2.41E+00	2.09E+00	2.89E+00	1.41E+00
P-0007055-T01-IM5	5.33E-01	4.92E-01	5.31E-01	1.05E-01	5.69E-01	5.04E-01
P-0007147-T01-IM5	8.60E-01	1.10E+00	8.12E-01	2.66E-01	1.01E+00	1.01E+00
P-0007296-T01-IM5	6.35E-01	7.31E-01	5.12E-01	1.34E-01	7.06E-01	6.07E-01
P-0007596-T01-IM5	6.67E-01	6.91E-01	3.27E-01	2.97E-02	4.28E-01	3.10E-01
P-0007688-T01-IM5	4.77E-01	5.42E-01	3.74E-01	1.72E-01	6.18E-01	4.33E-01
P-0007739-T01-IM5	2.46E-01	3.79E-01	2.53E-01	5.41E-02	2.85E-01	4.03E-01
P-0007831-T01-IM5	4.53E-01	7.07E-01	6.08E-01	2.20E-01	5.62E-01	3.49E-01
P-0007836-T01-IM5	4.53E-01	3.39E-01	3.24E-01	1.66E-01	4.28E-01	4.57E-01
P-0007843-T01-IM5	3.88E-01	5.19E-01	3.90E-01	2.43E-02	4.43E-01	4.18E-01
P-0007882-T01-IM5	4.65E-01	6.50E-01	4.87E-01	4.64E-02	4.63E-01	3.53E-01
P-0007997-T01-IM5	4.03E-01	5.77E-01	3.97E-01	0.00E+00	5.09E-01	5.04E-01
P-0008180-T01-IM5	7.44E-01	7.62E-01	5.59E-01	0.00E+00	7.74E-01	5.57E-01
P-0008226-T02-IM5	4.68E-01	4.42E-01	4.61E-01	1.98E-01	5.90E-01	4.42E-01
P-0008317-T01-IM5	5.35E-01	4.74E-01	3.89E-01	1.48E-01	2.51E-01	3.21E-01
P-0008504-T03-IM6	4.52E-01	5.30E-01	8.33E-01	2.33E-01	8.75E-01	8.74E-01
P-0008721-T01-IM5	5.39E-01	7.44E-01	7.05E-01	1.68E-01	6.30E-01	7.20E-01
