Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0020748-T01-IM6	10	0	0	2	3	1
P-0020834-T01-IM6	2	0	8	0	7	0
P-0021049-T01-IM6	19	6	6	0	0	5
P-0021090-T01-IM6	4	9	124	41	0	0
P-0021154-T01-IM6	1	8	0	1	14	5
P-0021292-T01-IM6	17	4	3	0	12	0
P-0021304-T01-IM6	34	15	12	2	0	1
P-0021346-T01-IM6	7	11	3	0	0	1
P-0021393-T01-IM6	15	35	0	0	13	0
P-0021744-T01-IM6	21	18	0	0	12	9
P-0022111-T01-IM6	24	25	14	0	15	7
P-0022508-T01-IM6	18	1	0	0	3	3
P-0023162-T01-IM6	4	1	0	0	9	10
P-0023271-T01-IM6	14	16	150	121	0	0
P-0023272-T01-IM6	20	15	0	0	0	18
P-0023551-T01-IM6	12	4	2	1	20	17
P-0023639-T01-IM6	9	11	14	0	0	9
P-0024928-T01-IM6	1	21	3	0	0	2
P-0024973-T01-IM6	9	0	0	0	9	9
P-0025047-T01-IM6	9	3	12	0	16	16
P-0025073-T01-IM6	16	10	1	3	0	3
P-0025215-T01-IM6	14	3	8	2	10	12
P-0025695-T01-IM6	15	7	8	0	9	0
P-0025715-T01-IM6	6	9	0	0	26	0
P-0025883-T01-IM6	20	20	0	2	6	15
P-0026197-T01-IM6	6	21	10	0	12	23
P-0026480-T01-IM6	6	8	9	0	37	0
P-0026678-T01-IM6	46	6	7	0	5	0
P-0026683-T01-IM6	51	0	12	0	0	14
P-0026908-T01-IM6	6	5	0	2	10	5
P-0026962-T01-IM6	2	13	9	3	5	3
P-0027324-T01-IM6	25	20	0	3	8	0
P-0027335-T01-IM6	13	20	0	0	7	3
P-0027375-T01-IM6	3	8	11	3	5	5
P-0027438-T01-IM6	0	27	0	2	0	4
P-0027740-T01-IM6	55	33	0	1	0	3
P-0027858-T01-IM6	15	19	0	0	30	18
P-0027929-T01-IM6	17	97	4	13	159	41
P-0028069-T01-IM6	2	9	8	1	14	3
P-0028266-T01-IM6	59	4	20	0	4	10
P-0028274-T01-IM6	21	12	4	0	12	2
P-0028344-T01-IM6	2	10	6	0	5	0
P-0028474-T01-IM6	9	31	3	2	39	0
P-0028485-T01-IM6	28	21	25	1	0	8
P-0028571-T01-IM6	11	7	0	0	16	0
P-0028891-T01-IM6	66	10	0	0	22	10
P-0028979-T01-IM6	12	0	2	0	16	28
P-0029114-T01-IM6	0	15	3	1	0	9
P-0029169-T01-IM6	9	18	2	1	0	0
P-0029398-T01-IM6	14	8	10	3	12	0
P-0029399-T01-IM6	18	0	7	4	14	3
P-0029495-T03-IM6	35	8	13	0	1	0
P-0029646-T01-IM6	17	15	9	2	29	10
P-0029980-T01-IM6	18	25	9	3	10	8
P-0030244-T01-IM6	4	27	1	1	3	14
P-0030265-T01-IM6	40	186	0	2	0	0
P-0030636-T01-IM6	15	0	11	0	2	4
P-0030708-T01-IM6	20	15	5	0	11	12
P-0030774-T01-IM6	25	16	22	1	4	3
P-0030960-T01-IM6	9	10	7	0	8	2
P-0030988-T01-IM6	5	15	0	1	13	6
P-0031050-T01-IM6	5	11	0	0	0	15
P-0031091-T01-IM6	11	28	0	1	16	4
P-0031146-T01-IM6	8	11	0	0	0	4
P-0031207-T01-IM6	11	0	0	0	6	21
P-0031496-T01-IM6	14	19	13	1	2	4
P-0032060-T01-IM6	23	21	0	2	0	9
P-0032698-T01-IM6	14	5	0	2	26	0
P-0032718-T01-IM6	1	27	0	4	5	22
P-0032777-T01-IM6	0	4	0	5	34	0
P-0033100-T01-IM6	19	0	3	2	14	9
P-0033382-T01-IM6	52	6	30	4	0	0
P-0033425-T01-IM6	110	223	24	8	0	0
P-0033503-T01-IM6	21	0	5	0	4	0
P-0033748-T01-IM6	0	0	0	105	14	15
