Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0004124-T01-IM5	9	0.596	13.06	145.111%	2.694	81.227%	1.54039	0.557
P-0004129-T02-IM5	6	0.544	8.96	149.333%	2.065	84.303%	1.74416	0.501
P-0004131-T01-IM5	7	0.31	11.993	171.329%	2.548	96.305%	2.26085	0.195
P-0004146-T01-IM5	14	0.84	13.374	95.529%	2.889	54.597%	1.12461	0.827
P-0004169-T01-IM5	6	0.321	9.718	161.967%	2.737	96.768%	3.10201	0.26
P-0004189-T01-IM5	57	0.789	45.161	79.23%	7.585	62.56%	0.69438	0.719
P-0004207-T01-IM5	3	0.126	5.835	194.5%	2.221	99.326%	3.80688	0.031
P-0004208-T01-IM5	1	0.047	1.988	198.8%	1.002	100.2%	5.09476	-0.053
P-0004211-T01-IM5	3	0.286	5.565	185.5%	1.661	95.898%	3.17837	0.231
P-0004232-T01-IM5	5	0.543	6.178	123.56%	2.019	90.292%	2.88118	0.515
P-0004250-T01-IM5	7	0.341	12.353	176.471%	3.119	94.041%	2.41191	0.27
P-0004271-T01-IM5	3	0.405	5.17	172.333%	1.587	91.625%	2.19528	0.373
P-0004279-T01-IM5	2	0.32	3.126	156.3%	1.434	101.399%	3.98916	0.3
P-0004315-T01-IM5	8	0.358	13.781	172.263%	2.954	93.414%	2.39517	0.259
P-0004318-T01-IM5	1	0.122	1.968	196.8%	0.993	99.3%	4.14164	0.067
P-0004324-T01-IM5	13	0.733	13.773	105.946%	2.849	73.561%	1.57084	0.697
P-0004327-T01-IM5	19	0.525	26.638	140.2%	4.255	85.1%	1.42197	0.384
P-0004328-T02-IM5	5	0.347	8.913	178.26%	2.098	93.825%	2.4843	0.271
P-0004335-T01-IM5	3	0.289	5.264	175.467%	1.674	96.648%	3.33618	0.241
P-0004336-T01-IM5	2	0.529	3.198	159.9%	1.219	86.196%	2.45269	0.518
P-0004339-T04-IM6	19	0.795	17.409	91.626%	3.645	63.451%	0.94085	0.767
P-0004342-T01-IM5	1	0.047	1.988	198.8%	1.002	100.2%	5.09476	-0.053
P-0004344-T01-IM5	1	0.292	1.924	192.4%	0.97	97.0%	3.26512	0.341
P-0004359-T01-IM5	4	0.24	7.407	185.175%	1.947	97.35%	3.41428	0.143
P-0004361-T02-IM5	13	0.54	18.975	145.962%	3.86	84.232%	1.67808	0.478
P-0004378-T01-IM5	3	0.376	5.274	175.8%	1.608	92.838%	2.52897	0.339
P-0004382-T01-IM5	29	0.437	43.93	151.483%	7.606	90.267%	1.6742	0.287
P-0004395-T01-IM5	8	0.249	14.523	181.538%	2.76	97.581%	2.62275	0.04
P-0004410-T01-IM5	13	0.544	17.955	138.115%	3.891	89.266%	1.91227	0.49
P-0004414-T01-IM5	2	0.32	3.128	156.4%	1.434	101.399%	4.88275	0.299
P-0004421-T01-IM5	4	0.406	6.258	156.45%	1.846	92.3%	2.82206	0.363
P-0004432-T01-IM5	4	0.548	5.174	129.35%	1.683	84.15%	2.03434	0.521
P-0004436-T01-IM5	5	0.275	9.055	181.1%	2.544	96.154%	2.69059	0.2
P-0004438-T01-IM5	5	0.338	8.648	172.96%	2.109	94.317%	2.40234	0.259
P-0004442-T01-IM5	33	0.62	39.743	120.433%	6.138	78.589%	1.05792	0.496
P-0004447-T01-IM5	4	0.176	7.632	190.8%	1.976	98.8%	3.21674	0.027
P-0004463-T01-IM5	7	0.671	7.877	112.529%	1.962	74.157%	1.49216	0.638
P-0004472-T01-IM5	13	0.377	21.005	161.577%	3.373	93.55%	1.96658	0.173
P-0004476-T01-IM5	7	0.461	10.828	154.686%	2.349	88.784%	2.35476	0.389
P-0004488-T01-IM5	9	0.455	14.124	156.933%	2.672	89.067%	2.02091	0.354
P-0004516-T02-IM5	1	0.407	1.608	160.8%	0.917	91.7%	1.62946	0.396
P-0004588-T01-IM5	5	0.569	7.638	152.76%	1.871	83.674%	1.83623	0.545
P-0004591-T01-IM5	3	0.147	5.717	190.567%	1.74	100.459%	3.12405	0.06
P-0004607-T03-IM5	5	0.433	7.116	142.32%	2.323	103.888%	3.92797	0.4
P-0004612-T01-IM5	3	0.592	3.549	118.3%	1.421	82.041%	2.09698	0.575
P-0004613-T01-IM5	2	0.39	2.623	131.15%	1.476	104.369%	1.46833	0.376
P-0004615-T01-IM5	14	0.473	19.177	136.979%	3.786	89.237%	1.78765	0.366
P-0004643-T01-IM5	7	0.444	10.145	144.929%	2.443	92.337%	2.27366	0.38
P-0004655-T01-IM5	2	0.609	1.997	99.85%	1.187	83.934%	3.29644	0.599
P-0004658-T01-IM5	11	0.841	8.449	76.809%	2.75	55.0%	1.23448	0.832
P-0004659-T01-IM5	10	0.469	15.478	154.78%	2.794	88.354%	1.88873	0.359
P-0004678-T01-IM5	2	0.114	3.915	195.75%	1.409	99.631%	3.95419	0.003
