"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"RB1_Deletion","Distant_LN",0.02970297,0.057180851,"#be1e2d","blue",0.005197008,"#D480CE","RB1_Deletion       Distant_LN"
"RB1_Deletion","Bone",0.020866774,0.052677788,"#be1e2d","blue",0.001047928,"#7E90CF","RB1_Deletion       Bone"
"RB1_Deletion","Liver",0.030201342,0.102941176,"#be1e2d","blue",9.13e-07,"#87DFB3","RB1_Deletion       Liver"
"PTEN_mut","Male_Genital",0.071372549,0.108829569,"#be1e2d","green",0.014712505,"#D4DB92","PTEN_mut       Male_Genital"
"PTEN_Deletion","Intra-Abdominal",0.144099379,0.230263158,"#be1e2d","blue",0.006415987,"#8067D6","PTEN_Deletion       Intra-Abdominal"
"PTEN_Deletion","PNS",0.13886998,0.215017065,"#be1e2d","blue",0.001295992,"#DFB79C","PTEN_Deletion       PNS"
"PTEN_Deletion","Bladder.UT",0.137091162,0.215384615,"#be1e2d","blue",0.000590364,"#D1E3D5","PTEN_Deletion       Bladder.UT"
"PTEN_Deletion","Distant_LN",0.11980198,0.194148936,"#be1e2d","blue",2.17e-05,"#D480CE","PTEN_Deletion       Distant_LN"
"PTEN_Deletion","Lung",0.135313531,0.251012146,"#be1e2d","blue",8.87e-06,"#D9C3DE","PTEN_Deletion       Lung"
"PTEN_Deletion","Bone",0.085072231,0.187884109,"#be1e2d","blue",2.72e-09,"#7E90CF","PTEN_Deletion       Bone"
"PTEN_Deletion","Liver",0.124832215,0.297794118,"#be1e2d","blue",1.22e-11,"#87DFB3","PTEN_Deletion       Liver"
"p53","Bowel",0.829391892,0.764912281,"#007eb5","navy",0.0004632,"#E29B50","p53       Bowel"
"NKX3_1_Deletion","Male_Genital",0.035294118,0.014373717,"#be1e2d","blue",0.018196246,"#D4DB92","NKX3_1_Deletion       Male_Genital"
"NKX3_1_Deletion","PNS",0.024506467,0.054607509,"#be1e2d","blue",0.012172736,"#DFB79C","NKX3_1_Deletion       PNS"
"NKX3_1_Deletion","Distant_LN",0.01980198,0.042553191,"#be1e2d","blue",0.006497223,"#D480CE","NKX3_1_Deletion       Distant_LN"
"NKX3_1_Deletion","Bone",0.014446228,0.037752414,"#be1e2d","blue",0.004906332,"#7E90CF","NKX3_1_Deletion       Bone"
"NKX3_1_Deletion","Liver",0.025746653,0.048296899,"#007eb5","blue",0.003860782,"#87DFB3","NKX3_1_Deletion       Liver"
"MYC_Amplification","Intra-Abdominal",0.068322981,0.131578947,"#be1e2d","red",0.008431312,"#8067D6","MYC_Amplification       Intra-Abdominal"
"MYC_Amplification","Bone",0.04975923,0.086918349,"#be1e2d","red",0.004140471,"#7E90CF","MYC_Amplification       Bone"
"MYC_Amplification","PNS",0.063989108,0.122866894,"#be1e2d","red",0.000874381,"#DFB79C","MYC_Amplification       PNS"
"MYC_Amplification","Intra-Abdominal",0.042479908,0.072742475,"#007eb5","red",0.000501814,"#8067D6","MYC_Amplification       Intra-Abdominal"
"MYC_Amplification","Distant_LN",0.053465347,0.10106383,"#be1e2d","red",0.000207785,"#D480CE","MYC_Amplification       Distant_LN"
"MYC_Amplification","Liver",0.061073826,0.143382353,"#be1e2d","red",1.19e-05,"#87DFB3","MYC_Amplification       Liver"
