"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"KRAS_mut","Bone",0.343572241,0.290383407,"#b368d9","green",0.001076397,"#7E90CF","KRAS_mut       Bone"
"KRAS_mut","CNS.Brain",0.339827821,0.276707531,"#b368d9","green",0.000200284,"#EEDD57","KRAS_mut       CNS.Brain"
"KRAS_mut","Pleura",0.352201258,0.273421235,"#b368d9","green",1.32e-06,"#7AC0DD","KRAS_mut       Pleura"
"KEAP1_mut","Pleura",0.087002096,0.061068702,"#b368d9","green",0.005546942,"#7AC0DD","KEAP1_mut       Pleura"
"KEAP1_mut","Adrenal_Gland",0.069488536,0.110894942,"#b368d9","green",0.001966317,"#E093AC","KEAP1_mut       Adrenal_Gland"
"FOXA1_Amplification","Bone",0.043230944,0.071024513,"#b368d9","red",0.000542085,"#7E90CF","FOXA1_Amplification       Bone"
"FOXA1_Amplification","Liver",0.04765565,0.087014726,"#b368d9","red",9.64e-05,"#87DFB3","FOXA1_Amplification       Liver"
"FOXA1_Amplification","CNS.Brain",0.043951065,0.08056042,"#b368d9","red",2.48e-05,"#EEDD57","FOXA1_Amplification       CNS.Brain"
"EGFR_mut","Adrenal_Gland",0.281834215,0.221789883,"#b368d9","green",0.005075249,"#E093AC","EGFR_mut       Adrenal_Gland"
"EGFR_mut","Pleura",0.25,0.302567661,"#b368d9","green",0.000751521,"#7AC0DD","EGFR_mut       Pleura"
"EGFR_mut","PNS",0.258481987,0.355102041,"#b368d9","green",1.39e-05,"#DFB79C","EGFR_mut       PNS"
"EGFR_mut","Bone",0.237201365,0.311753614,"#b368d9","green",1.42e-06,"#7E90CF","EGFR_mut       Bone"
"EGFR_mut","CNS.Brain",0.244676031,0.326619965,"#b368d9","green",5.76e-07,"#EEDD57","EGFR_mut       CNS.Brain"
"EGFR_Amplification","PNS",0.066456803,0.108163265,"#b368d9","red",0.001767525,"#DFB79C","EGFR_Amplification       PNS"
"EGFR_Amplification","Liver",0.061106841,0.112449799,"#b368d9","red",6.18e-06,"#87DFB3","EGFR_Amplification       Liver"
"EGFR_Amplification","Lung",0.052225519,0.093149038,"#b368d9","red",5.27e-06,"#D9C3DE","EGFR_Amplification       Lung"
"EGFR_Amplification","CNS.Brain",0.051653829,0.11295972,"#b368d9","red",3.75e-10,"#EEDD57","EGFR_Amplification       CNS.Brain"
"EGFR_Amplification","Bone",0.045506257,0.102451288,"#b368d9","red",2.27e-10,"#7E90CF","EGFR_Amplification       Bone"
"CDKN2A_Deletion","Biliary_tract",0.118450302,0.19,"#b368d9","blue",0.005118505,"#72DD83","CDKN2A_Deletion       Biliary_tract"
"CDKN2A_Deletion","CNS.Brain",0.108291799,0.15061296,"#b368d9","blue",0.000558762,"#EEDD57","CDKN2A_Deletion       CNS.Brain"
"CDKN2A_Deletion","Liver",0.111837048,0.16064257,"#b368d9","blue",0.000489442,"#87DFB3","CDKN2A_Deletion       Liver"
"CDKN2A_Deletion","Bone",0.094994312,0.153362665,"#b368d9","blue",2.89e-07,"#7E90CF","CDKN2A_Deletion       Bone"
"CDKN2A_Deletion","PNS",0.109129066,0.202040816,"#b368d9","blue",5.87e-08,"#DFB79C","CDKN2A_Deletion       PNS"
"ALK_fusion","Lung",0.051038576,0.032451923,"#b368d9","purple",0.00740442,"#D9C3DE","ALK_fusion       Lung"
"ALK_fusion","Liver",0.036510377,0.060240964,"#b368d9","purple",0.00669404,"#87DFB3","ALK_fusion       Liver"
"PI3K","CNS.Brain",0.252831899,0.312609457,"#b368d9","navy",0.000270212,"#EEDD57","PI3K       CNS.Brain"
"PI3K","Adrenal_Gland",0.257848325,0.357976654,"#b368d9","navy",4.57e-06,"#E093AC","PI3K       Adrenal_Gland"
"PI3K","Pleura",0.309748428,0.224843858,"#b368d9","navy",4.99e-08,"#7AC0DD","PI3K       Pleura"
"p53","Intra-Abdominal",0.598897536,0.683018868,"#b368d9","navy",0.007206316,"#8067D6","p53       Intra-Abdominal"
"p53","Distant_LN",0.593410708,0.65339233,"#b368d9","navy",0.004247422,"#D480CE","p53       Distant_LN"
"p53","PNS",0.59181532,0.685714286,"#b368d9","navy",7.62e-05,"#DFB79C","p53       PNS"
"p53","Liver",0.587240584,0.669344043,"#b368d9","navy",5.37e-05,"#87DFB3","p53       Liver"
"p53","Adrenal_Gland",0.589065256,0.696498054,"#b368d9","navy",3.84e-06,"#E093AC","p53       Adrenal_Gland"
