Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0045711-T01-IM6	12	0.896	7.84	65.333%	1.892	44.595%	0.64317	0.886
P-0045820-T01-IM6	2	0.288	3.215	160.75%	1.464	103.52%	4.27659	0.266
P-0045876-T01-IM6	12	0.75	12.825	106.875%	3.373	66.15%	1.10188	0.732
P-0045921-T01-IM6	5	0.505	6.169	123.38%	2.026	90.605%	3.92711	0.471
P-0045925-T01-IM6	13	0.797	12.086	92.969%	3.482	60.614%	1.81929	0.784
P-0046036-T01-IM6	10	0.847	7.958	79.58%	2.391	56.356%	5.08675	0.838
P-0046051-T01-IM6	19	0.781	16.847	88.668%	4.041	63.11%	1.23704	0.756
P-0046236-T01-IM6	46	0.924	24.581	53.437%	6.047	38.398%	0.35657	0.916
P-0046396-T01-IM6	13	0.826	10.4	80.0%	2.823	56.46%	1.17613	0.811
P-0046405-T01-IM6	56	0.852	42.982	76.754%	10.255	52.332%	0.53786	0.837
P-0046494-T02-IM6	4	0.608	4.61	115.25%	1.609	80.45%	2.3454	0.586
P-0046563-T01-IM6	193	0.952	89.961	46.612%	21.241	33.08%	0.38514	0.947
P-0046599-T01-IM6	4	0.198	7.585	189.625%	1.964	98.2%	3.17885	0.064
P-0046665-T01-IM6	2	0.076	3.944	197.2%	1.419	100.338%	4.27113	-0.06
P-0046756-T01-IM6	4	0.305	7.234	180.85%	1.905	95.25%	2.56811	0.232
P-0046781-T01-IM6	7	0.425	11.94	170.571%	2.404	90.863%	2.15612	0.356
P-0046801-T01-IM6	28	0.868	22.083	78.868%	6.106	50.191%	0.85261	0.859
P-0046816-T01-IM6	3	0.292	5.403	180.1%	1.659	95.782%	3.0441	0.238
P-0046842-T01-IM6	31	0.887	20.868	67.316%	6.79	48.133%	0.50659	0.881
P-0047000-T01-IM6	3	0.446	4.458	148.6%	1.566	90.413%	2.82414	0.418
P-0047235-T01-IM6	5	0.642	6.431	128.62%	2.037	76.991%	2.75788	0.624
P-0047254-T01-IM6	23	0.874	14.689	63.865%	4.099	48.646%	0.49056	0.863
P-0047315-T01-IM6	13	0.878	10.356	79.662%	3.108	49.768%	0.7606	0.873
P-0047341-T01-IM6	90	0.906	52.891	58.768%	13.603	44.558%	0.49994	0.897
P-0047357-T01-IM6	24	0.891	17.129	71.371%	3.462	45.458%	0.64072	0.877
P-0047457-T01-IM6	28	0.899	16.655	59.482%	4.175	47.273%	1.05723	0.89
P-0047507-T01-IM6	43	0.935	21.193	49.286%	5.315	35.592%	0.40091	0.928
P-0047596-T01-IM6	13	0.851	10.975	84.423%	3.327	54.696%	0.72309	0.844
P-0047617-T01-IM6	4	0.228	6.243	156.075%	2.441	122.05%	11.67879	0.193
P-0047638-T01-IM6	5	0.411	8.011	160.22%	2.046	91.5%	2.18043	0.353
P-0047757-T01-IM6	9	0.371	14.705	163.389%	2.81	93.667%	2.22936	0.243
P-0047759-T01-IM6	25	0.887	17.861	71.444%	4.424	46.376%	0.93876	0.877
P-0047965-T01-IM6	7	0.583	8.864	126.629%	2.742	82.674%	1.98784	0.557
P-0047976-T01-IM6	1	0.031	1.992	199.2%	1.004	100.4%	5.49453	-0.078
P-0047981-T01-IM6	12	0.773	10.875	90.625%	2.875	64.287%	1.49149	0.752
P-0048080-T01-IM6	26	0.875	17.409	66.958%	4.242	49.992%	0.93894	0.861
P-0048111-T01-IM6	20	0.939	9.256	46.28%	2.422	35.71%	0.58336	0.934
P-0048144-T01-IM6	1	0.542	1.524	152.4%	0.847	84.7%	1.43484	0.536
P-0048253-T01-IM6	1	0.097	1.975	197.5%	0.996	99.6%	4.36635	0.028
P-0048261-T01-IM6	13	0.826	11.115	85.5%	2.713	56.57%	1.06631	0.81
P-0048270-T01-IM6	67	0.891	38.516	57.487%	10.752	49.23%	0.55761	0.881
P-0048296-T01-IM6	4	0.499	5.139	128.475%	1.891	94.55%	3.5363	0.475
P-0048549-T01-IM6	34	0.814	31.51	92.676%	6.353	58.484%	0.80489	0.791
