Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0011226-T01-IM5	52	0.952	28.131	54.098%	5.447	30.838%	0.39788	0.947
P-0011235-T01-IM5	18	0.765	16.776	93.2%	3.662	64.736%	0.87857	0.734
P-0011324-T01-IM5	50	0.96	25.248	50.496%	6.028	28.291%	0.36801	0.958
P-0011357-T01-IM5	207	0.993	69.398	33.526%	13.861	15.842%	0.17217	0.993
P-0012115-T01-IM5	25	0.92	19.868	79.472%	3.564	39.6%	0.96114	0.913
P-0012249-T01-IM5	25	0.893	18.991	75.964%	4.333	47.561%	0.62321	0.886
P-0012313-T01-IM5	40	0.928	26.845	67.112%	4.374	37.786%	0.74102	0.918
P-0012402-T01-IM5	239	0.981	89.562	37.474%	14.384	19.937%	0.19744	0.979
P-0013010-T01-IM5	77	0.969	37.815	49.11%	6.448	25.548%	0.29987	0.966
P-0013082-T01-IM5	45	0.914	29.303	65.118%	6.194	41.111%	0.51224	0.905
P-0013227-T01-IM5	37	0.78	32.384	87.524%	5.496	62.633%	0.72132	0.72
P-0013357-T01-IM5	35	0.852	29.196	83.417%	5.553	53.683%	0.68791	0.832
P-0013374-T01-IM5	49	0.959	30.686	62.624%	6.608	31.396%	0.56653	0.957
P-0013400-T01-IM5	47	0.981	18.615	39.606%	4.152	19.816%	0.42801	0.98
P-0013462-T01-IM5	28	0.728	26.591	94.968%	4.476	69.066%	0.89888	0.649
P-0013492-T01-IM5	36	0.874	27.586	76.628%	5.242	49.096%	0.67032	0.857
P-0013876-T01-IM5	42	0.887	33.394	79.51%	5.741	46.566%	0.68877	0.871
P-0013981-T01-IM5	39	0.802	35.415	90.808%	6.406	61.358%	0.85287	0.766
P-0014143-T01-IM5	36	0.882	23.233	64.536%	4.426	47.181%	0.61991	0.859
P-0014258-T01-IM6	76	0.919	46.162	60.739%	7.846	39.528%	0.44775	0.904
P-0014616-T01-IM6	20	0.832	20.103	100.515%	4.645	55.518%	1.3709	0.82
P-0014787-T01-IM6	38	0.877	30.853	81.192%	5.576	48.905%	0.69428	0.861
P-0014994-T01-IM6	36	0.905	25.94	72.056%	4.956	44.152%	0.73691	0.894
P-0015237-T01-IM6	39	0.855	30.513	78.238%	5.317	51.889%	0.63403	0.827
P-0015252-T01-IM6	31	0.98	13.073	42.171%	2.597	20.726%	0.41985	0.978
P-0015416-T01-IM6	88	0.982	35.168	39.964%	5.739	19.368%	0.27431	0.981
P-0015536-T01-IM6	43	0.84	34.614	80.498%	5.946	54.971%	0.61253	0.808
P-0015699-T01-IM6	46	0.687	39.84	86.609%	7.374	73.74%	0.69937	0.578
P-0015851-T01-IM6	26	0.898	19.429	74.727%	3.89	45.22%	0.74013	0.887
P-0016314-T01-IM6	89	0.922	53.585	60.208%	8.788	40.753%	0.4415	0.908
P-0016522-T01-IM6	35	0.954	20.224	57.783%	3.832	31.393%	0.47413	0.95
P-0016890-T01-IM6	38	0.72	35.96	94.632%	7.665	69.396%	0.87113	0.671
P-0017583-T01-IM5	29	0.844	22.472	77.49%	3.913	53.749%	0.7719	0.809
P-0017664-T01-IM5	5	0.442	8.183	163.66%	2.395	90.522%	2.86394	0.408
P-0017697-T01-IM6	70	0.958	37.775	53.964%	6.081	28.859%	0.42742	0.952
P-0017839-T01-IM6	41	0.957	26.381	64.344%	5.095	34.587%	0.48578	0.956
P-0017925-T01-IM6	48	0.881	32.697	68.119%	6.071	47.407%	0.54464	0.859
P-0017986-T02-IM6	65	0.915	42.747	65.765%	7.883	40.386%	0.57267	0.903
P-0017995-T01-IM6	38	0.933	25.636	67.463%	4.447	36.07%	0.67243	0.925
P-0018374-T01-IM6	37	0.955	22.56	60.973%	4.029	33.231%	0.41045	0.952
P-0018436-T01-IM6	16	0.896	12.557	78.481%	3.021	45.543%	0.75616	0.89
P-0018437-T01-IM6	33	0.812	29.341	88.912%	5.242	58.977%	0.82454	0.777
P-0018841-T01-IM6	50	0.806	39.173	78.346%	7.85	60.207%	0.6117	0.77
