Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0031211-T01-IM6	30	0.95	17.957	59.857%	4.471	33.895%	0.35922	0.948
P-0031271-T01-IM6	21	0.614	26.854	127.876%	4.841	79.586%	1.4315	0.541
P-0031436-T01-IM6	25	0.732	25.709	102.836%	4.161	68.406%	0.96414	0.664
P-0031501-T01-IM6	66	0.947	37.997	57.571%	5.965	32.255%	0.51034	0.939
P-0032113-T01-IM6	46	0.957	28.996	63.035%	5.304	32.399%	0.48899	0.955
P-0032161-T02-IM6	40	0.906	27.911	69.778%	4.359	42.338%	0.66456	0.888
P-0032443-T01-IM6	23	0.722	24.034	104.496%	5.087	69.875%	1.3814	0.684
P-0032456-T01-IM6	17	0.739	18.486	108.741%	3.377	67.54%	1.27608	0.695
P-0032495-T01-IM6	33	0.703	32.431	98.276%	5.82	71.103%	0.87203	0.626
P-0032496-T01-IM6	305	0.995	82.244	26.965%	18.317	13.216%	0.10807	0.995
P-0032497-T01-IM6	21	0.534	26.579	126.567%	4.368	87.36%	1.3904	0.391
P-0032548-T01-IM6	120	0.991	44.044	36.703%	7.88	15.165%	0.24009	0.991
P-0032567-T01-IM6	41	0.919	28.795	70.232%	5.392	39.43%	0.57192	0.91
P-0032761-T01-IM6	23	0.706	24.526	106.635%	4.679	71.354%	1.05414	0.655
P-0032818-T01-IM6	252	0.993	87.582	34.755%	19.336	16.553%	0.18204	0.993
P-0032990-T01-IM6	17	0.64	21.391	125.829%	4.195	77.899%	1.14998	0.595
P-0032994-T01-IM6	40	0.916	27.685	69.212%	4.686	41.746%	0.53486	0.904
P-0033016-T01-IM6	76	0.98	31.419	41.341%	4.854	20.018%	0.41424	0.978
P-0033133-T01-IM6	145	0.917	87.577	60.398%	21.891	43.669%	0.33588	0.912
P-0033467-T01-IM6	25	0.758	27.273	109.092%	4.929	65.286%	1.00457	0.721
P-0033583-T01-IM6	22	0.862	18.826	85.573%	3.334	51.445%	0.76095	0.842
P-0033682-T01-IM6	31	0.824	24.7	79.677%	7.76	56.747%	0.55886	0.813
P-0034775-T01-IM6	15	0.526	20.287	135.247%	3.913	85.389%	1.59424	0.434
P-0034862-T01-IM6	17	0.711	18.639	109.641%	3.681	70.841%	1.04305	0.669
P-0034915-T01-IM6	319	0.97	96.094	30.124%	19.126	24.599%	0.14494	0.963
P-0035146-T01-IM6	148	0.91	101.077	68.295%	23.267	53.833%	0.4241	0.903
P-0035147-T01-IM6	106	0.99	44.724	42.192%	6.596	16.112%	0.37565	0.99
P-0035281-T01-IM6	131	0.988	48.843	37.285%	8.276	15.281%	0.25556	0.988
P-0035770-T01-IM6	358	0.996	79.137	22.105%	12.273	8.543%	0.11733	0.996
P-0035790-T01-IM6	507	0.959	200.606	39.567%	41.517	29.414%	0.15772	0.954
P-0036123-T01-IM6	176	0.986	75.489	42.891%	18.985	22.365%	0.23936	0.986
P-0036230-T01-IM6	21	0.778	20.147	95.938%	3.39	62.951%	0.9293	0.729
P-0036297-T01-IM6	121	0.984	56.251	46.488%	10.824	20.452%	0.30654	0.984
P-0036505-T01-IM6	19	0.643	22.153	116.595%	4.678	76.906%	1.24967	0.591
P-0036664-T01-IM6	21	0.811	22.978	109.419%	4.576	60.611%	1.12624	0.796
P-0036740-T03-IM6	18	0.812	18.671	103.728%	3.851	62.471%	0.85809	0.803
P-0036868-T01-IM6	17	0.657	20.363	119.782%	4.31	80.035%	1.67869	0.614
P-0037690-T01-IM6	82	0.967	40.418	49.29%	8.014	30.247%	0.28909	0.966
P-0037917-T01-IM6	8	0.571	11.001	137.512%	3.075	82.183%	1.65387	0.541
P-0038016-T01-IM6	30	0.919	20.446	68.153%	4.066	39.492%	0.52836	0.911
P-0038084-T01-IM6	44	0.964	21.143	48.052%	4.177	26.524%	0.44612	0.961
P-0038304-T01-IM6	39	0.802	34.914	89.523%	5.781	60.601%	0.74501	0.759
P-0038424-T01-IM6	57	0.917	37.483	65.76%	6.578	39.959%	0.5555	0.904
P-0038520-T01-IM6	47	0.808	41.078	87.4%	6.808	59.033%	0.67426	0.763
P-0038755-T01-IM6	46	0.969	25.759	55.998%	4.386	26.026%	0.46467	0.966
P-0038944-T01-IM6	25	0.9	19.627	78.508%	3.573	43.651%	0.89702	0.888
P-0039004-T01-IM6	23	0.837	19.824	86.191%	4.233	56.067%	0.85042	0.82
P-0039054-T01-IM6	502	0.987	124.548	24.81%	22.037	17.091%	0.09747	0.985
P-0039184-T01-IM6	18	0.83	17.222	95.678%	3.75	56.533%	1.4316	0.815
P-0039231-T01-IM6	23	0.874	19.847	86.291%	4.17	56.228%	1.176	0.863
P-0039294-T01-IM6	29	0.754	28.644	98.772%	5.143	69.348%	1.27913	0.707
P-0039466-T01-IM6	40	0.912	27.464	68.66%	4.46	41.772%	0.52544	0.897
P-0039477-T01-IM6	29	0.91	17.533	60.459%	5.207	41.824%	0.36385	0.904
P-0039599-T01-IM6	8	0.296	13.882	173.525%	2.735	96.697%	2.24755	0.15
P-0039704-T01-IM6	361	0.995	88.678	24.565%	16.423	10.484%	0.13916	0.994
P-0039773-T01-IM6	56	0.982	31.555	56.348%	6.617	24.491%	0.49082	0.982
P-0039854-T01-IM6	31	0.821	27.607	89.055%	4.737	57.872%	0.99664	0.786
P-0040023-T01-IM6	504	0.989	126.577	25.114%	20.87	15.034%	0.10023	0.987
P-0040086-T01-IM6	83	0.984	32.092	38.665%	5.37	17.599%	0.29565	0.983
P-0040149-T01-IM6	25	0.713	27.742	110.968%	4.603	70.195%	1.18648	0.65
P-0040228-T01-IM6	24	0.884	18.197	75.821%	3.122	48.174%	0.88578	0.865
P-0040284-T01-IM6	106	0.989	37.208	35.102%	6.285	14.628%	0.27549	0.989
P-0040471-T01-IM6	27	0.702	28.438	105.326%	4.983	71.186%	0.97669	0.633
P-0040549-T01-IM6	20	0.82	19.842	99.21%	3.536	57.361%	1.03109	0.795
P-0040575-T01-IM6	44	0.972	19.919	45.27%	3.769	23.649%	0.35987	0.969
P-0040701-T01-IM6	19	0.625	23.247	122.353%	4.149	79.848%	1.36588	0.549
P-0040823-T01-IM6	54	0.773	50.747	93.976%	7.993	63.995%	0.78191	0.713
P-0040828-T01-IM6	494	0.992	127.205	25.75%	31.024	17.477%	0.09773	0.993
P-0040884-T01-IM6	15	0.693	18.005	120.033%	3.786	72.862%	1.12088	0.659
P-0040892-T01-IM6	28	0.791	27.654	98.764%	4.679	61.438%	1.06266	0.752
P-0040992-T01-IM6	40	0.912	28.504	71.26%	5.482	41.559%	0.59868	0.903
P-0041146-T01-IM6	205	0.993	56.969	27.79%	8.988	11.728%	0.16529	0.993
P-0041318-T01-IM6	28	0.941	19.798	70.707%	3.82	34.585%	0.61772	0.937
P-0041346-T01-IM6	218	0.989	81.398	37.339%	14.595	18.403%	0.20382	0.988
P-0041347-T01-IM6	14	0.646	16.068	114.771%	3.415	76.362%	0.96923	0.592
P-0041596-T01-IM6	26	0.733	26.364	101.4%	4.3	67.989%	0.89873	0.663
P-0042199-T01-IM6	303	0.994	109.507	36.141%	25.051	18.742%	0.1681	0.995
P-0042256-T01-IM6	75	0.976	33.343	44.457%	6.651	22.06%	0.43799	0.974
