Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0036868-T01-IM6	4.11E-02	1.66E-01	2.69E-01	3.31E-01	3.08E-01	4.66E-01
P-0037690-T01-IM6	3.02E-01	5.71E-01	1.27E+00	1.11E+00	2.64E-01	5.63E-01
P-0037917-T01-IM6	1.51E-01	6.85E-02	7.07E-02	2.06E-01	1.08E-01	2.28E-01
P-0038016-T01-IM6	0.00E+00	2.76E-01	2.07E-01	4.56E-01	2.60E-01	4.73E-01
P-0038084-T01-IM6	0.00E+00	4.03E-01	4.36E-01	6.44E-01	2.75E-01	3.95E-01
P-0038520-T01-IM6	4.00E-02	2.73E-01	8.44E-01	5.50E-01	8.65E-01	7.42E-01
P-0038755-T01-IM6	6.55E-01	6.78E-01	3.02E-01	2.38E-01	4.12E-01	4.39E-01
P-0038944-T01-IM6	1.70E-01	2.70E-01	1.12E-01	4.05E-01	3.39E-01	4.68E-01
P-0039054-T01-IM6	2.52E+00	1.93E+00	4.88E+00	4.24E+00	1.23E+00	4.27E+00
P-0039231-T01-IM6	0.00E+00	1.12E-01	4.96E-01	4.80E-01	1.83E-01	5.08E-01
P-0039466-T01-IM6	1.02E-01	2.15E-01	6.29E-01	5.68E-01	4.23E-01	5.08E-01
P-0039477-T01-IM6	0.00E+00	2.07E-01	3.26E-01	4.20E-01	4.14E-02	3.62E-01
P-0039599-T01-IM6	1.31E-01	8.12E-02	1.11E-01	6.03E-02	2.58E-01	2.61E-01
P-0039704-T01-IM6	3.94E+00	3.29E+00	8.10E-01	5.49E-01	1.43E+00	3.00E+00
P-0039773-T01-IM6	8.41E-01	8.81E-01	2.97E-01	1.47E-01	3.32E-01	3.59E-01
P-0039854-T01-IM6	1.53E-01	2.88E-01	1.14E-01	4.71E-01	5.56E-01	6.59E-01
P-0040023-T01-IM6	1.13E+00	1.90E+00	5.34E+00	5.16E+00	1.84E+00	2.49E+00
P-0040086-T01-IM6	1.07E+00	6.23E-01	5.10E-01	3.02E-01	6.18E-01	9.91E-01
P-0040149-T01-IM6	2.33E-01	2.01E-01	2.76E-01	3.20E-01	4.67E-01	4.99E-01
P-0040228-T01-IM6	2.27E-01	1.96E-01	2.47E-01	4.39E-01	3.98E-01	4.91E-01
P-0040284-T01-IM6	1.27E+00	1.23E+00	6.24E-01	2.75E-01	5.27E-01	7.67E-01
P-0040575-T01-IM6	0.00E+00	3.45E-01	4.86E-01	5.97E-01	1.22E-01	4.81E-01
P-0040701-T01-IM6	4.22E-02	2.77E-01	3.65E-01	1.68E-01	4.76E-01	4.86E-01
P-0040828-T01-IM6	3.10E+00	4.24E+00	3.70E+00	3.80E+00	4.54E-01	1.21E+00
P-0040884-T01-IM6	0.00E+00	1.30E-01	4.13E-01	3.16E-01	2.07E-01	3.94E-01
P-0040892-T01-IM6	2.00E-02	1.07E-01	5.07E-01	4.13E-01	3.87E-01	5.92E-01
P-0040992-T01-IM6	3.00E-02	3.22E-01	3.71E-01	6.83E-01	1.61E-01	6.86E-01
P-0041146-T01-IM6	2.43E+00	1.61E+00	8.82E-01	5.52E-01	1.21E+00	1.98E+00
P-0041318-T01-IM6	4.69E-01	4.20E-01	2.56E-01	2.54E-01	2.16E-01	2.49E-01
P-0041346-T01-IM6	2.49E+00	1.35E+00	7.99E-01	2.46E-01	1.70E+00	2.09E+00
P-0041347-T01-IM6	2.23E-02	1.06E-01	3.77E-01	2.30E-01	5.25E-02	3.47E-01
P-0042199-T01-IM6	3.07E+00	3.71E+00	1.73E+00	1.76E+00	0.00E+00	1.02E+00
P-0042256-T01-IM6	1.14E+00	9.83E-01	1.99E-01	1.86E-01	5.23E-01	7.12E-01
P-0042644-T01-IM6	5.77E-02	3.26E-01	5.70E-01	5.88E-01	5.31E-01	7.76E-01
P-0042702-T01-IM6	1.20E+00	1.16E+00	3.29E-01	2.09E-01	6.12E-01	8.13E-01
P-0042762-T01-IM6	1.69E-01	2.71E-01	1.15E+00	1.50E-01	1.81E+00	1.67E+00
P-0042782-T01-IM6	6.14E-02	1.88E-01	3.38E-01	2.64E-01	4.17E-01	4.43E-01
P-0043033-T02-IM6	1.57E-01	2.92E-01	4.92E-01	5.26E-01	4.65E-01	4.72E-01
P-0043071-T01-IM6	5.58E-01	6.99E-01	4.09E-01	2.95E-01	3.40E-01	1.87E-01
P-0043596-T01-IM6	6.85E+00	6.48E+00	2.57E+00	2.56E+00	1.58E+00	3.21E+00
P-0043613-T01-IM6	0.00E+00	3.96E-01	4.79E-01	7.84E-01	3.57E-01	9.01E-01
P-0043842-T01-IM6	2.90E+00	2.80E+00	4.13E+00	4.30E+00	3.68E-01	1.81E+00
P-0043909-T01-IM6	0.00E+00	1.18E-01	4.95E-01	3.33E-01	5.90E-01	6.49E-01
