Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0038520-T01-IM6	0	3	9	8	18	9
P-0038755-T01-IM6	18	19	0	2	7	0
P-0038944-T01-IM6	0	9	0	9	6	1
P-0039054-T01-IM6	158	26	250	46	0	22
P-0039231-T01-IM6	0	0	4	16	0	3
P-0039466-T01-IM6	0	2	11	11	8	8
P-0039477-T01-IM6	0	4	1	18	0	6
P-0039599-T01-IM6	0	0	0	0	4	4
P-0039704-T01-IM6	281	68	0	4	7	1
P-0039773-T01-IM6	28	25	0	0	0	3
P-0039854-T01-IM6	0	7	0	11	7	6
P-0040023-T01-IM6	47	54	178	186	30	9
P-0040086-T01-IM6	60	3	12	2	6	0
P-0040149-T01-IM6	0	3	0	4	10	8
P-0040228-T01-IM6	3	1	2	9	2	7
P-0040284-T01-IM6	72	24	4	2	2	2
P-0040575-T01-IM6	0	10	0	26	0	8
P-0040701-T01-IM6	0	5	3	2	8	1
P-0040828-T01-IM6	111	191	99	93	0	0
P-0040884-T01-IM6	0	0	3	4	2	6
P-0040892-T01-IM6	0	0	3	9	0	16
P-0040992-T01-IM6	0	4	0	17	0	19
P-0041146-T01-IM6	152	8	14	8	18	5
P-0041318-T01-IM6	20	0	3	3	2	0
P-0041346-T01-IM6	172	12	5	2	27	0
P-0041347-T01-IM6	0	1	3	1	0	9
P-0042199-T01-IM6	119	136	13	35	0	0
P-0042256-T01-IM6	45	26	0	0	4	0
P-0042644-T01-IM6	0	9	6	4	0	17
P-0042702-T01-IM6	42	39	0	0	0	2
P-0042762-T01-IM6	0	3	13	0	33	31
P-0042782-T01-IM6	0	2	5	2	3	7
P-0043033-T02-IM6	1	2	0	18	10	4
P-0043071-T01-IM6	18	17	5	5	2	0
P-0043596-T01-IM6	374	263	32	59	10	14
P-0043613-T01-IM6	0	11	0	30	0	22
P-0043842-T01-IM6	166	56	137	70	0	0
P-0043909-T01-IM6	0	0	6	4	4	10
P-0043940-T01-IM6	0	0	0	3	9	8
P-0044312-T01-IM6	0	1	0	4	9	7
P-0044767-T01-IM6	0	0	1	3	1	5
P-0044790-T01-IM6	4	4	115	36	0	0
P-0044987-T01-IM6	2	7	0	38	27	2
P-0045120-T01-IM6	10	19	0	2	0	0
P-0045458-T01-IM6	85	166	67	53	0	0
P-0045671-T01-IM6	2	1	0	4	3	3
P-0045738-T01-IM6	0	3	16	0	0	8
P-0045991-T01-IM6	0	0	0	8	9	2
P-0046448-T01-IM6	3	4	0	24	2	0
