Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0018436-T01-IM6	8	0	1	0	3	4	0	0
P-0018437-T01-IM6	9	3	0	0	0	11	2	8
P-0018841-T01-IM6	0	5	0	0	0	9	0	36
P-0019183-T01-IM6	1	4	0	0	0	3	0	0
P-0019428-T01-IM6	13	2	3	0	11	7	0	0
P-0019464-T01-IM6	23	14	10	2	34	0	13	0
P-0019475-T01-IM6	10	6	0	0	1	22	14	14
P-0019846-T01-IM6	4	6	3	0	9	0	8	3
P-0019949-T01-IM6	10	7	3	1	5	0	0	0
P-0020143-T01-IM6	22	1	2	0	9	8	0	9
P-0020144-T01-IM6	3	0	3	0	10	2	0	0
P-0020221-T01-IM6	17	10	2	0	15	0	5	8
P-0020330-T01-IM6	13	23	7	3	13	0	5	33
P-0020331-T01-IM6	25	5	0	2	19	12	6	19
P-0020399-T01-IM6	11	1	2	0	16	0	4	6
P-0020431-T01-IM6	13	0	5	0	0	5	0	3
P-0020473-T01-IM6	2	9	88	49	0	0	0	0
P-0020689-T01-IM6	18	5	19	2	13	0	11	2
P-0020748-T01-IM6	3	0	1	2	10	0	0	0
P-0020834-T01-IM6	3	0	6	0	0	0	8	0
P-0021049-T01-IM6	9	7	5	0	15	0	0	0
P-0021090-T01-IM6	4	21	113	40	0	0	0	0
P-0021154-T01-IM6	1	7	2	0	1	0	14	4
P-0021292-T01-IM6	13	5	3	0	7	0	8	0
P-0021304-T01-IM6	30	12	8	2	0	12	0	0
P-0021346-T01-IM6	4	8	2	0	5	3	0	0
P-0021393-T01-IM6	16	29	0	0	0	0	17	1
P-0021744-T01-IM6	9	17	0	0	32	0	2	0
P-0022111-T01-IM6	21	16	7	0	0	26	8	7
P-0022508-T01-IM6	9	4	2	0	10	0	0	0
P-0023162-T01-IM6	2	2	0	0	9	0	5	6
P-0023271-T01-IM6	15	23	129	116	0	6	2	10
P-0023272-T01-IM6	10	15	0	1	23	0	0	4
P-0023551-T01-IM6	12	4	4	0	0	0	20	16
P-0023639-T01-IM6	5	10	7	0	13	5	0	3
P-0024928-T01-IM6	0	17	2	0	8	0	0	0
P-0024973-T01-IM6	2	0	1	0	24	0	0	0
P-0025047-T01-IM6	10	0	6	0	0	8	12	20
P-0025073-T01-IM6	14	8	3	3	0	0	0	5
P-0025215-T01-IM6	7	5	5	2	19	3	5	3
P-0025695-T01-IM6	13	4	4	0	0	15	3	0
P-0025715-T01-IM6	7	7	1	0	0	0	22	4
P-0025883-T01-IM6	8	18	3	2	32	0	0	0
P-0026197-T01-IM6	3	12	3	0	9	32	1	12
P-0026480-T01-IM6	4	5	4	0	11	18	18	0
P-0026678-T01-IM6	37	10	8	0	6	0	3	0
P-0026683-T01-IM6	34	6	11	0	25	0	0	1
P-0026908-T01-IM6	4	1	0	2	0	18	1	2
P-0026962-T01-IM6	0	13	6	2	6	0	6	2
P-0027324-T01-IM6	20	18	3	2	6	0	7	0
P-0027335-T01-IM6	13	16	0	0	0	2	7	5
