Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0044805-T01-IM6	4.86E-01	3.82E-01	3.74E-01	1.99E-01	3.39E-01	2.19E-01	2.88E-01	2.29E-01
P-0044833-T01-IM6	6.78E-01	6.32E-01	4.88E-01	1.43E-01	4.52E-01	7.69E-01	6.87E-01	3.88E-01
P-0044858-T01-IM6	5.61E-01	2.69E-01	3.93E-01	1.20E-01	4.25E-01	2.52E-01	2.15E-01	3.19E-01
P-0045009-T01-IM6	4.58E-01	4.72E-01	2.37E-01	5.91E-02	2.88E-01	3.40E-01	3.27E-01	2.27E-01
P-0045111-T01-IM6	5.88E-01	4.57E-01	4.07E-01	2.02E-01	5.19E-01	6.20E-01	5.85E-01	3.84E-01
P-0045223-T01-IM6	2.07E-01	3.01E-01	2.02E-01	1.53E-01	3.18E-01	2.76E-01	2.46E-01	4.44E-01
P-0045253-T01-IM6	6.38E-01	4.31E-01	4.79E-01	0.00E+00	7.66E-01	2.51E-01	3.98E-01	5.35E-01
P-0045320-T01-IM6	4.61E-01	3.62E-01	4.05E-01	1.66E-01	2.52E-01	3.71E-01	3.46E-01	3.27E-01
P-0045366-T01-IM6	3.91E-01	4.72E-01	3.45E-01	0.00E+00	4.32E-01	4.06E-01	2.88E-01	3.97E-01
P-0045460-T01-IM6	3.52E-01	3.64E-01	2.83E-01	5.84E-02	4.68E-01	4.48E-01	4.54E-01	3.09E-01
P-0045471-T01-IM6	1.86E-01	3.92E-01	3.15E-01	1.45E-01	2.86E-01	3.25E-01	3.35E-01	4.17E-01
P-0045547-T01-IM6	2.91E-01	2.34E-01	1.66E-01	1.31E-01	2.29E-01	3.02E-01	2.64E-01	1.94E-01
P-0045569-T01-IM6	6.97E-01	8.21E-01	5.48E-01	3.00E-02	4.99E-01	5.79E-01	5.00E-01	4.71E-01
P-0045713-T01-IM6	4.51E-01	9.33E-02	3.41E-01	2.00E-02	3.43E-01	3.24E-01	2.32E-01	3.20E-01
P-0045823-T01-IM6	4.37E-01	5.29E-01	3.26E-01	1.28E-01	4.45E-01	5.25E-01	5.05E-01	2.06E-01
P-0045984-T01-IM6	8.65E-01	5.82E-01	7.29E-01	1.81E-01	5.26E-01	4.58E-01	2.41E-01	2.52E-01
P-0046035-T01-IM6	4.51E-01	2.56E-01	3.36E-01	1.55E-01	4.36E-01	3.09E-01	2.69E-01	2.72E-01
P-0046229-T01-IM6	3.98E-01	3.78E-01	1.82E-01	1.15E-01	4.55E-01	4.29E-01	4.53E-01	4.28E-01
P-0046266-T01-IM6	4.74E-01	3.55E-01	3.63E-01	3.43E-02	6.30E-01	5.25E-01	5.73E-01	3.58E-01
P-0046311-T01-IM6	4.51E-01	3.24E-01	3.33E-01	2.63E-01	2.48E-01	3.26E-01	2.76E-01	2.37E-01
P-0046312-T01-IM6	7.41E-01	5.09E-01	4.41E-01	1.11E-01	2.72E-01	3.95E-01	1.91E-01	1.47E-01
P-0046394-T01-IM6	5.69E-01	3.89E-01	3.29E-01	1.06E-01	4.28E-01	4.24E-01	3.88E-01	2.36E-01
P-0046492-T01-IM6	5.40E-01	3.46E-01	4.88E-01	1.67E-01	3.19E-01	5.13E-01	4.16E-01	2.37E-01
P-0046698-T01-IM6	1.13E+00	1.03E+00	9.01E-01	0.00E+00	5.78E-01	1.02E+00	7.45E-01	4.28E-01
P-0046738-T01-IM6	4.11E-01	5.55E-01	1.95E-01	3.59E-02	2.49E-01	3.76E-01	2.96E-01	1.65E-01
P-0046739-T01-IM6	6.41E-01	5.44E-01	4.34E-01	0.00E+00	5.20E-01	3.92E-01	3.87E-01	2.55E-01
P-0046759-T01-IM6	6.79E-01	6.07E-01	4.11E-01	1.46E-01	4.36E-01	2.57E-01	3.71E-01	4.87E-01
P-0046843-T01-IM6	9.36E-01	7.08E-01	7.21E-01	0.00E+00	1.00E+00	4.94E-01	6.94E-01	9.06E-01
P-0046954-T01-IM6	1.05E-01	9.55E-02	1.83E-01	5.30E-02	3.15E-01	2.61E-01	2.22E-01	2.02E-01
P-0047056-T01-IM6	8.51E-01	8.19E-01	6.66E-01	0.00E+00	8.66E-01	7.32E-01	7.18E-01	7.49E-01
P-0047121-T01-IM6	5.37E-01	4.03E-01	4.32E-01	0.00E+00	3.06E-01	1.52E-01	1.77E-01	2.65E-01
P-0047196-T01-IM6	4.72E-01	5.37E-01	2.43E-01	0.00E+00	3.49E-01	4.33E-01	3.30E-01	2.32E-01
P-0047599-T01-IM6	1.31E+00	7.99E-01	1.06E+00	0.00E+00	6.91E-01	6.74E-01	5.51E-01	3.38E-01
P-0047601-T01-IM6	3.03E-01	4.32E-01	3.31E-01	5.75E-02	4.54E-01	4.46E-01	4.32E-01	4.14E-01
P-0047632-T01-IM6	6.31E-01	6.40E-01	4.30E-01	0.00E+00	4.97E-01	4.57E-01	4.35E-01	2.94E-01
P-0047822-T01-IM6	5.12E-01	5.35E-01	3.69E-01	0.00E+00	5.20E-01	7.35E-01	6.19E-01	4.77E-01
P-0047850-T01-IM6	7.73E-01	4.79E-01	5.56E-01	0.00E+00	5.96E-01	3.90E-01	3.74E-01	2.78E-01
P-0047862-T01-IM6	5.67E-01	5.64E-01	3.75E-01	0.00E+00	4.81E-01	3.44E-01	4.15E-01	2.91E-01
P-0047886-T01-IM6	5.03E-01	4.57E-01	3.78E-01	1.65E-01	5.40E-01	4.68E-01	5.16E-01	6.19E-01
P-0048082-T01-IM6	7.97E-01	1.40E-01	6.23E-01	2.23E-02	6.75E-01	3.78E-01	4.25E-01	3.44E-01
P-0048215-T01-IM6	1.09E+00	2.87E+00	8.75E+00	7.84E+00	9.64E-01	2.68E+00	1.87E+00	8.69E-01
P-0048221-T01-IM6	8.83E-01	1.04E+00	5.65E-01	2.23E-02	6.43E-01	9.06E-01	6.68E-01	4.39E-01
P-0048257-T01-IM6	3.51E-01	3.48E-01	3.01E-01	2.29E-01	4.45E-01	3.43E-01	4.86E-01	4.37E-01
P-0048271-T01-IM6	5.70E-01	3.68E-01	5.18E-01	0.00E+00	2.60E-01	2.50E-01	2.41E-01	1.47E-01
P-0048660-T01-IM6	4.21E-01	3.07E-01	2.95E-01	0.00E+00	3.53E-01	2.23E-01	2.76E-01	3.05E-01
P-0048893-T01-IM6	5.49E-01	4.67E-01	4.03E-01	1.42E-01	5.41E-01	4.47E-01	4.34E-01	3.39E-01
P-0049064-T01-IM6	4.15E-01	5.46E-01	3.82E-01	7.96E-02	5.64E-01	5.93E-01	5.12E-01	6.63E-01
P-0049202-T01-IM6	2.88E-01	5.74E-01	2.54E+00	2.34E+00	2.02E-01	5.90E-01	4.67E-01	1.89E-01
P-0049359-T01-IM6	5.10E-01	1.87E-01	3.98E-01	0.00E+00	4.89E-01	3.04E-01	3.12E-01	2.47E-01
P-0049376-T01-IM6	5.97E-01	3.50E-01	4.82E-01	2.00E-02	5.37E-01	4.24E-01	4.87E-01	4.27E-01
P-0049486-T01-IM6	3.82E-01	3.86E-01	2.05E-01	0.00E+00	2.66E-01	2.91E-01	2.28E-01	2.64E-01
P-0049600-T01-IM6	3.71E-01	3.33E-01	2.59E-01	1.00E-02	1.67E-01	3.25E-01	2.62E-01	1.09E-01
P-0049633-T01-IM6	3.27E-01	3.86E-01	2.70E-01	0.00E+00	4.57E-01	3.81E-01	4.43E-01	4.34E-01
P-0049661-T01-IM6	4.89E-01	5.43E-01	2.63E-01	0.00E+00	3.32E-01	5.99E-01	3.63E-01	1.83E-01
P-0049762-T01-IM6	5.10E-01	4.91E-01	3.72E-01	2.13E-01	3.71E-01	3.00E-01	3.59E-01	1.90E-01
P-0049970-T01-IM6	7.65E-01	5.81E-01	5.48E-01	2.45E-01	6.66E-01	4.52E-01	5.00E-01	4.99E-01
P-0050263-T01-IM6	4.14E-01	6.96E-01	6.28E+00	6.00E+00	4.88E-01	4.63E-01	3.41E-01	2.81E-01
P-0050266-T01-IM6	5.24E-01	3.15E-01	3.64E-01	1.59E-01	6.63E-01	6.89E-01	6.27E-01	6.03E-01
