Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0025215-T01-IM6	4.52E-01	4.26E-01	4.02E-01	1.69E-01	6.08E-01	5.02E-01	4.01E-01	5.85E-01
P-0025695-T01-IM6	5.55E-01	5.35E-01	4.06E-01	3.59E-02	3.19E-01	5.63E-01	4.54E-01	1.60E-01
P-0025715-T01-IM6	3.73E-01	4.16E-01	3.11E-01	0.00E+00	4.10E-01	4.88E-01	6.38E-01	3.94E-01
P-0025883-T01-IM6	6.91E-01	7.42E-01	4.69E-01	1.67E-01	8.60E-01	5.84E-01	5.59E-01	5.74E-01
P-0026197-T01-IM6	4.49E-01	7.21E-01	5.75E-01	2.23E-02	6.78E-01	8.24E-01	7.58E-01	8.19E-01
P-0026480-T01-IM6	5.11E-01	6.21E-01	6.25E-01	4.86E-02	8.16E-01	1.02E+00	9.57E-01	6.49E-01
P-0026678-T01-IM6	1.14E+00	8.21E-01	8.89E-01	1.00E-02	6.65E-01	4.10E-01	3.18E-01	1.50E-01
P-0026683-T01-IM6	1.12E+00	7.32E-01	1.05E+00	7.34E-02	8.68E-01	4.47E-01	4.44E-01	5.77E-01
P-0026908-T01-IM6	2.99E-01	3.23E-01	3.25E-01	1.40E-01	4.35E-01	4.50E-01	3.24E-01	4.04E-01
P-0026962-T01-IM6	3.10E-01	4.55E-01	2.59E-01	2.31E-01	3.63E-01	3.96E-01	4.11E-01	3.42E-01
P-0027324-T01-IM6	7.54E-01	7.95E-01	5.95E-01	1.84E-01	4.87E-01	3.74E-01	5.32E-01	1.64E-01
P-0027335-T01-IM6	6.00E-01	5.85E-01	2.96E-01	1.41E-02	3.94E-01	4.72E-01	4.85E-01	3.42E-01
P-0027375-T01-IM6	3.63E-01	4.39E-01	3.35E-01	3.01E-01	3.44E-01	4.37E-01	4.55E-01	4.13E-01
P-0027438-T01-IM6	3.57E-01	4.79E-01	4.01E-01	1.20E-01	4.61E-01	4.02E-01	4.06E-01	4.38E-01
P-0027740-T01-IM6	1.54E+00	1.39E+00	1.05E+00	1.75E-01	6.02E-01	5.01E-01	4.08E-01	3.67E-01
P-0027858-T01-IM6	5.91E-01	9.30E-01	4.72E-01	8.39E-02	8.15E-01	9.62E-01	7.92E-01	5.71E-01
P-0027929-T01-IM6	1.36E+00	2.50E+00	1.32E+00	4.14E-01	1.79E+00	2.86E+00	2.45E+00	1.83E+00
P-0028069-T01-IM6	4.04E-01	4.62E-01	3.53E-01	9.08E-02	3.41E-01	5.19E-01	5.72E-01	5.30E-01
P-0028266-T01-IM6	1.14E+00	7.31E-01	1.05E+00	0.00E+00	8.22E-01	8.10E-01	3.92E-01	5.30E-01
P-0028274-T01-IM6	5.59E-01	6.10E-01	3.75E-01	0.00E+00	6.00E-01	6.68E-01	5.20E-01	2.92E-01
P-0028344-T01-IM6	3.35E-01	4.17E-01	2.89E-01	1.45E-01	2.83E-01	3.47E-01	3.63E-01	1.51E-01
P-0028474-T01-IM6	6.00E-01	9.69E-01	4.83E-01	1.72E-01	7.02E-01	9.84E-01	8.52E-01	6.07E-01
P-0028485-T01-IM6	9.55E-01	8.35E-01	7.07E-01	2.24E-01	7.69E-01	7.19E-01	4.44E-01	6.75E-01
P-0028571-T01-IM6	4.73E-01	4.10E-01	2.45E-01	0.00E+00	3.26E-01	3.89E-01	4.44E-01	3.28E-01
P-0028891-T01-IM6	1.29E+00	9.53E-01	9.48E-01	8.63E-02	1.03E+00	9.70E-01	7.44E-01	3.68E-01
P-0028979-T01-IM6	5.21E-01	4.02E-01	4.05E-01	0.00E+00	6.51E-01	6.29E-01	6.78E-01	8.84E-01
P-0029114-T01-IM6	8.76E-02	3.89E-01	2.96E-01	8.72E-02	5.39E-01	4.77E-01	3.94E-01	5.64E-01
P-0029169-T01-IM6	6.25E-01	6.78E-01	2.97E-01	1.65E-01	2.62E-01	3.67E-01	1.96E-01	1.67E-01
P-0029398-T01-IM6	5.18E-01	5.57E-01	4.91E-01	1.90E-01	4.75E-01	5.11E-01	4.39E-01	3.44E-01
