Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0040023-T01-IM6	44	59	223	178	0
P-0040086-T01-IM6	63	3	4	13	0
P-0040149-T01-IM6	1	3	5	0	16
P-0040228-T01-IM6	3	0	14	1	6
P-0040284-T01-IM6	75	27	0	4	0
P-0040575-T01-IM6	0	11	32	0	1
P-0040701-T01-IM6	0	6	2	2	9
P-0040828-T01-IM6	106	216	95	77	0
P-0040884-T01-IM6	0	0	5	5	5
P-0040892-T01-IM6	0	0	12	6	10
P-0040992-T01-IM6	0	4	26	0	10
P-0041146-T01-IM6	160	7	12	15	11
P-0041318-T01-IM6	21	0	4	2	1
P-0041346-T01-IM6	182	12	2	6	16
P-0041347-T01-IM6	0	1	1	9	3
P-0042199-T01-IM6	119	157	27	0	0
P-0042256-T01-IM6	47	28	0	0	0
P-0042644-T01-IM6	0	11	4	13	8
P-0042702-T01-IM6	42	41	0	0	0
P-0042762-T01-IM6	0	3	0	24	53
P-0042782-T01-IM6	0	2	2	7	8
P-0043033-T02-IM6	1	2	21	0	11
P-0043071-T01-IM6	19	20	5	3	0
P-0043596-T01-IM6	383	305	41	23	0
P-0043613-T01-IM6	0	13	38	0	12
P-0043842-T01-IM6	158	61	84	126	0
P-0043909-T01-IM6	0	0	5	8	11
P-0043940-T01-IM6	0	0	4	0	16
P-0044312-T01-IM6	0	2	5	0	14
P-0044767-T01-IM6	1	0	4	2	3
P-0044790-T01-IM6	0	6	51	102	0
P-0044987-T01-IM6	3	7	42	0	24
P-0045120-T01-IM6	10	21	0	0	0
P-0045458-T01-IM6	82	190	48	51	0
P-0045671-T01-IM6	3	1	4	0	5
P-0045738-T01-IM6	0	4	0	22	1
P-0045991-T01-IM6	0	0	9	0	10
P-0046448-T01-IM6	3	4	26	0	0
P-0046630-T01-IM6	1	1	32	6	0
P-0046754-T01-IM6	0	0	11	2	14
P-0046965-T01-IM6	365	26	6	49	33
P-0047374-T01-IM6	0	9	47	0	3
P-0047653-T01-IM6	22	22	5	1	3
P-0047766-T01-IM6	0	3	45	0	0
P-0047768-T01-IM6	0	13	49	0	0
P-0047771-T01-IM6	60	29	0	1	0
P-0047974-T01-IM6	31	6	7	0	0
P-0048176-T01-IM6	2	1	8	8	6
P-0048238-T01-IM6	0	2	7	0	14
P-0048255-T01-IM6	0	6	8	4	20
P-0048521-T01-IM6	0	1	8	0	14
P-0048589-T01-IM6	2	1	1	0	17
P-0048620-T01-IM6	0	7	7	0	18
P-0048757-T01-IM6	0	13	20	0	0
P-0048915-T01-IM6	0	2	3	0	16
P-0048984-T01-IM6	0	0	14	2	4
P-0049047-T01-IM6	338	15	72	204	0
P-0049073-T01-IM6	172	15	8	0	24
P-0049274-T01-IM6	31	9	0	0	6
P-0049291-T01-IM6	0	1	44	0	0
P-0049371-T01-IM6	28	23	0	0	0
P-0049473-T01-IM6	0	5	18	1	4
P-0049485-T01-IM6	0	8	9	24	5
P-0049760-T01-IM6	68	183	71	62	0
P-0049775-T01-IM6	3	9	17	0	3
P-0049788-T01-IM6	16	4	0	1	1
P-0049805-T01-IM6	0	2	11	0	8
P-0049931-T01-IM6	0	7	17	10	5
P-0050111-T01-IM6	0	3	13	8	4
