Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0023857-T01-IM6	33	0.673	36.552	110.764%	7.911	77.203%	1.04492	0.628
P-0023968-T01-IM6	14	0.533	19.254	137.529%	4.201	89.566%	1.58682	0.475
P-0024106-T01-IM6	14	0.505	17.453	124.664%	4.053	95.53%	1.43516	0.435
P-0024289-T01-IM6	44	0.423	53.869	122.43%	14.239	100.685%	1.31747	0.347
P-0025195-T01-IM6	23	0.399	30.196	131.287%	6.832	112.317%	1.61408	0.3
P-0025240-T01-IM6	32	0.554	37.331	116.659%	8.737	91.09%	1.13299	0.491
P-0025248-T01-IM6	28	0.616	30.836	110.129%	6.849	86.982%	0.97098	0.557
P-0025312-T01-IM6	24	0.68	25.126	104.692%	5.848	75.497%	1.13373	0.639
P-0025648-T01-IM6	158	0.886	123.038	77.872%	34.743	51.826%	0.44506	0.884
P-0025885-T01-IM6	30	0.645	34.145	113.817%	7.869	78.69%	1.01953	0.601
P-0026714-T01-IM6	18	0.25	27.713	153.961%	6.055	123.597%	2.18726	0.13
P-0027652-T01-IM6	209	0.909	143.018	68.43%	43.545	48.989%	0.35642	0.909
P-0028495-T01-IM6	20	0.513	24.816	124.08%	5.264	103.236%	1.43727	0.429
P-0028774-T01-IM6	15	0.558	19.019	126.793%	4.126	90.037%	1.63276	0.496
P-0029690-T01-IM6	130	0.899	92.003	70.772%	27.775	50.243%	0.42365	0.899
P-0029778-T01-IM6	20	0.343	28.695	143.475%	6.112	119.866%	1.70769	0.229
P-0029972-T01-IM6	303	0.413	354.05	116.848%	78.184	153.42%	1.04368	0.257
P-0030260-T01-IM6	27	0.592	32.277	119.544%	7.637	83.827%	1.27771	0.542
P-0031042-T01-IM6	28	0.363	38.423	137.225%	8.753	113.001%	1.71643	0.263
P-0031094-T01-IM6	25	0.408	33.243	132.972%	8.37	100.763%	1.5003	0.333
P-0031195-T01-IM6	17	0.194	27.826	163.682%	5.899	128.727%	2.20054	0.064
P-0031211-T01-IM6	30	0.612	34.427	114.757%	10.43	79.07%	1.05076	0.583
P-0031271-T01-IM6	21	0.328	31.051	147.862%	6.902	113.468%	1.86957	0.228
P-0031436-T01-IM6	25	0.301	34.705	138.82%	7.723	126.965%	1.80196	0.174
P-0031501-T01-IM6	66	0.72	63.937	96.874%	13.767	74.443%	0.85625	0.677
P-0032113-T01-IM6	46	0.687	49.473	107.55%	11.984	73.204%	0.79894	0.653
P-0032161-T02-IM6	40	0.586	44.453	111.133%	9.756	94.759%	1.07634	0.515
P-0032443-T01-IM6	23	0.487	30.822	134.009%	6.958	95.575%	1.54008	0.419
P-0032496-T01-IM6	305	0.878	225.972	74.089%	76.085	54.897%	0.39232	0.877
P-0032497-T01-IM6	21	0.371	31.275	148.929%	6.106	122.12%	1.8929	0.254
P-0032548-T01-IM6	120	0.89	95.733	79.778%	27.048	52.054%	0.47026	0.888
P-0032567-T01-IM6	41	0.59	47.208	115.141%	11.528	84.301%	0.95973	0.539
P-0032761-T01-IM6	23	0.435	28.545	124.109%	6.876	104.858%	1.4567	0.349
P-0032818-T01-IM6	252	0.872	185.772	73.719%	65.523	56.091%	0.42465	0.872
P-0032990-T01-IM6	17	0.389	24.501	144.124%	5.608	104.138%	1.77013	0.307
P-0032994-T01-IM6	40	0.639	41.677	104.192%	9.486	84.508%	0.86353	0.583
P-0033016-T01-IM6	76	0.963	39.9	52.5%	6.925	28.558%	0.42512	0.959
P-0033133-T01-IM6	145	0.61	137.126	94.57%	40.85	81.488%	0.64684	0.565
P-0033682-T01-IM6	31	0.596	34.908	112.606%	10.991	80.374%	1.11315	0.565
P-0034775-T01-IM6	15	0.252	23.053	153.687%	5.357	116.899%	2.09129	0.147
P-0034862-T01-IM6	17	0.586	20.639	121.406%	4.528	87.141%	1.27826	0.528
P-0034915-T01-IM6	319	0.729	224.304	70.315%	61.954	79.684%	0.38072	0.681
P-0035146-T01-IM6	148	0.824	124.676	84.241%	25.048	57.954%	0.68743	0.799
P-0035147-T01-IM6	106	0.851	94.21	88.877%	22.174	54.164%	0.6311	0.841
P-0035281-T01-IM6	131	0.875	93.302	71.223%	28.48	52.588%	0.43044	0.87
P-0035770-T01-IM6	358	0.873	266.702	74.498%	74.805	52.071%	0.39783	0.867
P-0035790-T01-IM6	507	0.754	334.445	65.965%	98.825	70.015%	0.31998	0.715
P-0036123-T01-IM6	176	0.884	125.75	71.449%	47.561	56.028%	0.42674	0.887
P-0036230-T01-IM6	21	0.557	24.68	117.524%	5.289	98.214%	1.46664	0.481
P-0036297-T01-IM6	121	0.915	95.711	79.1%	26.045	49.212%	0.50876	0.917
P-0036505-T01-IM6	19	0.322	26.955	141.868%	6.64	109.161%	1.87748	0.232
P-0036664-T01-IM6	21	0.451	28.485	135.643%	7.156	94.784%	1.58922	0.389
P-0036740-T03-IM6	18	0.593	21.492	119.4%	5.142	83.414%	1.29142	0.544
P-0036868-T01-IM6	17	0.355	24.034	141.376%	5.759	106.942%	2.12298	0.269
P-0037690-T01-IM6	82	0.75	73.493	89.626%	17.77	67.069%	0.55822	0.718
P-0037917-T01-IM6	8	0.483	10.802	135.025%	3.302	88.25%	1.87539	0.444
P-0038016-T01-IM6	30	0.631	35.88	119.6%	8.192	79.568%	1.04698	0.587
P-0038084-T01-IM6	44	0.693	46.154	104.895%	11.421	72.523%	0.88694	0.66
P-0038520-T01-IM6	47	0.516	55.068	117.166%	12.153	105.38%	1.09122	0.429
P-0038755-T01-IM6	46	0.894	35.789	77.802%	7.907	46.919%	0.55308	0.886
P-0038944-T01-IM6	25	0.748	26.379	105.516%	5.492	67.095%	1.1402	0.717
P-0039054-T01-IM6	502	0.914	239.765	47.762%	56.618	43.91%	0.22363	0.899
P-0039231-T01-IM6	23	0.446	32.023	139.23%	7.311	98.582%	1.79162	0.374
P-0039466-T01-IM6	40	0.562	42.612	106.53%	10.186	95.401%	0.91379	0.491
P-0039477-T01-IM6	29	0.599	33.474	115.428%	9.981	80.169%	1.01058	0.567
P-0039599-T01-IM6	8	0.119	14.507	181.338%	3.38	119.501%	2.79588	0.014
P-0039704-T01-IM6	361	0.866	294.802	81.663%	86.029	54.916%	0.46517	0.863
P-0039773-T01-IM6	56	0.88	50.078	89.425%	15.254	56.458%	0.6495	0.883
P-0039854-T01-IM6	31	0.643	35.696	115.148%	7.097	86.704%	1.29473	0.584
P-0040023-T01-IM6	504	0.775	328.38	65.155%	93.318	67.224%	0.29645	0.74
P-0040086-T01-IM6	83	0.861	63.315	76.283%	15.876	52.031%	0.52461	0.849
P-0040149-T01-IM6	25	0.491	30.14	120.56%	6.808	103.821%	1.41258	0.407
P-0040228-T01-IM6	24	0.631	26.23	109.292%	5.646	87.12%	1.17752	0.571
