De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (53.20%) & Signature SBS5 (1.26%) & Signature SBS15 (45.54%), 33.21,  21.87, 0.125, 0.98, 0.97
Signature 96-B, Signature SBS1 (5.46%) & Signature SBS20 (26.98%) & Signature SBS21 (17.90%) & Signature SBS42 (28.10%) & Signature SBS54 (21.56%), 39.89,  32.25, 0.169, 0.95, 0.92
Signature 96-C, Signature SBS1 (5.70%) & Signature SBS10a (35.46%) & Signature SBS10b (58.84%), 28.55,  17.49, 0.153, 0.98, 0.98
