Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0005148-T01-IM5	8	0.465	12.991	162.388%	3.08	88.912%	1.9745	0.419
P-0005170-T01-IM5	4	0.231	7.326	183.15%	1.964	98.2%	3.02705	0.144
P-0005173-T01-IM5	14	0.525	21.274	151.957%	3.412	85.3%	1.81861	0.414
P-0005178-T01-IM5	4	0.336	7.313	182.825%	2.317	94.591%	2.61682	0.307
P-0005179-T01-IM5	12	0.558	18.162	151.35%	3.797	84.904%	1.62586	0.54
P-0005190-T01-IM5	3	0.244	5.602	186.733%	1.68	96.995%	3.31991	0.173
P-0005191-T01-IM5	9	0.433	14.311	159.011%	2.707	90.233%	2.09854	0.323
P-0005194-T01-IM5	15	0.659	20.21	134.733%	3.309	75.914%	1.40348	0.601
P-0005198-T01-IM5	2	0.112	3.9	195.0%	1.414	99.985%	4.17807	0.025
P-0005259-T01-IM5	3	0.441	4.698	156.6%	1.557	89.893%	2.48153	0.411
P-0005261-T01-IM5	9	0.659	14.074	156.378%	3.362	81.54%	1.58415	0.692
P-0005264-T03-IM6	6	0.455	10.257	170.95%	2.551	90.191%	2.03816	0.432
P-0005277-T02-IM5	4	0.292	7.31	182.75%	1.913	95.65%	2.78291	0.214
P-0005282-T01-IM5	13	0.502	20.149	154.992%	3.572	86.634%	1.72276	0.412
P-0005286-T01-IM5	2	0.263	3.78	189.0%	1.367	96.661%	2.91759	0.229
P-0005289-T01-IM5	10	0.593	15.041	150.41%	2.81	81.118%	1.74359	0.544
P-0005295-T01-IM5	4	0.098	7.769	194.225%	2.029	101.45%	3.73586	-0.062
P-0005316-T01-IM5	9	0.553	13.375	148.611%	2.792	84.182%	1.73388	0.509
P-0005320-T01-IM5	6	0.593	8.732	145.533%	2.0	81.65%	1.79578	0.562
P-0005337-T01-IM5	4	0.314	7.258	181.45%	1.899	94.95%	2.82043	0.245
P-0005380-T01-IM5	12	0.554	15.755	131.292%	3.116	83.279%	1.64649	0.473
P-0005393-T01-IM5	8	0.328	13.982	174.775%	2.677	94.646%	2.37952	0.176
P-0005435-T01-IM5	2	0.382	3.681	184.05%	1.33	94.045%	2.72992	0.395
P-0005464-T01-IM5	4	0.419	7.012	175.3%	1.833	91.65%	2.13218	0.393
P-0005476-T01-IM5	18	0.633	23.177	128.761%	3.957	77.603%	1.38197	0.559
P-0005483-T02-IM5	6	0.442	9.959	165.983%	2.202	89.896%	2.21939	0.38
P-0005504-T01-IM5	1	0.056	1.977	197.7%	1.009	100.9%	4.46873	0.006
P-0005510-T01-IM5	5	0.463	8.088	161.76%	1.985	88.772%	2.76124	0.415
P-0005523-T01-IM5	2	0.115	3.91	195.5%	1.409	99.631%	4.02749	0.013
P-0005527-T01-IM5	6	0.27	10.829	180.483%	2.369	96.714%	2.48568	0.139
P-0005533-T01-IM5	5	0.306	8.635	172.7%	2.152	96.24%	3.01931	0.226
P-0005537-T01-IM5	3	0.183	5.719	190.633%	1.707	98.554%	3.41194	0.085
P-0005543-T02-IM5	12	0.43	18.403	153.358%	3.394	90.708%	1.81582	0.304
P-0005544-T01-IM5	5	0.198	9.396	187.92%	2.205	98.611%	3.00756	0.042
P-0005553-T01-IM5	3	0.215	5.671	189.033%	1.693	97.745%	3.45712	0.13
P-0005562-T01-IM5	2	0.263	3.577	178.85%	1.379	97.51%	3.75751	0.228
P-0005567-T01-IM5	10	0.575	15.516	155.16%	2.864	82.677%	1.91861	0.527
P-0005573-T01-IM5	3	0.366	5.439	181.3%	1.623	93.704%	3.02404	0.343
P-0005580-T01-IM5	1	0.21	1.938	193.8%	0.98	98.0%	3.47215	0.195
P-0005629-T02-IM5	3	0.193	5.723	190.767%	1.701	98.207%	3.30021	0.094
P-0005633-T01-IM5	1	0.09	1.973	197.3%	0.998	99.8%	4.31946	0.027
P-0005644-T01-IM5	1	0.232	1.927	192.7%	0.976	97.6%	3.30815	0.218
P-0005645-T02-IM5	9	0.355	15.096	167.733%	2.821	94.033%	2.23834	0.211
P-0005694-T01-IM5	7	0.323	12.234	174.771%	2.51	94.869%	2.39056	0.196
P-0005707-T01-IM5	16	0.483	23.045	144.031%	3.742	88.2%	1.61802	0.332
P-0005711-T01-IM5	2	0.33	3.725	186.25%	1.346	95.177%	3.23573	0.322
P-0005721-T01-IM5	6	0.31	10.744	179.067%	2.33	95.122%	2.5474	0.191
P-0005734-T02-IM5	7	0.347	12.115	173.071%	2.484	93.886%	2.28527	0.23
P-0005743-T02-IM5	3	0.432	5.292	176.4%	1.586	91.568%	2.564	0.423
P-0005752-T01-IM5	4	0.223	7.484	187.1%	1.954	97.7%	2.90231	0.114
P-0005763-T01-IM5	1	0.301	1.911	191.1%	0.966	96.6%	3.11504	0.321
P-0005786-T01-IM5	1	0.034	1.99	199.0%	1.006	100.6%	5.30475	-0.051
P-0005845-T01-IM5	3	0.333	5.49	183.0%	1.639	94.628%	2.64696	0.296
P-0005847-T01-IM5	5	0.429	8.393	167.86%	2.023	90.471%	2.11107	0.376
P-0005848-T01-IM5	17	0.683	22.532	132.541%	4.122	74.033%	1.43894	0.646
P-0005849-T01-IM5	10	0.65	14.439	144.39%	2.721	78.549%	1.5453	0.633
P-0005850-T01-IM5	13	0.616	16.925	130.192%	2.845	78.906%	1.7203	0.534
P-0005863-T01-IM5	1	0.192	1.943	194.3%	0.982	98.2%	3.56185	0.17
P-0005868-T02-IM5	3	0.465	5.455	181.833%	2.068	92.484%	2.40007	0.518
P-0005871-T01-IM5	3	0.12	5.644	188.133%	1.836	106.002%	4.54983	0.062
P-0005872-T01-IM5	1	0.317	1.9	190.0%	0.962	96.2%	2.99418	0.331
P-0005873-T02-IM6	10	0.648	13.861	138.61%	3.292	77.593%	1.57766	0.626
P-0005881-T02-IM5	6	0.516	9.533	158.883%	2.117	86.426%	1.89228	0.477
P-0005895-T01-IM5	5	0.491	8.16	163.2%	1.965	87.877%	1.89282	0.456
P-0005897-T02-IM5	4	0.258	7.39	184.75%	1.933	96.65%	2.83926	0.166
P-0005903-T01-IM5	10	0.352	16.889	168.89%	3.25	93.819%	2.03443	0.213
P-0005925-T02-IM5	15	0.651	19.604	130.693%	3.66	76.316%	1.41909	0.602
P-0005927-T01-IM5	4	0.108	7.758	193.95%	2.017	100.85%	3.52678	-0.061
P-0005942-T01-IM5	3	0.245	5.624	187.467%	1.679	96.937%	3.13519	0.173
P-0005959-T01-IM5	8	0.457	13.087	163.588%	2.521	89.131%	1.88636	0.376
P-0005962-T01-IM5	2	0.101	3.916	195.8%	1.415	100.056%	3.96314	0.001
P-0005974-T01-IM5	4	0.414	7.022	175.55%	1.836	91.8%	2.51474	0.386
P-0005975-T01-IM5	8	0.506	12.552	156.9%	2.451	86.656%	1.80883	0.44
P-0005981-T01-IM5	8	0.392	13.666	170.825%	2.913	92.117%	2.14778	0.309
P-0005985-T01-IM5	7	0.448	11.434	163.343%	2.367	89.464%	2.07984	0.373
P-0005990-T01-IM5	2	0.294	3.77	188.5%	1.359	96.096%	3.08686	0.282
P-0006002-T01-IM5	1	0.025	1.992	199.2%	1.008	100.8%	5.52365	-0.054
P-0006021-T01-IM5	5	0.412	8.12	162.4%	2.04	91.232%	2.71138	0.353
P-0006028-T01-IM5	3	0.253	5.543	184.767%	1.678	96.879%	3.0011	0.187
P-0006046-T01-IM5	21	0.7	25.9	123.333%	3.896	72.347%	1.18453	0.639
P-0006047-T02-IM5	2	0.172	3.857	192.85%	1.394	98.571%	3.52551	0.101
P-0006060-T01-IM5	24	0.672	28.658	119.408%	4.332	74.293%	1.17018	0.579
P-0006065-T01-IM5	2	0.096	3.925	196.25%	1.415	100.056%	4.04777	-0.016
P-0006071-T01-IM5	19	0.714	23.455	123.447%	3.576	71.52%	1.19252	0.666
P-0006084-T01-IM5	5	0.311	9.05	181.0%	2.125	95.033%	2.59409	0.218
P-0006088-T01-IM5	7	0.46	11.387	162.671%	2.354	88.973%	2.19936	0.389
P-0006094-T01-IM5	11	0.516	16.145	146.773%	3.533	85.688%	1.7563	0.456
P-0006105-T01-IM5	4	0.245	7.421	185.525%	1.941	97.05%	3.07574	0.147
P-0006114-T01-IM5	2	0.207	3.838	191.9%	1.384	97.864%	3.26492	0.151
P-0006115-T01-IM5	23	0.455	31.411	136.57%	5.582	89.384%	1.54864	0.29
P-0006116-T02-IM6	5	0.275	9.248	184.96%	2.543	96.116%	2.78506	0.2
P-0006123-T01-IM5	2	0.523	3.467	173.35%	1.264	89.378%	2.02134	0.541
P-0006127-T01-IM5	6	0.535	9.749	162.483%	2.405	85.03%	2.18765	0.504
P-0006133-T01-IM5	61	0.914	43.528	71.357%	7.659	42.354%	0.5401	0.904
P-0006134-T01-IM5	6	0.389	10.293	171.55%	2.257	92.142%	2.33601	0.308
P-0006139-T02-IM6	4	0.245	7.407	185.175%	1.943	97.15%	3.04829	0.148
P-0006140-T01-IM5	8	0.256	14.344	179.3%	3.087	97.62%	2.65655	0.119
P-0006149-T02-IM5	3	0.256	5.446	181.533%	1.684	97.226%	3.47303	0.198
P-0006151-T01-IM5	6	0.359	10.644	177.4%	3.234	93.358%	2.25834	0.317
P-0006171-T01-IM5	1	0.301	1.911	191.1%	0.966	96.6%	3.11504	0.321
P-0006172-T01-IM5	5	0.571	7.393	147.86%	1.853	82.869%	1.96271	0.542
P-0006175-T01-IM5	15	0.615	18.194	121.293%	3.445	79.034%	1.24399	0.541
P-0006191-T01-IM5	3	0.51	4.919	163.967%	1.515	87.469%	2.33066	0.494
P-0006198-T01-IM5	1	0.663	1.623	162.3%	0.839	83.9%	1.66956	0.674
P-0006206-T01-IM5	1	0.156	1.951	195.1%	0.988	98.8%	3.70581	0.118
P-0006210-T01-IM5	4	0.373	7.12	178.0%	1.862	93.1%	2.42302	0.328
P-0006221-T02-IM5	13	0.635	19.759	151.992%	4.052	81.04%	1.44347	0.643
P-0006268-T01-IM5	2	0.054	3.955	197.75%	1.429	101.046%	4.57196	-0.065
P-0006280-T02-IM6	5	0.342	8.957	179.14%	2.103	94.049%	2.26933	0.265
P-0006289-T01-IM5	5	0.305	8.857	177.14%	2.135	95.48%	2.45276	0.215
P-0006290-T01-IM5	14	0.666	17.241	123.15%	3.009	75.225%	1.23775	0.607
P-0006292-T01-IM5	1	0.726	1.704	170.4%	0.863	86.3%	1.90887	0.784
P-0006294-T01-IM5	4	0.203	7.549	188.725%	1.964	98.2%	3.00683	0.079
P-0006311-T02-IM5	7	0.556	10.993	157.043%	2.245	84.853%	1.72685	0.533
P-0006312-T02-IM5	3	0.259	5.603	186.767%	1.673	96.591%	2.82882	0.192
P-0006314-T01-IM5	8	0.385	13.597	169.962%	2.61	92.277%	1.98862	0.267
P-0006321-T01-IM5	2	0.265	3.793	189.65%	1.367	96.661%	3.44381	0.237
P-0006341-T01-IM5	19	0.584	26.172	137.747%	4.529	81.343%	1.31666	0.502
P-0006343-T01-IM5	6	0.473	9.625	160.417%	2.162	88.263%	2.44681	0.417
P-0006351-T01-IM5	8	0.659	10.905	136.312%	2.184	77.216%	1.50931	0.634
P-0006364-T01-IM5	6	0.402	10.567	176.117%	2.607	92.171%	2.22249	0.366
P-0006370-T01-IM5	2	0.336	3.719	185.95%	1.344	95.035%	2.69343	0.331
P-0006372-T01-IM5	3	0.5	4.939	164.633%	1.521	87.815%	2.45317	0.483
P-0006397-T01-IM5	2	0.267	3.571	178.55%	1.376	97.298%	3.37187	0.233
P-0006402-T01-IM5	6	0.374	10.38	173.0%	2.272	92.754%	2.32828	0.287
P-0006415-T01-IM5	4	0.338	7.203	180.075%	1.884	94.2%	2.76799	0.278
