Samples	SBS96A	SBS96B	SBS96C
P-0015416-T01-IM6	6.66E-01	6.66E-01	0.00E+00
P-0015536-T01-IM6	5.10E-01	4.49E-01	2.53E-01
P-0015699-T01-IM6	4.82E-01	5.44E-01	2.12E-01
P-0015851-T01-IM6	3.72E-01	3.71E-01	0.00E+00
P-0016314-T01-IM6	7.97E-01	7.90E-01	1.89E-01
P-0016522-T01-IM6	3.94E-01	3.85E-01	1.32E-01
P-0016890-T01-IM6	5.54E-01	5.37E-01	1.75E-01
P-0017583-T01-IM5	3.90E-01	3.78E-01	1.85E-01
P-0017664-T01-IM5	1.73E-01	1.73E-01	0.00E+00
P-0017697-T01-IM6	7.94E-01	7.94E-01	0.00E+00
P-0017839-T01-IM6	3.49E-01	2.67E-01	2.83E-01
P-0017925-T01-IM6	6.49E-01	6.42E-01	4.32E-02
P-0017986-T02-IM6	8.37E-01	8.23E-01	1.96E-01
P-0017995-T01-IM6	5.67E-01	5.46E-01	1.05E-01
P-0018374-T01-IM6	5.01E-01	4.67E-01	2.42E-01
P-0018436-T01-IM6	2.44E-01	2.44E-01	0.00E+00
P-0018437-T01-IM6	4.77E-01	4.77E-01	0.00E+00
P-0018841-T01-IM6	5.16E-01	5.14E-01	0.00E+00
P-0019183-T01-IM6	1.88E-01	1.99E-01	2.02E-01
P-0019428-T01-IM6	5.14E-01	5.00E-01	9.65E-02
P-0019464-T01-IM6	8.62E-01	7.79E-01	2.89E-01
P-0019475-T01-IM6	8.11E-01	8.12E-01	0.00E+00
P-0019846-T01-IM6	4.80E-01	4.71E-01	6.04E-02
P-0019949-T01-IM6	3.90E-01	3.19E-01	2.67E-01
P-0020143-T01-IM6	6.18E-01	6.06E-01	1.94E-01
P-0020144-T01-IM6	4.19E-01	3.84E-01	1.99E-01
P-0020221-T01-IM6	6.10E-01	6.01E-01	4.11E-02
P-0020330-T01-IM6	7.98E-01	7.93E-01	3.87E-01
P-0020331-T01-IM6	7.68E-01	7.82E-01	2.01E-01
P-0020399-T01-IM6	4.92E-01	5.00E-01	1.32E-01
P-0020431-T01-IM6	3.62E-01	3.56E-01	8.27E-02
P-0020473-T01-IM6	7.79E-01	1.28E-01	8.04E-01
P-0020689-T01-IM6	8.14E-01	6.87E-01	3.47E-01
P-0020748-T01-IM6	3.32E-01	3.02E-01	1.96E-01
P-0020834-T01-IM6	3.18E-01	3.38E-01	2.18E-01
P-0021049-T01-IM6	5.46E-01	5.40E-01	3.94E-02
P-0021090-T01-IM6	9.80E-01	3.44E-01	9.62E-01
P-0021154-T01-IM6	4.51E-01	4.31E-01	7.87E-02
P-0021292-T01-IM6	5.62E-01	5.61E-01	1.00E-02
P-0021304-T01-IM6	5.07E-01	4.41E-01	2.08E-01
P-0021346-T01-IM6	4.11E-01	4.08E-01	6.18E-02
P-0021393-T01-IM6	6.96E-01	6.96E-01	0.00E+00
P-0021744-T01-IM6	8.74E-01	8.74E-01	0.00E+00
P-0022111-T01-IM6	8.42E-01	8.46E-01	1.00E-02
P-0022508-T01-IM6	2.68E-01	2.68E-01	0.00E+00
P-0023162-T01-IM6	3.88E-01	3.83E-01	4.00E-02
P-0023271-T01-IM6	1.16E+00	1.02E+00	1.30E+00
P-0023272-T01-IM6	6.08E-01	6.04E-01	3.53E-01
P-0023551-T01-IM6	5.28E-01	5.28E-01	1.71E-02
P-0023639-T01-IM6	5.74E-01	5.49E-01	3.02E-01
P-0024928-T01-IM6	5.03E-01	5.03E-01	0.00E+00
P-0024973-T01-IM6	5.09E-01	5.03E-01	2.93E-02
P-0025047-T01-IM6	7.06E-01	6.54E-01	1.80E-01
P-0025073-T01-IM6	4.43E-01	4.57E-01	2.32E-01
P-0025215-T01-IM6	5.93E-01	5.62E-01	2.05E-01
P-0025695-T01-IM6	4.63E-01	4.62E-01	2.00E-02
P-0025715-T01-IM6	5.44E-01	5.43E-01	0.00E+00
P-0025883-T01-IM6	7.92E-01	7.74E-01	2.27E-01
P-0026197-T01-IM6	8.36E-01	8.29E-01	5.84E-02
P-0026480-T01-IM6	7.60E-01	7.54E-01	5.45E-02
P-0026678-T01-IM6	2.99E-01	2.79E-01	9.72E-02
P-0026683-T01-IM6	7.22E-01	7.06E-01	2.28E-01
P-0026908-T01-IM6	4.69E-01	4.63E-01	1.74E-01
P-0026962-T01-IM6	4.76E-01	4.50E-01	2.99E-01
P-0027324-T01-IM6	6.33E-01	6.38E-01	3.33E-01
P-0027335-T01-IM6	6.12E-01	6.14E-01	0.00E+00
P-0027375-T01-IM6	4.62E-01	4.13E-01	3.15E-01
P-0027438-T01-IM6	5.68E-01	5.69E-01	1.65E-01
P-0027740-T01-IM6	6.11E-01	5.50E-01	3.03E-01
P-0027858-T01-IM6	8.14E-01	8.02E-01	1.30E-01
P-0027929-T01-IM6	2.74E+00	2.69E+00	4.49E-01
P-0028069-T01-IM6	5.83E-01	5.46E-01	1.73E-01
P-0028266-T01-IM6	7.10E-01	7.09E-01	4.00E-02
P-0028274-T01-IM6	7.06E-01	7.04E-01	0.00E+00
P-0028344-T01-IM6	4.91E-01	4.53E-01	2.31E-01
P-0028474-T01-IM6	1.06E+00	1.02E+00	2.01E-01
P-0028485-T01-IM6	7.72E-01	6.68E-01	4.80E-01
P-0028571-T01-IM6	4.98E-01	4.93E-01	5.18E-02
P-0028891-T01-IM6	8.86E-01	8.84E-01	1.51E-01
P-0028979-T01-IM6	6.79E-01	6.70E-01	3.94E-02
P-0029114-T01-IM6	3.56E-01	3.29E-01	1.34E-01
P-0029169-T01-IM6	4.64E-01	4.08E-01	2.61E-01
P-0029398-T01-IM6	5.73E-01	5.63E-01	3.20E-01
P-0029399-T01-IM6	5.32E-01	5.19E-01	3.79E-01
P-0029495-T03-IM6	2.55E-01	2.55E-01	0.00E+00
P-0029646-T01-IM6	9.80E-01	9.45E-01	2.58E-01
P-0029980-T01-IM6	7.84E-01	8.03E-01	3.40E-01
P-0030244-T01-IM6	7.04E-01	7.25E-01	1.91E-01
P-0030265-T01-IM6	2.16E+00	2.15E+00	2.75E-01
P-0030636-T01-IM6	4.24E-01	4.14E-01	9.85E-02
P-0030708-T01-IM6	6.45E-01	6.45E-01	0.00E+00
P-0030774-T01-IM6	6.74E-01	6.60E-01	1.35E-01
P-0030960-T01-IM6	5.79E-01	5.22E-01	1.94E-01
P-0030988-T01-IM6	5.02E-01	5.01E-01	2.43E-02
P-0031050-T01-IM6	4.26E-01	4.18E-01	1.97E-02
P-0031091-T01-IM6	7.57E-01	7.50E-01	2.12E-01
P-0031146-T01-IM6	3.35E-01	3.14E-01	1.71E-01
P-0031207-T01-IM6	5.01E-01	5.01E-01	0.00E+00
P-0031496-T01-IM6	5.10E-01	5.17E-01	8.84E-02
P-0032060-T01-IM6	5.55E-01	5.50E-01	2.36E-01
P-0032698-T01-IM6	7.11E-01	7.09E-01	1.95E-01
P-0032718-T01-IM6	7.28E-01	7.31E-01	2.53E-01
P-0032777-T01-IM6	4.50E-01	4.77E-01	3.32E-01
P-0033100-T01-IM6	7.18E-01	6.91E-01	2.41E-01
P-0033382-T01-IM6	5.54E-01	9.08E-02	5.40E-01
P-0033425-T01-IM6	2.64E+00	2.67E+00	3.94E-01
P-0033503-T01-IM6	2.80E-01	2.55E-01	8.56E-02
P-0033748-T01-IM6	1.00E-02	1.09E+00	1.09E+00
P-0033852-T01-IM6	6.53E-01	6.10E-01	3.92E-01
P-0034090-T01-IM6	3.99E-01	3.93E-01	6.51E-02
P-0034401-T01-IM6	4.25E-01	4.25E-01	0.00E+00
P-0034935-T01-IM6	2.49E-01	2.54E-01	5.93E-02
P-0034950-T01-IM6	6.00E-01	5.94E-01	2.00E-02
P-0035033-T01-IM6	2.40E-01	2.40E-01	0.00E+00
P-0035100-T01-IM6	3.88E-01	3.70E-01	1.54E-01
P-0035103-T01-IM6	5.11E-01	3.48E-01	5.10E-01
P-0035437-T01-IM6	6.02E-01	5.65E-01	3.67E-01
P-0035452-T01-IM6	7.63E-01	7.42E-01	2.55E-01
P-0035693-T01-IM6	5.34E-01	4.09E-01	3.05E-01
P-0035742-T01-IM6	2.61E-01	1.56E-01	3.20E-01
P-0035755-T01-IM6	6.57E-01	6.59E-01	1.00E-02
P-0035916-T01-IM6	5.27E-01	5.17E-01	2.66E-01
P-0036028-T01-IM6	6.46E-01	6.59E-01	2.50E-01
P-0036050-T01-IM6	4.08E-01	3.81E-01	9.73E-02
P-0036309-T01-IM6	4.68E-01	4.79E-01	2.19E-01
P-0036334-T01-IM6	5.75E-01	5.48E-01	2.00E-01
P-0036369-T01-IM6	6.28E-01	5.65E-01	3.13E-01
P-0036380-T01-IM6	6.37E-01	5.85E-01	3.26E-01
P-0036500-T01-IM6	5.73E-01	5.64E-01	6.71E-02
P-0036503-T01-IM6	7.56E-01	3.78E-01	7.72E-01
P-0036831-T01-IM6	4.66E-01	4.28E-01	2.90E-01
P-0036852-T01-IM6	6.71E-01	6.56E-01	3.06E-01
P-0036924-T01-IM6	5.31E-01	5.17E-01	6.26E-02
P-0037227-T01-IM6	4.67E-01	4.77E-01	1.44E-01
P-0037246-T01-IM6	4.76E-01	4.63E-01	2.25E-01
P-0037410-T01-IM6	6.96E-01	6.97E-01	1.90E-01
P-0037531-T01-IM6	4.32E-02	5.43E-01	5.43E-01
P-0037582-T01-IM6	4.96E-01	4.93E-01	6.57E-02
P-0037838-T02-IM6	4.68E-01	4.66E-01	1.29E-01
P-0037867-T01-IM6	5.37E-01	4.50E-01	3.73E-01
P-0037875-T01-IM6	6.50E-01	5.85E-01	1.89E-01
P-0037898-T01-IM6	5.78E-01	2.15E-01	5.81E-01
P-0038159-T01-IM6	4.21E-01	4.19E-01	0.00E+00
P-0038378-T01-IM6	5.01E-01	4.85E-01	1.02E-01
P-0038553-T01-IM6	6.28E-01	6.22E-01	3.30E-02
P-0038612-T02-IM6	4.64E-01	4.59E-01	1.71E-02
P-0038638-T01-IM6	5.99E-01	5.73E-01	1.68E-01
P-0038880-T01-IM6	7.22E-01	6.54E-01	2.77E-01
P-0038908-T01-IM6	3.68E-01	3.19E-01	1.58E-01
P-0039283-T01-IM6	8.55E-01	7.83E-01	3.14E-01
P-0039441-T01-IM6	4.42E-01	4.44E-01	0.00E+00
P-0039443-T01-IM6	5.20E-01	4.39E-01	2.01E-01
P-0039589-T01-IM6	9.62E-01	9.52E-01	4.43E-01
P-0039800-T01-IM6	1.91E-01	1.91E-01	0.00E+00
P-0039938-T01-IM6	6.76E-01	6.76E-01	2.48E-01
P-0039999-T01-IM6	5.27E-01	5.24E-01	0.00E+00
P-0040021-T01-IM6	4.85E-01	4.94E-01	1.92E-01
P-0040107-T01-IM6	6.62E-01	6.62E-01	2.23E-02
P-0040121-T01-IM6	5.35E-01	5.11E-01	2.70E-01
P-0040182-T01-IM6	6.43E-01	6.56E-01	1.94E-01
P-0040250-T01-IM6	5.08E-01	5.15E-01	1.50E-01
P-0040355-T01-IM6	3.89E-01	3.75E-01	8.20E-02
P-0040373-T01-IM6	5.98E-01	5.66E-01	1.75E-01
P-0040484-T01-IM6	2.88E-01	2.85E-01	3.00E-02
P-0040678-T01-IM6	4.11E-01	4.06E-01	3.00E-02
P-0040787-T01-IM6	6.19E-01	3.34E-01	6.54E-01
P-0041005-T01-IM6	7.83E-01	7.83E-01	6.68E-02
P-0041144-T01-IM6	7.03E-01	7.09E-01	1.22E-01
P-0041213-T01-IM6	4.97E-01	4.96E-01	4.94E-02
P-0041436-T01-IM6	6.55E-01	6.33E-01	1.64E-01
P-0041542-T01-IM6	3.73E-01	2.50E-01	3.20E-01
P-0041648-T01-IM6	5.70E-01	5.05E-01	2.69E-01
P-0041855-T01-IM6	8.23E-01	8.17E-01	3.65E-01
P-0041986-T01-IM6	5.82E-01	5.79E-01	2.00E-02
P-0042503-T01-IM6	5.47E-01	5.39E-01	1.53E-01
P-0042615-T01-IM6	4.12E-01	3.74E-01	1.86E-01
P-0042737-T01-IM6	5.07E-01	4.91E-01	9.38E-02
P-0042880-T01-IM6	4.62E-01	4.40E-01	2.80E-01
P-0043005-T01-IM6	6.42E-01	5.53E-01	3.92E-01
P-0043052-T01-IM6	7.61E-01	7.61E-01	0.00E+00
P-0043087-T01-IM6	7.24E-01	7.20E-01	5.70E-02
P-0043095-T01-IM6	6.59E-01	5.98E-01	2.75E-01
P-0043154-T01-IM6	5.52E-01	4.94E-01	2.04E-01
P-0043169-T01-IM6	3.54E-01	3.52E-01	0.00E+00
P-0043595-T01-IM6	5.38E-01	5.38E-01	0.00E+00
P-0043599-T01-IM6	4.81E-01	5.01E-01	1.85E-01
P-0043781-T01-IM6	3.81E-01	3.87E-01	1.09E-01
P-0043907-T01-IM6	4.98E-01	4.98E-01	0.00E+00
P-0044184-T01-IM6	6.52E-01	6.55E-01	1.41E-02
P-0044217-T01-IM6	4.10E-01	4.10E-01	0.00E+00
P-0044329-T01-IM6	5.46E-01	5.46E-01	0.00E+00
P-0044371-T01-IM6	6.40E-01	6.19E-01	1.29E-01
P-0044406-T01-IM6	5.39E-01	5.07E-01	1.23E-01
P-0044484-T01-IM6	4.87E-01	4.56E-01	3.02E-01
P-0044540-T01-IM6	6.06E-01	5.88E-01	3.40E-01
P-0044544-T01-IM6	4.76E-01	4.76E-01	0.00E+00
P-0044576-T01-IM6	4.59E-01	4.49E-01	1.65E-01
P-0044645-T01-IM6	3.35E-01	2.91E-01	1.93E-01
P-0044666-T01-IM6	4.70E-01	4.70E-01	0.00E+00
P-0044791-T01-IM6	4.83E-01	4.83E-01	1.00E-02
P-0044805-T01-IM6	4.05E-01	3.28E-01	2.63E-01
P-0044833-T01-IM6	7.59E-01	7.55E-01	2.14E-01
P-0044858-T01-IM6	4.00E-01	3.94E-01	1.72E-01
P-0045009-T01-IM6	4.47E-01	4.40E-01	5.52E-02
P-0045111-T01-IM6	7.04E-01	6.97E-01	2.48E-01
P-0045223-T01-IM6	2.95E-01	3.24E-01	2.07E-01
P-0045253-T01-IM6	4.91E-01	4.89E-01	1.00E-02
P-0045320-T01-IM6	4.44E-01	3.94E-01	2.27E-01
P-0045366-T01-IM6	5.41E-01	5.41E-01	0.00E+00
P-0045460-T01-IM6	4.43E-01	4.06E-01	1.37E-01
P-0045471-T01-IM6	4.04E-01	3.81E-01	1.86E-01
P-0045547-T01-IM6	3.06E-01	3.24E-01	1.66E-01
P-0045569-T01-IM6	6.29E-01	6.20E-01	4.11E-02
P-0045713-T01-IM6	3.85E-01	3.93E-01	1.24E-01
P-0045823-T01-IM6	5.46E-01	5.08E-01	1.64E-01
P-0045984-T01-IM6	5.53E-01	4.56E-01	2.69E-01
P-0046035-T01-IM6	4.39E-01	3.94E-01	1.90E-01
P-0046229-T01-IM6	4.32E-01	4.39E-01	1.39E-01
P-0046266-T01-IM6	5.93E-01	5.87E-01	7.50E-02
P-0046311-T01-IM6	4.64E-01	3.93E-01	3.57E-01
P-0046312-T01-IM6	2.51E-01	2.15E-01	1.47E-01
P-0046394-T01-IM6	5.08E-01	4.93E-01	1.26E-01
P-0046492-T01-IM6	5.61E-01	5.16E-01	3.13E-01
P-0046698-T01-IM6	8.90E-01	8.90E-01	0.00E+00
P-0046738-T01-IM6	3.96E-01	3.96E-01	1.00E-02
P-0046739-T01-IM6	5.24E-01	5.24E-01	0.00E+00
P-0046759-T01-IM6	5.05E-01	4.86E-01	1.96E-01
P-0046843-T01-IM6	6.91E-01	6.74E-01	9.41E-02
P-0046954-T01-IM6	2.18E-01	2.44E-01	8.18E-02
P-0047056-T01-IM6	7.41E-01	7.41E-01	0.00E+00
P-0047121-T01-IM6	3.05E-01	3.00E-01	5.70E-02
P-0047196-T01-IM6	4.28E-01	4.28E-01	0.00E+00
P-0047599-T01-IM6	6.04E-01	6.04E-01	0.00E+00
P-0047601-T01-IM6	4.79E-01	4.54E-01	7.95E-02
P-0047632-T01-IM6	6.33E-01	6.39E-01	8.95E-02
P-0047822-T01-IM6	6.18E-01	6.17E-01	2.61E-02
P-0047850-T01-IM6	4.84E-01	4.86E-01	0.00E+00
P-0047862-T01-IM6	4.71E-01	4.69E-01	5.09E-02
P-0047886-T01-IM6	6.16E-01	6.37E-01	2.30E-01
P-0048082-T01-IM6	6.05E-01	5.94E-01	6.34E-02
P-0048215-T01-IM6	2.06E+00	1.99E+00	1.76E+00
P-0048221-T01-IM6	7.02E-01	7.09E-01	1.31E-01
P-0048257-T01-IM6	4.85E-01	4.76E-01	2.65E-01
P-0048271-T01-IM6	1.79E-01	1.57E-01	6.67E-02
P-0048660-T01-IM6	3.96E-01	3.94E-01	3.00E-02
P-0048893-T01-IM6	5.51E-01	5.35E-01	2.59E-01
P-0049064-T01-IM6	6.48E-01	6.05E-01	1.39E-01
P-0049202-T01-IM6	4.17E-01	1.20E-01	4.22E-01
P-0049359-T01-IM6	4.11E-01	4.06E-01	9.24E-02
P-0049376-T01-IM6	4.95E-01	4.93E-01	5.49E-02
P-0049486-T01-IM6	3.74E-01	3.74E-01	0.00E+00
P-0049600-T01-IM6	2.73E-01	2.73E-01	0.00E+00
P-0049633-T01-IM6	4.26E-01	4.26E-01	0.00E+00
P-0049661-T01-IM6	4.62E-01	4.61E-01	0.00E+00
P-0049762-T01-IM6	6.18E-01	4.83E-01	3.17E-01
P-0049970-T01-IM6	5.62E-01	5.33E-01	2.90E-01
P-0050263-T01-IM6	4.57E-01	2.33E-01	5.02E-01
P-0050266-T01-IM6	5.87E-01	5.37E-01	2.44E-01
