Samples	SBS96A
P-0035742-T01-IM6	23
P-0035755-T01-IM6	47
P-0035916-T01-IM6	42
P-0036028-T01-IM6	46
P-0036050-T01-IM6	42
P-0036309-T01-IM6	39
P-0036334-T01-IM6	51
P-0036369-T01-IM6	53
P-0036380-T01-IM6	32
P-0036500-T01-IM6	61
P-0036503-T01-IM6	140
P-0036831-T01-IM6	43
P-0036852-T01-IM6	59
P-0036924-T01-IM6	45
P-0037227-T01-IM6	32
P-0037246-T01-IM6	26
P-0037410-T01-IM6	66
P-0037531-T01-IM6	110
P-0037582-T01-IM6	31
P-0037838-T02-IM6	31
P-0037867-T01-IM6	45
P-0037875-T01-IM6	45
P-0037898-T01-IM6	216
P-0038159-T01-IM6	33
P-0038378-T01-IM6	36
P-0038553-T01-IM6	65
P-0038612-T02-IM6	27
P-0038638-T01-IM6	28
P-0038880-T01-IM6	74
P-0038908-T01-IM6	21
P-0039283-T01-IM6	116
P-0039441-T01-IM6	31
P-0039443-T01-IM6	50
P-0039589-T01-IM6	129
P-0039800-T01-IM6	30
P-0039938-T01-IM6	58
P-0039999-T01-IM6	48
P-0040021-T01-IM6	33
P-0040107-T01-IM6	44
P-0040121-T01-IM6	50
P-0040182-T01-IM6	41
P-0040250-T01-IM6	41
P-0040355-T01-IM6	30
P-0040373-T01-IM6	51
P-0040484-T01-IM6	23
P-0040678-T01-IM6	49
P-0040787-T01-IM6	173
P-0041005-T01-IM6	73
P-0041144-T01-IM6	58
P-0041213-T01-IM6	26
P-0041436-T01-IM6	48
P-0041542-T01-IM6	21
P-0041648-T01-IM6	69
P-0041855-T01-IM6	79
P-0041986-T01-IM6	54
P-0042503-T01-IM6	40
P-0042615-T01-IM6	38
P-0042737-T01-IM6	42
P-0042880-T01-IM6	27
P-0043005-T01-IM6	65
P-0043052-T01-IM6	93
P-0043087-T01-IM6	87
P-0043095-T01-IM6	56
P-0043154-T01-IM6	52
P-0043169-T01-IM6	18
P-0043595-T01-IM6	56
P-0043599-T01-IM6	39
P-0043781-T01-IM6	36
P-0043907-T01-IM6	50
P-0044184-T01-IM6	53
P-0044217-T01-IM6	21
P-0044329-T01-IM6	52
P-0044371-T01-IM6	66
P-0044406-T01-IM6	37
P-0044484-T01-IM6	38
P-0044540-T01-IM6	45
