Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
P-0017664-T01-IM5	1	0	0	0	0	4	0	0	0
P-0017697-T01-IM6	24	9	0	0	7	15	11	4	0
P-0017839-T01-IM6	18	1	12	0	2	4	4	0	0
P-0017925-T01-IM6	8	6	4	0	0	12	8	1	9
P-0017986-T02-IM6	18	2	3	2	19	12	9	0	0
P-0017995-T01-IM6	6	10	4	0	7	1	0	0	10
P-0018374-T01-IM6	6	11	4	2	0	5	6	3	0
P-0018436-T01-IM6	6	0	1	0	5	4	0	0	0
P-0018437-T01-IM6	8	2	0	0	13	0	3	7	0
P-0018841-T01-IM6	0	4	0	0	9	2	0	35	0
P-0019183-T01-IM6	1	4	0	0	3	0	0	0	0
P-0019428-T01-IM6	15	1	2	0	7	9	0	0	2
P-0019464-T01-IM6	24	14	10	2	0	32	12	0	2
P-0019475-T01-IM6	5	5	1	0	25	12	11	8	0
P-0019846-T01-IM6	6	5	3	0	0	3	6	5	5
P-0019949-T01-IM6	12	7	3	1	0	3	0	0	0
P-0020143-T01-IM6	23	0	2	0	6	2	1	9	8
P-0020144-T01-IM6	3	0	3	0	3	9	0	0	0
P-0020221-T01-IM6	17	9	2	0	3	13	4	7	2
P-0020330-T01-IM6	12	21	6	2	0	13	6	30	7
P-0020331-T01-IM6	22	4	1	2	17	25	5	12	0
P-0020399-T01-IM6	10	1	3	0	0	22	3	1	0
P-0020431-T01-IM6	13	0	4	0	6	0	0	3	0
P-0020473-T01-IM6	6	13	78	48	0	3	0	0	0
P-0020689-T01-IM6	18	6	16	2	0	11	11	2	4
P-0020748-T01-IM6	4	0	1	2	0	5	0	0	4
P-0020834-T01-IM6	2	0	4	0	0	0	5	0	6
P-0021049-T01-IM6	12	7	4	0	0	9	0	0	4
P-0021090-T01-IM6	10	26	100	40	0	0	0	2	0
P-0021154-T01-IM6	0	8	2	0	0	5	11	3	0
P-0021292-T01-IM6	12	5	3	0	0	2	6	0	8
P-0021304-T01-IM6	28	11	7	2	15	0	0	0	1
P-0021346-T01-IM6	4	9	1	0	1	2	0	0	5
P-0021393-T01-IM6	13	28	0	0	6	0	13	3	0
P-0021744-T01-IM6	11	16	0	0	0	24	3	0	6
