Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
P-0007055-T01-IM5	7	3	7	16	0	1	2
P-0007147-T01-IM5	20	20	20	12	2	11	34
P-0007296-T01-IM5	19	11	0	1	1	19	4
P-0007596-T01-IM5	10	23	2	0	0	9	0
P-0007688-T01-IM5	7	8	4	0	2	15	0
P-0007739-T01-IM5	0	10	0	2	0	0	9
P-0007831-T01-IM5	2	6	5	19	2	0	0
P-0007836-T01-IM5	26	0	1	14	1	1	3
P-0007843-T01-IM5	6	5	1	7	0	6	1
P-0007882-T01-IM5	5	15	0	9	0	2	1
P-0007997-T01-IM5	3	9	0	14	0	1	5
P-0008180-T01-IM5	13	17	2	0	0	10	10
P-0008226-T02-IM5	12	2	10	3	2	11	0
P-0008317-T01-IM5	29	2	3	0	0	2	3
P-0008504-T03-IM6	5	2	0	9	5	13	33
P-0008721-T01-IM5	11	8	3	13	2	6	11
P-0008729-T01-IM5	8	4	7	8	3	5	1
P-0008745-T01-IM5	12	4	0	6	0	0	0
P-0008746-T01-IM5	10	8	7	1	0	0	10
P-0009157-T01-IM5	2	8	2	0	0	14	0
P-0009830-T01-IM5	4	1	3	11	0	0	8
P-0009964-T01-IM5	4	0	5	4	0	8	3
P-0010167-T01-IM5	2	9	0	0	0	2	10
P-0010275-T01-IM5	14	14	2	3	0	7	1
P-0010308-T01-IM5	3	0	4	13	0	0	3
P-0010499-T01-IM5	0	7	75	0	73	0	0
P-0010587-T01-IM5	33	0	17	0	2	7	2
P-0010680-T02-IM6	3	0	0	24	3	0	0
P-0010783-T01-IM5	25	4	0	0	0	5	15
P-0010798-T01-IM5	1	1	0	8	0	2	3
P-0010929-T01-IM5	8	10	7	0	0	0	1
P-0011068-T01-IM5	6	7	1	5	0	2	3
P-0011071-T01-IM5	14	5	0	18	4	0	15
P-0011226-T01-IM5	18	13	6	15	0	0	0
P-0011235-T01-IM5	3	0	1	12	0	0	2
P-0011324-T01-IM5	35	0	8	7	0	0	0
P-0011357-T01-IM5	3	21	46	0	137	0	0
P-0012115-T01-IM5	9	10	0	0	0	0	6
P-0012249-T01-IM5	4	7	0	7	0	7	0
P-0012313-T01-IM5	13	7	2	11	2	0	5
P-0012402-T01-IM5	8	22	90	0	101	18	0
P-0013010-T01-IM5	36	5	17	0	0	6	13
P-0013082-T01-IM5	18	4	6	17	0	0	0
P-0013227-T01-IM5	0	6	2	4	0	17	8
P-0013357-T01-IM5	13	3	2	9	2	6	0
P-0013374-T01-IM5	19	27	0	0	0	0	3
P-0013400-T01-IM5	33	5	9	0	0	0	0
P-0013462-T01-IM5	4	0	2	0	0	7	15
P-0013492-T01-IM5	9	3	2	3	0	19	0
P-0013876-T01-IM5	11	14	7	0	0	3	7
P-0013981-T01-IM5	9	0	9	21	0	0	0
P-0014143-T01-IM5	2	11	5	11	0	2	5
P-0014258-T01-IM6	0	27	9	22	0	2	16
P-0014616-T01-IM6	8	9	0	0	0	3	0
P-0014787-T01-IM6	10	3	4	0	2	19	0
P-0014994-T01-IM6	14	12	1	0	0	9	0
P-0015237-T01-IM6	1	8	3	21	2	4	0
P-0015252-T01-IM6	16	9	2	2	0	0	2
P-0015416-T01-IM6	48	9	4	0	0	5	22
P-0015536-T01-IM6	5	2	5	1	2	18	10
P-0015699-T01-IM6	0	2	0	28	2	0	14
P-0015851-T01-IM6	14	0	0	11	0	0	1
P-0016314-T01-IM6	4	18	7	14	0	17	29
P-0016522-T01-IM6	14	5	6	6	0	4	0
P-0016890-T01-IM6	4	0	1	22	2	9	0
P-0017583-T01-IM5	0	10	2	1	2	3	11
P-0017664-T01-IM5	3	0	0	0	0	0	2
P-0017697-T01-IM6	29	7	0	8	0	16	10
P-0017839-T01-IM6	19	0	16	0	0	6	0
P-0017925-T01-IM6	13	5	6	2	0	15	7
P-0017986-T02-IM6	22	1	2	26	2	12	0
P-0017995-T01-IM6	7	13	6	12	0	0	0
P-0018374-T01-IM6	8	10	5	0	2	8	4
P-0018436-T01-IM6	9	0	0	6	0	0	1
P-0018437-T01-IM6	8	3	0	14	0	2	6
P-0018841-T01-IM6	0	8	0	4	0	0	38
P-0019183-T01-IM6	1	5	0	2	0	0	0
P-0019428-T01-IM6	17	0	2	13	0	0	4
P-0019464-T01-IM6	37	10	12	1	2	22	12
