Samples	SBS96A	SBS96B	SBS96C
P-0036740-T03-IM6	2	7	9
P-0036868-T01-IM6	0	10	7
P-0037690-T01-IM6	9	57	16
P-0037917-T01-IM6	2	2	4
P-0038016-T01-IM6	2	22	6
P-0038084-T01-IM6	5	36	3
P-0038304-T01-IM6	2	8	29
P-0038424-T01-IM6	4	33	20
P-0038520-T01-IM6	1	14	32
P-0038755-T01-IM6	36	7	3
P-0038944-T01-IM6	7	15	3
P-0039004-T01-IM6	1	12	10
P-0039054-T01-IM6	167	178	157
P-0039184-T01-IM6	0	18	0
P-0039231-T01-IM6	0	23	0
P-0039294-T01-IM6	2	16	11
P-0039466-T01-IM6	0	21	19
P-0039477-T01-IM6	1	27	1
P-0039599-T01-IM6	0	0	8
P-0039704-T01-IM6	361	0	0
P-0039773-T01-IM6	51	4	1
P-0039854-T01-IM6	6	14	11
P-0040023-T01-IM6	58	338	108
P-0040086-T01-IM6	71	4	8
P-0040149-T01-IM6	3	5	17
P-0040228-T01-IM6	2	14	8
P-0040284-T01-IM6	98	4	4
P-0040471-T01-IM6	0	4	23
P-0040549-T01-IM6	0	14	6
P-0040575-T01-IM6	5	36	3
P-0040701-T01-IM6	4	7	8
P-0040823-T01-IM6	1	5	48
P-0040828-T01-IM6	259	235	0
P-0040884-T01-IM6	0	4	11
P-0040892-T01-IM6	0	11	17
P-0040992-T01-IM6	1	23	16
P-0041146-T01-IM6	205	0	0
P-0041318-T01-IM6	22	3	3
P-0041346-T01-IM6	218	0	0
P-0041347-T01-IM6	1	2	11
P-0041596-T01-IM6	2	5	19
P-0042199-T01-IM6	220	83	0
P-0042256-T01-IM6	75	0	0
P-0042508-T01-IM6	0	8	0
P-0042644-T01-IM6	7	10	19
P-0042702-T01-IM6	83	0	0
P-0042762-T01-IM6	4	2	74
P-0042782-T01-IM6	1	5	13
P-0042819-T01-IM6	0	6	17
P-0043033-T02-IM6	0	21	14
P-0043071-T01-IM6	33	14	0
P-0043596-T01-IM6	605	143	4
P-0043613-T01-IM6	6	41	16
P-0043842-T01-IM6	214	174	41
P-0043909-T01-IM6	0	7	17
P-0043940-T01-IM6	0	3	17
P-0044312-T01-IM6	1	6	14
P-0044767-T01-IM6	0	10	0
P-0044790-T01-IM6	0	159	0
P-0044987-T01-IM6	3	47	26
P-0045120-T01-IM6	24	7	0
P-0045458-T01-IM6	215	156	0
P-0045533-T01-IM6	2	10	12
P-0045671-T01-IM6	3	4	6
P-0045738-T01-IM6	2	10	15
P-0045991-T01-IM6	0	7	12
