Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0022508-T01-IM6	19	0	1	5	0
P-0023162-T01-IM6	4	3	2	15	0
P-0023271-T01-IM6	35	13	93	0	160
P-0023272-T01-IM6	21	15	0	17	0
P-0023551-T01-IM6	11	6	14	25	0
P-0023639-T01-IM6	12	14	8	7	2
P-0024928-T01-IM6	2	24	0	0	1
P-0024973-T01-IM6	8	0	6	13	0
P-0025047-T01-IM6	9	6	17	24	0
P-0025073-T01-IM6	18	10	0	2	3
P-0025215-T01-IM6	14	4	13	16	2
P-0025695-T01-IM6	18	9	12	0	0
P-0025715-T01-IM6	5	12	16	8	0
P-0025883-T01-IM6	23	22	0	16	2
P-0026197-T01-IM6	6	27	10	29	0
P-0026480-T01-IM6	4	14	33	9	0
P-0026678-T01-IM6	52	5	7	0	0
P-0026683-T01-IM6	57	0	1	17	2
P-0026908-T01-IM6	5	7	2	13	1
P-0026962-T01-IM6	2	18	11	1	3
P-0027324-T01-IM6	28	24	2	0	2
P-0027335-T01-IM6	15	22	0	6	0
P-0027375-T01-IM6	4	10	13	4	4
P-0027438-T01-IM6	1	30	0	0	2
P-0027740-T01-IM6	59	33	0	0	0
P-0027858-T01-IM6	13	25	15	29	0
P-0027929-T01-IM6	4	131	116	80	0
P-0028069-T01-IM6	2	12	17	6	0
P-0028266-T01-IM6	67	3	12	14	1
P-0028274-T01-IM6	22	14	8	7	0
P-0028344-T01-IM6	3	11	8	0	1
P-0028474-T01-IM6	7	41	30	6	0
P-0028485-T01-IM6	37	23	11	7	5
P-0028571-T01-IM6	11	10	8	5	0
P-0028891-T01-IM6	71	12	1	24	0
P-0028979-T01-IM6	13	1	5	39	0
P-0029114-T01-IM6	0	17	0	9	2
P-0029169-T01-IM6	10	19	0	0	1
P-0029398-T01-IM6	15	10	19	0	3
P-0029399-T01-IM6	18	0	21	5	2
P-0029495-T03-IM6	39	7	10	0	1
P-0029646-T01-IM6	17	22	19	24	0
P-0029980-T01-IM6	20	29	15	6	3
P-0030244-T01-IM6	4	30	0	15	1
P-0030265-T01-IM6	39	189	0	0	0
P-0030636-T01-IM6	17	0	12	3	0
P-0030708-T01-IM6	21	18	6	18	0
P-0030774-T01-IM6	30	16	22	0	3
P-0030960-T01-IM6	10	11	8	6	1
P-0030988-T01-IM6	4	18	11	7	0
P-0031050-T01-IM6	6	11	0	14	0
P-0031091-T01-IM6	12	32	9	7	0
P-0031146-T01-IM6	10	11	0	2	0
P-0031207-T01-IM6	11	0	0	27	0
P-0031496-T01-IM6	18	22	9	2	2
P-0032060-T01-IM6	23	23	0	7	2
P-0032698-T01-IM6	14	9	23	1	0
P-0032718-T01-IM6	0	31	0	24	4
P-0032777-T01-IM6	0	7	33	2	1
P-0033100-T01-IM6	18	0	17	11	1
P-0033382-T01-IM6	61	2	21	0	8
P-0033425-T01-IM6	118	236	0	0	11
P-0033503-T01-IM6	23	0	7	0	0
P-0033748-T01-IM6	0	0	0	29	105
P-0033852-T01-IM6	12	0	27	0	0
P-0034090-T01-IM6	0	11	4	4	0
P-0034401-T01-IM6	14	5	0	5	0
P-0034935-T01-IM6	0	4	1	8	0
P-0034950-T01-IM6	19	15	4	1	0
P-0035033-T01-IM6	3	7	0	0	0
P-0035100-T01-IM6	24	2	0	7	0
P-0035103-T01-IM6	5	10	0	0	118
P-0035437-T01-IM6	7	1	35	1	4
P-0035452-T01-IM6	17	16	22	11	0
P-0035693-T01-IM6	4	1	13	0	3
P-0035742-T01-IM6	1	3	9	0	10
P-0035755-T01-IM6	13	15	0	19	0
P-0035916-T01-IM6	14	5	0	19	4
P-0036028-T01-IM6	12	29	0	2	3
P-0036050-T01-IM6	17	22	0	0	3
P-0036309-T01-IM6	14	5	12	8	0
P-0036334-T01-IM6	25	16	1	6	3
P-0036369-T01-IM6	14	18	12	6	3
P-0036380-T01-IM6	5	8	15	0	4
P-0036500-T01-IM6	27	19	11	0	4
P-0036503-T01-IM6	10	19	37	0	74
P-0036831-T01-IM6	14	7	9	11	2
P-0036852-T01-IM6	14	10	10	20	5
P-0036924-T01-IM6	7	0	0	38	0
P-0037227-T01-IM6	15	0	0	17	0
P-0037246-T01-IM6	7	13	0	3	3
P-0037410-T01-IM6	7	29	5	24	1
P-0037531-T01-IM6	0	6	0	20	84
P-0037582-T01-IM6	16	10	0	4	1
P-0037838-T02-IM6	13	6	3	8	1
P-0037867-T01-IM6	8	7	29	0	1
P-0037875-T01-IM6	7	9	23	6	0
P-0037898-T01-IM6	3	27	0	0	186
P-0038159-T01-IM6	18	0	0	15	0
P-0038378-T01-IM6	11	6	0	18	1
P-0038553-T01-IM6	9	28	8	19	1
P-0038612-T02-IM6	4	12	6	5	0
P-0038638-T01-IM6	6	1	19	2	0
P-0038880-T01-IM6	53	1	12	6	2
P-0038908-T01-IM6	6	0	8	7	0
P-0039283-T01-IM6	64	21	25	0	6
P-0039441-T01-IM6	10	8	5	8	0
P-0039443-T01-IM6	25	13	6	4	2
P-0039589-T01-IM6	30	41	20	27	11
P-0039800-T01-IM6	19	11	0	0	0
P-0039938-T01-IM6	20	18	11	8	1
P-0039999-T01-IM6	14	4	0	30	0
P-0040021-T01-IM6	14	1	8	8	2
P-0040107-T01-IM6	16	16	1	11	0
P-0040121-T01-IM6	9	6	7	24	4
P-0040182-T01-IM6	5	15	12	9	0
P-0040250-T01-IM6	17	24	0	0	0
P-0040355-T01-IM6	12	6	0	11	1
P-0040373-T01-IM6	12	11	12	14	2
P-0040484-T01-IM6	8	11	4	0	0
P-0040678-T01-IM6	36	11	1	1	0
P-0040787-T01-IM6	0	15	0	2	156
P-0041005-T01-IM6	14	28	14	17	0
P-0041144-T01-IM6	22	13	17	6	0
P-0041213-T01-IM6	11	10	4	1	0
P-0041436-T01-IM6	17	15	0	16	0
P-0041542-T01-IM6	7	5	6	0	3
P-0041648-T01-IM6	45	6	16	0	2
P-0041855-T01-IM6	24	16	22	17	0
P-0041986-T01-IM6	29	2	15	8	0
P-0042503-T01-IM6	12	7	0	20	1
P-0042615-T01-IM6	25	1	3	7	2
P-0042737-T01-IM6	13	15	14	0	0
P-0042880-T01-IM6	9	1	17	0	0
P-0043005-T01-IM6	27	16	19	0	3
P-0043052-T01-IM6	49	7	33	4	0
P-0043087-T01-IM6	33	20	4	28	2
P-0043095-T01-IM6	23	5	2	24	2
P-0043154-T01-IM6	26	1	23	1	1
P-0043169-T01-IM6	0	10	0	8	0
P-0043595-T01-IM6	28	7	18	3	0
P-0043599-T01-IM6	9	4	0	24	2
P-0043781-T01-IM6	6	0	0	30	0
P-0043907-T01-IM6	35	0	0	15	0
P-0044184-T01-IM6	11	21	16	5	0
P-0044217-T01-IM6	11	1	0	9	0
P-0044329-T01-IM6	24	6	0	22	0
P-0044371-T01-IM6	8	6	0	50	2
P-0044406-T01-IM6	17	1	11	7	1
P-0044484-T01-IM6	17	11	1	6	3
P-0044540-T01-IM6	9	28	0	1	7
P-0044544-T01-IM6	19	0	0	17	0
P-0044576-T01-IM6	13	0	0	19	0
P-0044645-T01-IM6	63	22	0	0	0
P-0044666-T01-IM6	6	22	0	1	0
P-0044791-T01-IM6	24	17	0	0	0
P-0044805-T01-IM6	18	2	6	4	1
P-0044833-T01-IM6	30	6	19	4	0
P-0044858-T01-IM6	17	0	0	11	1
P-0045009-T01-IM6	8	14	3	0	1
P-0045111-T01-IM6	18	5	26	1	1
P-0045223-T01-IM6	2	6	0	12	1
P-0045253-T01-IM6	15	1	0	22	0
P-0045320-T01-IM6	11	4	11	3	1
P-0045366-T01-IM6	12	13	0	8	0
P-0045460-T01-IM6	6	5	12	6	0
P-0045471-T01-IM6	1	18	0	2	2
P-0045547-T01-IM6	7	2	3	5	1
P-0045569-T01-IM6	26	22	0	20	0
P-0045713-T01-IM6	13	0	5	3	0
P-0045823-T01-IM6	8	21	9	0	0
P-0045984-T01-IM6	37	4	11	1	1
P-0046035-T01-IM6	12	0	0	11	3
P-0046229-T01-IM6	7	8	0	15	1
P-0046266-T01-IM6	9	4	15	13	0
P-0046311-T01-IM6	9	3	11	0	5
P-0046312-T01-IM6	33	0	0	4	0
P-0046394-T01-IM6	23	3	0	9	0
P-0046492-T01-IM6	17	0	17	0	1
P-0046698-T01-IM6	39	35	20	7	0
P-0046738-T01-IM6	6	18	0	0	0
P-0046739-T01-IM6	26	14	0	6	0
P-0046759-T01-IM6	16	14	0	9	1
P-0046843-T01-IM6	38	2	0	30	1
P-0046954-T01-IM6	1	0	5	4	0
P-0047056-T01-IM6	20	20	16	22	0
P-0047121-T01-IM6	18	4	0	3	0
P-0047196-T01-IM6	17	9	0	4	0
P-0047599-T01-IM6	58	4	29	0	0
P-0047601-T01-IM6	4	13	4	9	0
