Samples	SBS96A	SBS96B	SBS96C
P-0044790-T01-IM6	0	150	9
P-0044987-T01-IM6	2	48	26
P-0045120-T01-IM6	23	8	0
P-0045458-T01-IM6	207	164	0
P-0045671-T01-IM6	3	4	6
P-0045738-T01-IM6	2	10	15
P-0045991-T01-IM6	0	7	12
P-0046448-T01-IM6	2	31	0
P-0046630-T01-IM6	0	40	0
P-0046754-T01-IM6	0	10	17
P-0046965-T01-IM6	404	0	75
P-0047374-T01-IM6	0	55	4
P-0047653-T01-IM6	38	15	0
P-0047766-T01-IM6	0	48	0
P-0047768-T01-IM6	3	59	0
P-0047771-T01-IM6	84	5	1
P-0047974-T01-IM6	37	7	0
P-0048176-T01-IM6	1	10	14
P-0048238-T01-IM6	0	8	15
P-0048255-T01-IM6	3	11	24
P-0048521-T01-IM6	0	8	15
P-0048589-T01-IM6	3	0	18
P-0048620-T01-IM6	4	9	19
P-0048757-T01-IM6	6	27	0
P-0048915-T01-IM6	1	4	16
P-0048984-T01-IM6	0	14	6
P-0049047-T01-IM6	359	124	146
P-0049073-T01-IM6	191	0	28
P-0049274-T01-IM6	41	0	5
P-0049291-T01-IM6	0	45	0
P-0049371-T01-IM6	44	7	0
P-0049473-T01-IM6	2	19	7
P-0049485-T01-IM6	3	25	18
P-0049760-T01-IM6	186	198	0
P-0049775-T01-IM6	7	21	4
P-0049788-T01-IM6	21	0	1
P-0049805-T01-IM6	0	14	7
P-0049931-T01-IM6	2	27	10
P-0050111-T01-IM6	0	18	10
