Samples	SBS96A	SBS96B	SBS96C
P-0033133-T01-IM6	3.42E-01	1.94E+00	1.96E+00
P-0033682-T01-IM6	2.30E-01	3.55E-01	2.91E-01
P-0034775-T01-IM6	0.00E+00	3.55E-01	3.55E-01
P-0034862-T01-IM6	2.51E-01	4.10E-01	3.74E-01
P-0034915-T01-IM6	8.52E-01	3.82E+00	3.79E+00
P-0035146-T01-IM6	6.38E-01	3.64E-01	6.09E-01
P-0035147-T01-IM6	5.53E-01	2.29E-01	4.91E-01
P-0035281-T01-IM6	1.03E+00	1.00E+00	6.33E-01
P-0035770-T01-IM6	1.33E+00	1.29E+00	6.44E-01
P-0035790-T01-IM6	1.28E+00	4.67E+00	4.90E+00
P-0036123-T01-IM6	1.44E+00	1.44E+00	0.00E+00
P-0036230-T01-IM6	2.36E-01	2.16E-01	2.85E-01
P-0036297-T01-IM6	8.11E-01	8.23E-01	9.90E-02
P-0036505-T01-IM6	0.00E+00	3.71E-01	3.71E-01
P-0036664-T01-IM6	0.00E+00	4.60E-01	4.61E-01
P-0036740-T03-IM6	9.14E-02	3.41E-01	3.31E-01
P-0036868-T01-IM6	4.09E-02	3.29E-01	3.26E-01
P-0037690-T01-IM6	3.95E-01	1.12E+00	1.09E+00
P-0037917-T01-IM6	1.60E-01	2.21E-01	2.15E-01
P-0038016-T01-IM6	7.99E-02	4.59E-01	4.50E-01
P-0038084-T01-IM6	1.87E-01	6.64E-01	6.24E-01
P-0038520-T01-IM6	8.13E-02	7.28E-01	7.22E-01
P-0038755-T01-IM6	4.57E-01	4.61E-01	3.69E-01
P-0038944-T01-IM6	2.97E-01	4.10E-01	3.16E-01
P-0039054-T01-IM6	1.62E+00	4.76E+00	4.76E+00
P-0039231-T01-IM6	0.00E+00	5.64E-01	5.64E-01
P-0039466-T01-IM6	1.18E-01	5.66E-01	5.72E-01
P-0039477-T01-IM6	1.00E-02	3.62E-01	3.61E-01
P-0039599-T01-IM6	1.68E-01	1.32E-01	1.95E-01
P-0039704-T01-IM6	1.07E+00	1.03E+00	6.06E-01
P-0039773-T01-IM6	4.50E-01	4.20E-01	3.16E-01
P-0039854-T01-IM6	3.11E-01	4.52E-01	4.47E-01
P-0040023-T01-IM6	1.15E+00	4.76E+00	5.09E+00
P-0040086-T01-IM6	5.00E-01	4.26E-01	3.70E-01
P-0040149-T01-IM6	2.21E-01	3.61E-01	3.79E-01
P-0040228-T01-IM6	2.13E-01	4.33E-01	4.30E-01
P-0040284-T01-IM6	6.36E-01	6.14E-01	4.27E-01
P-0040575-T01-IM6	1.49E-01	5.27E-01	5.11E-01
