Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0033100-T01-IM6	5.51E-01	4.66E-01	3.60E-01	3.17E-01	1.34E-01	5.12E-01	4.30E-01	5.90E-01	3.30E-01	3.48E-01
P-0033382-T01-IM6	1.43E+00	8.35E-01	1.13E+00	7.27E-01	2.56E-01	4.32E-01	2.31E-01	2.61E-01	2.27E-01	2.70E-01
P-0033425-T01-IM6	4.04E+00	4.85E+00	4.05E+00	8.81E-01	2.43E-01	3.46E+00	1.21E+00	6.97E-01	9.22E-01	1.43E+00
P-0033503-T01-IM6	5.22E-01	3.68E-01	4.32E-01	2.31E-01	0.00E+00	2.31E-01	2.53E-01	1.98E-01	1.13E-01	1.65E-01
P-0033748-T01-IM6	9.00E-02	4.45E-02	5.34E-01	1.13E+00	1.76E+00	3.81E-01	1.07E+00	4.62E-01	7.78E-01	2.58E+00
P-0033852-T01-IM6	4.60E-01	2.60E-01	5.03E-01	2.34E-01	2.49E-01	3.25E-01	4.69E-01	2.11E-01	2.42E-01	3.10E-01
P-0034090-T01-IM6	1.38E-01	2.91E-01	2.70E-01	1.26E-01	5.18E-02	2.66E-01	2.17E-01	2.04E-01	3.02E-01	1.92E-01
P-0034401-T01-IM6	3.91E-01	3.67E-01	4.02E-01	7.39E-02	0.00E+00	4.47E-01	2.15E-01	2.93E-01	1.70E-01	2.61E-01
P-0034935-T01-IM6	1.06E-01	2.15E-01	2.30E-01	8.24E-02	0.00E+00	2.08E-01	2.26E-01	2.39E-01	2.87E-01	1.06E-01
P-0034950-T01-IM6	4.48E-01	5.00E-01	5.61E-01	1.73E-01	0.00E+00	4.64E-01	4.68E-01	2.53E-01	2.78E-01	5.22E-01
P-0035033-T01-IM6	2.65E-01	2.54E-01	2.26E-01	3.15E-02	0.00E+00	1.73E-01	1.85E-01	1.23E-01	1.40E-01	6.26E-02
P-0035100-T01-IM6	6.51E-01	4.56E-01	5.86E-01	1.14E-01	1.22E-01	7.92E-02	2.92E-01	2.61E-01	1.83E-01	1.65E-01
P-0035103-T01-IM6	3.56E-01	4.23E-01	3.83E-01	1.54E+00	1.61E+00	3.84E-01	1.91E-01	1.81E-01	1.94E-01	1.76E-01
P-0035437-T01-IM6	4.54E-01	3.01E-01	4.13E-01	3.93E-01	2.29E-01	4.89E-01	5.04E-01	4.96E-01	4.01E-01	4.45E-01
P-0035452-T01-IM6	5.51E-01	5.95E-01	5.51E-01	2.91E-01	1.49E-01	6.46E-01	5.39E-01	4.40E-01	4.43E-01	4.70E-01
P-0035693-T01-IM6	2.73E-01	2.32E-01	2.84E-01	2.48E-01	1.64E-01	2.31E-01	2.59E-01	2.84E-01	2.61E-01	2.41E-01
P-0035742-T01-IM6	1.39E-01	2.38E-01	1.09E-01	4.44E-01	4.51E-01	2.60E-01	3.59E-02	1.31E-01	1.69E-01	1.21E-01
P-0035755-T01-IM6	5.32E-01	4.83E-01	4.93E-01	1.64E-01	1.41E-02	4.30E-01	3.56E-01	5.01E-01	4.47E-01	3.82E-01
P-0035916-T01-IM6	4.52E-01	4.13E-01	4.07E-01	2.51E-01	1.38E-01	3.74E-01	3.19E-01	4.99E-01	4.91E-01	2.73E-01
P-0036028-T01-IM6	4.45E-01	6.42E-01	5.66E-01	1.01E-01	2.21E-01	5.36E-01	3.88E-01	4.11E-01	3.25E-01	3.47E-01
P-0036050-T01-IM6	7.08E-01	7.57E-01	6.12E-01	3.10E-01	0.00E+00	4.38E-01	2.16E-01	2.05E-01	2.48E-01	1.22E-01
P-0036309-T01-IM6	4.76E-01	4.27E-01	3.80E-01	2.34E-01	1.15E-01	3.55E-01	3.66E-01	3.31E-01	3.16E-01	3.22E-01
P-0036334-T01-IM6	8.08E-01	7.12E-01	7.48E-01	2.73E-01	1.39E-01	3.54E-01	2.98E-01	2.81E-01	2.99E-01	2.32E-01
P-0036369-T01-IM6	5.22E-01	5.62E-01	3.82E-01	3.04E-01	2.04E-01	5.04E-01	4.33E-01	4.50E-01	4.19E-01	3.86E-01
P-0036380-T01-IM6	2.48E-01	3.97E-01	5.31E-01	2.63E-01	1.90E-01	4.33E-01	3.60E-01	2.74E-01	4.48E-01	2.54E-01
P-0036500-T01-IM6	8.30E-01	7.32E-01	6.89E-01	4.42E-01	0.00E+00	5.16E-01	3.17E-01	2.86E-01	3.01E-01	2.46E-01
P-0036503-T01-IM6	2.89E-01	7.74E-01	3.89E-01	1.98E+00	1.87E+00	5.33E-01	2.51E-01	1.88E-01	4.24E-01	3.54E-01
P-0036831-T01-IM6	4.35E-01	4.24E-01	4.43E-01	2.73E-01	1.54E-01	3.12E-01	3.53E-01	3.78E-01	4.45E-01	2.40E-01
P-0036852-T01-IM6	4.77E-01	4.33E-01	6.16E-01	2.78E-01	2.14E-01	4.14E-01	4.66E-01	3.82E-01	4.43E-01	5.15E-01
P-0036924-T01-IM6	5.00E-01	1.36E-01	4.65E-01	2.29E-01	7.00E-02	5.86E-01	4.41E-01	7.06E-01	6.08E-01	4.55E-01
P-0037227-T01-IM6	4.35E-01	2.57E-01	3.98E-01	1.12E-01	9.71E-02	1.79E-01	3.43E-01	3.98E-01	3.60E-01	1.95E-01
P-0037246-T01-IM6	2.91E-01	4.77E-01	3.13E-01	1.55E-01	1.04E-01	3.51E-01	1.72E-01	1.76E-01	2.31E-01	2.83E-01
P-0037410-T01-IM6	4.08E-01	6.11E-01	7.52E-01	2.58E-01	1.33E-01	5.96E-01	5.27E-01	5.41E-01	4.73E-01	4.62E-01
P-0037531-T01-IM6	6.40E-02	3.93E-01	3.40E-01	1.00E+00	1.17E+00	2.05E-01	3.56E-01	4.25E-01	5.95E-01	2.10E-01
P-0037582-T01-IM6	4.90E-01	5.05E-01	5.41E-01	2.43E-01	0.00E+00	2.70E-01	3.05E-01	2.10E-01	2.87E-01	2.70E-01
P-0037838-T02-IM6	4.57E-01	3.25E-01	3.61E-01	1.06E-01	9.22E-02	1.84E-01	3.72E-01	2.93E-01	2.24E-01	2.29E-01
P-0037867-T01-IM6	4.20E-01	3.80E-01	3.76E-01	3.61E-01	1.59E-01	4.82E-01	4.51E-01	4.36E-01	4.26E-01	4.73E-01
P-0037875-T01-IM6	3.92E-01	4.21E-01	4.89E-01	3.25E-01	4.73E-02	5.04E-01	4.54E-01	4.71E-01	3.76E-01	3.49E-01
P-0037898-T01-IM6	2.22E-01	8.75E-01	4.38E-01	2.64E+00	2.52E+00	6.25E-01	3.03E-01	1.14E-01	2.44E-01	3.64E-01
P-0038159-T01-IM6	4.58E-01	4.19E-01	4.56E-01	8.72E-02	0.00E+00	3.36E-01	2.38E-01	2.73E-01	3.51E-01	1.68E-01
P-0038378-T01-IM6	4.51E-01	4.10E-01	4.60E-01	2.20E-01	7.82E-02	3.13E-01	3.04E-01	4.71E-01	3.17E-01	2.82E-01
P-0038553-T01-IM6	3.74E-01	4.95E-01	6.10E-01	2.55E-01	8.00E-02	5.21E-01	5.35E-01	5.21E-01	6.36E-01	5.94E-01
P-0038612-T02-IM6	3.55E-01	3.58E-01	3.30E-01	1.23E-01	1.71E-02	3.18E-01	2.79E-01	2.93E-01	3.01E-01	2.85E-01
P-0038638-T01-IM6	3.30E-01	3.15E-01	4.18E-01	1.47E-01	3.51E-02	4.09E-01	4.21E-01	3.68E-01	2.39E-01	3.36E-01
P-0038880-T01-IM6	9.54E-01	6.25E-01	8.15E-01	4.15E-01	1.70E-01	5.33E-01	3.29E-01	4.31E-01	4.18E-01	3.71E-01
P-0038908-T01-IM6	2.98E-01	2.05E-01	2.11E-01	1.96E-01	4.19E-02	2.07E-01	2.71E-01	3.51E-01	1.08E-01	1.37E-01
P-0039283-T01-IM6	1.40E+00	1.14E+00	1.18E+00	6.46E-01	1.66E-01	7.11E-01	6.28E-01	5.69E-01	5.46E-01	4.95E-01
P-0039441-T01-IM6	4.04E-01	4.05E-01	4.48E-01	1.02E-01	3.00E-02	4.20E-01	3.30E-01	3.31E-01	2.24E-01	2.28E-01
P-0039443-T01-IM6	8.23E-01	6.66E-01	7.60E-01	3.37E-01	1.24E-01	4.34E-01	2.73E-01	3.19E-01	2.37E-01	1.34E-01
