Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0046739-T01-IM6	5.61E-01	5.41E-01	4.15E-01	2.47E-01	3.00E-02	4.31E-01	2.99E-01	3.00E-01	2.11E-01	2.55E-01
P-0046759-T01-IM6	6.50E-01	5.89E-01	4.92E-01	1.65E-01	1.42E-01	2.73E-01	2.41E-01	4.35E-01	3.32E-01	1.84E-01
P-0046843-T01-IM6	8.70E-01	6.98E-01	7.58E-01	3.39E-01	0.00E+00	5.24E-01	4.52E-01	8.72E-01	7.19E-01	3.42E-01
P-0046954-T01-IM6	1.17E-01	7.56E-02	1.79E-01	1.04E-01	5.57E-02	2.37E-01	1.79E-01	2.17E-01	2.16E-01	2.87E-01
P-0047056-T01-IM6	6.61E-01	7.60E-01	5.78E-01	3.48E-01	1.00E-02	8.12E-01	5.65E-01	7.11E-01	4.67E-01	2.62E-01
P-0047121-T01-IM6	4.96E-01	3.88E-01	3.51E-01	2.19E-01	0.00E+00	1.20E-01	1.48E-01	1.73E-01	2.39E-01	1.37E-01
P-0047196-T01-IM6	4.68E-01	5.17E-01	5.06E-01	1.20E-01	1.00E-02	3.60E-01	1.84E-01	3.18E-01	1.60E-01	2.54E-01
P-0047599-T01-IM6	1.29E+00	8.44E-01	1.06E+00	5.34E-01	1.00E-02	4.89E-01	4.89E-01	2.76E-01	3.49E-01	3.19E-01
P-0047601-T01-IM6	2.54E-01	3.54E-01	2.85E-01	1.64E-01	3.59E-02	3.66E-01	3.39E-01	3.54E-01	3.93E-01	4.06E-01
P-0047632-T01-IM6	5.38E-01	6.45E-01	4.90E-01	2.26E-01	1.41E-02	4.65E-01	4.03E-01	3.23E-01	3.48E-01	3.58E-01
P-0047822-T01-IM6	4.40E-01	4.73E-01	5.01E-01	2.37E-01	0.00E+00	5.11E-01	5.83E-01	3.97E-01	4.67E-01	3.60E-01
P-0047850-T01-IM6	6.63E-01	4.43E-01	6.10E-01	2.27E-01	0.00E+00	3.59E-01	3.26E-01	3.99E-01	1.92E-01	1.85E-01
P-0047862-T01-IM6	4.50E-01	5.06E-01	3.87E-01	1.95E-01	1.00E-02	3.46E-01	3.31E-01	3.66E-01	2.70E-01	2.26E-01
P-0047886-T01-IM6	4.41E-01	3.63E-01	4.17E-01	2.57E-01	1.47E-01	4.68E-01	3.80E-01	5.43E-01	4.85E-01	3.26E-01
P-0048082-T01-IM6	6.24E-01	1.22E-01	5.01E-01	2.35E-01	3.15E-02	3.48E-01	3.13E-01	3.90E-01	3.39E-01	3.24E-01
P-0048215-T01-IM6	5.54E-01	3.31E+00	1.69E+00	5.90E+00	6.05E+00	3.26E+00	1.25E+00	5.47E-01	1.38E+00	1.65E+00
P-0048221-T01-IM6	7.63E-01	8.73E-01	8.19E-01	3.06E-01	1.00E-02	8.30E-01	4.26E-01	4.77E-01	4.49E-01	3.49E-01
P-0048257-T01-IM6	3.48E-01	2.91E-01	3.18E-01	2.45E-01	2.13E-01	3.60E-01	3.73E-01	4.12E-01	2.85E-01	3.42E-01
P-0048271-T01-IM6	5.86E-01	3.03E-01	4.77E-01	2.92E-01	0.00E+00	1.61E-01	1.74E-01	1.37E-01	1.38E-01	6.38E-02
P-0048660-T01-IM6	3.53E-01	3.11E-01	3.32E-01	1.33E-01	1.00E-02	1.63E-01	1.68E-01	3.26E-01	2.55E-01	2.31E-01
P-0048893-T01-IM6	5.21E-01	3.78E-01	3.61E-01	2.75E-01	1.24E-01	3.40E-01	3.60E-01	4.19E-01	3.21E-01	4.16E-01
P-0049064-T01-IM6	3.90E-01	4.95E-01	5.53E-01	3.05E-01	4.45E-02	5.30E-01	4.20E-01	5.34E-01	5.45E-01	3.46E-01
P-0049202-T01-IM6	2.21E-01	5.45E-01	4.44E-01	2.17E+00	2.12E+00	4.28E-01	5.11E-01	1.14E-01	2.51E-01	4.80E-01
P-0049359-T01-IM6	4.67E-01	1.99E-01	3.05E-01	2.36E-01	3.00E-02	1.94E-01	2.87E-01	3.75E-01	1.93E-01	3.08E-01
P-0049376-T01-IM6	5.32E-01	3.43E-01	4.56E-01	2.31E-01	0.00E+00	3.69E-01	4.22E-01	4.26E-01	3.30E-01	2.74E-01
P-0049486-T01-IM6	3.41E-01	3.48E-01	2.79E-01	1.31E-01	0.00E+00	2.35E-01	1.80E-01	2.95E-01	2.56E-01	1.16E-01
P-0049600-T01-IM6	3.42E-01	3.16E-01	3.64E-01	1.06E-01	0.00E+00	2.09E-01	2.30E-01	1.17E-01	8.30E-02	9.41E-02
P-0049633-T01-IM6	2.87E-01	3.78E-01	3.45E-01	1.41E-01	2.00E-02	3.35E-01	3.26E-01	4.13E-01	2.64E-01	3.34E-01
P-0049661-T01-IM6	4.67E-01	4.78E-01	4.96E-01	1.39E-01	4.00E-02	4.13E-01	2.26E-01	2.67E-01	1.75E-01	2.06E-01
P-0049762-T01-IM6	5.20E-01	4.57E-01	2.90E-01	2.32E-01	2.07E-01	3.48E-01	2.57E-01	2.47E-01	1.81E-01	2.49E-01
P-0049970-T01-IM6	5.83E-01	4.95E-01	5.30E-01	3.20E-01	2.01E-01	4.11E-01	4.71E-01	5.30E-01	3.04E-01	3.46E-01
P-0050263-T01-IM6	2.97E-01	6.07E-01	4.87E-01	4.77E+00	4.73E+00	5.17E-01	2.36E-01	2.79E-01	5.10E-01	2.82E-01
P-0050266-T01-IM6	4.05E-01	2.80E-01	5.23E-01	3.19E-01	1.32E-01	5.64E-01	5.00E-01	4.76E-01	4.10E-01	5.85E-01
