Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0015699-T01-IM6	1	0	6	0	2	10	0	5	8	14
P-0015851-T01-IM6	7	2	9	1	0	0	0	3	0	4
P-0016314-T01-IM6	1	12	10	5	0	15	10	17	19	0
P-0016522-T01-IM6	7	6	10	5	0	0	3	0	0	4
P-0016890-T01-IM6	0	0	19	2	2	5	8	0	2	0
P-0017583-T01-IM5	1	6	0	1	2	6	2	2	9	0
P-0017664-T01-IM5	3	0	0	0	0	0	0	1	0	1
P-0017697-T01-IM6	22	10	12	0	0	4	9	10	3	0
P-0017839-T01-IM6	17	2	4	11	0	3	4	0	0	0
P-0017925-T01-IM6	9	7	5	4	0	0	8	8	2	5
P-0017986-T02-IM6	21	2	8	3	2	20	9	0	0	0
P-0017995-T01-IM6	5	11	4	4	0	9	0	0	0	5
P-0018374-T01-IM6	7	10	0	3	2	3	6	2	4	0
P-0018436-T01-IM6	6	0	4	1	0	3	0	2	0	0
P-0018437-T01-IM6	2	5	12	0	0	2	2	9	1	0
P-0018841-T01-IM6	1	2	0	0	0	12	1	3	31	0
P-0019183-T01-IM6	0	3	2	0	1	2	0	0	0	0
P-0019428-T01-IM6	13	2	8	2	0	5	0	6	0	0
P-0019464-T01-IM6	28	14	4	9	2	2	12	18	0	7
P-0019475-T01-IM6	2	6	17	1	0	14	9	17	1	0
P-0019846-T01-IM6	7	4	0	2	0	1	6	0	9	4
P-0019949-T01-IM6	12	8	0	3	1	0	0	0	0	2
P-0020143-T01-IM6	17	2	10	2	0	4	1	1	10	4
P-0020144-T01-IM6	7	0	0	2	0	4	0	1	0	4
P-0020221-T01-IM6	16	10	7	2	0	3	4	9	6	0
P-0020330-T01-IM6	9	23	7	6	2	0	5	21	19	5
P-0020331-T01-IM6	20	5	16	2	2	11	5	21	6	0
P-0020399-T01-IM6	14	1	0	2	0	3	4	16	0	0
P-0020431-T01-IM6	8	2	9	4	0	0	0	1	2	0
P-0020473-T01-IM6	10	12	0	70	47	9	0	0	0	0
P-0020689-T01-IM6	18	8	7	14	1	0	10	9	2	1
P-0020748-T01-IM6	6	0	0	1	2	2	0	1	0	4
P-0020834-T01-IM6	2	0	1	3	0	0	4	0	0	7
P-0021049-T01-IM6	15	8	0	4	0	0	0	2	3	4
P-0021090-T01-IM6	7	28	9	87	38	0	0	0	9	0
P-0021154-T01-IM6	0	7	1	1	0	0	11	9	0	0
P-0021292-T01-IM6	11	6	5	3	0	0	6	0	0	5
P-0021304-T01-IM6	17	14	19	7	2	4	0	1	0	0
P-0021346-T01-IM6	4	8	3	1	0	1	0	1	0	4
P-0021393-T01-IM6	5	28	17	1	0	0	11	0	1	0
P-0021744-T01-IM6	20	13	0	0	0	13	4	7	0	3
P-0022111-T01-IM6	12	16	22	6	0	15	6	3	5	0
P-0022508-T01-IM6	14	4	0	2	0	0	2	3	0	0
P-0023162-T01-IM6	5	1	0	0	0	3	5	3	7	0
P-0023271-T01-IM6	11	28	24	103	104	0	5	5	11	10
P-0023272-T01-IM6	16	15	0	1	1	0	1	14	3	2
P-0023551-T01-IM6	3	7	10	4	0	0	12	20	0	0
P-0023639-T01-IM6	6	9	5	6	0	8	0	9	0	0
P-0024928-T01-IM6	0	16	0	1	0	2	0	5	0	3
P-0024973-T01-IM6	8	0	0	1	0	5	1	9	0	3
P-0025047-T01-IM6	5	1	13	4	0	3	10	0	20	0
P-0025073-T01-IM6	6	9	7	2	2	0	0	0	2	5
P-0025215-T01-IM6	11	3	0	4	2	7	5	3	5	9
P-0025695-T01-IM6	7	5	14	4	0	6	3	0	0	0
P-0025715-T01-IM6	5	7	4	1	0	1	14	0	7	2
P-0025883-T01-IM6	18	14	0	2	2	11	2	5	7	2
P-0026197-T01-IM6	8	6	4	2	0	32	3	0	17	0
P-0026480-T01-IM6	5	3	9	3	0	13	15	3	2	7
P-0026678-T01-IM6	27	13	14	7	0	0	3	0	0	0
P-0026683-T01-IM6	36	9	6	9	0	0	0	2	9	6
P-0026908-T01-IM6	1	1	8	0	2	5	1	0	3	7
P-0026962-T01-IM6	3	8	0	4	2	5	5	0	6	2
P-0027324-T01-IM6	17	18	4	3	2	0	6	0	0	6
P-0027335-T01-IM6	5	16	11	1	0	0	4	3	2	1
P-0027375-T01-IM6	3	6	1	5	2	6	4	2	6	0
P-0027438-T01-IM6	0	18	0	0	2	0	2	1	4	6
P-0027740-T01-IM6	31	32	18	7	0	0	2	2	0	0
P-0027858-T01-IM6	16	6	0	0	0	34	11	3	12	0
P-0027929-T01-IM6	20	43	14	7	11	120	68	48	0	0
P-0028069-T01-IM6	0	6	7	4	0	5	8	7	0	0
P-0028266-T01-IM6	29	10	35	11	0	5	0	5	2	0
P-0028274-T01-IM6	11	7	13	2	0	12	0	3	0	3
P-0028344-T01-IM6	2	8	3	3	0	2	5	0	0	0
P-0028474-T01-IM6	8	15	8	2	2	23	16	0	1	9
P-0028485-T01-IM6	23	20	5	12	0	7	0	0	13	3
P-0028571-T01-IM6	3	6	12	1	0	0	9	0	3	0
P-0028891-T01-IM6	34	13	32	5	0	10	3	11	0	0
P-0028979-T01-IM6	2	0	19	2	0	0	9	6	20	0
P-0029114-T01-IM6	0	9	0	2	0	5	0	0	9	3
P-0029169-T01-IM6	3	16	7	3	0	0	0	0	0	1
P-0029398-T01-IM6	11	8	4	7	2	4	10	0	1	0
P-0029399-T01-IM6	15	3	0	6	2	0	8	6	0	6
P-0029495-T03-IM6	26	11	3	8	0	8	1	0	0	0
P-0029646-T01-IM6	8	4	21	2	2	25	8	0	8	4
P-0029980-T01-IM6	16	20	0	7	2	10	8	7	3	0
P-0030244-T01-IM6	0	11	11	0	2	14	0	0	12	0
P-0030265-T01-IM6	19	131	37	5	2	29	0	0	5	0
P-0030636-T01-IM6	14	0	0	5	0	6	0	2	0	5
P-0030708-T01-IM6	11	9	13	3	0	16	2	9	0	0
P-0030774-T01-IM6	19	19	2	12	0	0	10	0	9	0
P-0030960-T01-IM6	1	7	15	3	0	1	4	3	1	1
P-0030988-T01-IM6	4	13	0	2	0	0	10	8	3	0
P-0031050-T01-IM6	3	10	0	1	0	0	0	10	7	0
P-0031091-T01-IM6	8	22	1	3	0	4	12	10	0	0
P-0031146-T01-IM6	3	11	3	1	0	0	0	5	0	0
P-0031207-T01-IM6	4	0	10	1	0	3	0	20	0	0
P-0031496-T01-IM6	4	17	15	6	0	0	2	9	0	0
P-0032060-T01-IM6	12	17	13	0	3	0	0	0	10	0
P-0032698-T01-IM6	13	7	1	2	2	3	19	0	0	0
P-0032718-T01-IM6	0	12	8	1	3	16	2	5	12	0
P-0032777-T01-IM6	0	3	2	2	4	3	20	0	2	7
P-0033100-T01-IM6	16	0	0	4	2	11	5	7	0	2
P-0033382-T01-IM6	43	14	8	18	2	6	1	0	0	0
P-0033425-T01-IM6	54	165	67	24	5	12	13	0	0	25
P-0033503-T01-IM6	15	3	3	4	0	2	2	0	0	1
P-0033748-T01-IM6	0	0	0	0	59	0	0	0	0	75
P-0033852-T01-IM6	8	1	9	6	1	3	9	0	0	2
P-0034090-T01-IM6	0	5	1	1	0	3	2	0	7	0
P-0034401-T01-IM6	8	2	5	0	0	8	0	0	0	1
P-0034935-T01-IM6	0	1	1	0	0	4	2	4	1	0
P-0034950-T01-IM6	4	8	17	1	0	0	1	0	0	8
P-0035033-T01-IM6	0	4	4	0	0	0	0	0	2	0
P-0035100-T01-IM6	15	6	4	1	0	0	6	1	0	0
P-0035103-T01-IM6	3	8	5	30	84	3	0	0	0	0
P-0035437-T01-IM6	6	2	0	9	2	3	5	5	6	10
P-0035452-T01-IM6	11	7	10	6	0	17	7	3	4	1
P-0035693-T01-IM6	3	2	0	7	0	4	0	0	1	4
P-0035742-T01-IM6	1	2	0	9	6	5	0	0	0	0
P-0035755-T01-IM6	3	10	16	0	0	0	3	12	2	1
P-0035916-T01-IM6	5	6	9	4	2	0	1	7	8	0
P-0036028-T01-IM6	4	16	10	0	4	0	7	0	0	5
P-0036050-T01-IM6	6	18	8	6	0	0	0	0	4	0
P-0036309-T01-IM6	11	6	0	4	0	0	7	4	5	2
P-0036334-T01-IM6	8	13	18	4	1	0	2	5	0	0
P-0036369-T01-IM6	10	14	0	6	1	2	3	2	8	7
P-0036380-T01-IM6	0	1	14	4	2	9	1	0	1	0
P-0036500-T01-IM6	21	18	0	11	0	7	1	3	0	0
P-0036503-T01-IM6	0	26	6	58	50	0	0	0	0	0
P-0036831-T01-IM6	7	6	8	5	0	1	2	4	7	3
P-0036852-T01-IM6	7	5	11	4	3	2	4	1	9	13
P-0036924-T01-IM6	5	0	2	1	0	10	0	22	5	0
P-0037227-T01-IM6	13	2	0	0	0	0	6	5	6	0
P-0037246-T01-IM6	3	6	4	1	2	2	0	0	0	8
P-0037410-T01-IM6	0	11	17	1	2	17	3	10	5	0
P-0037531-T01-IM6	0	5	0	18	63	0	4	2	18	0
P-0037582-T01-IM6	4	8	13	3	0	0	1	2	0	0
P-0037838-T02-IM6	8	6	4	1	2	0	7	3	0	0
P-0037867-T01-IM6	5	7	3	7	0	4	10	7	0	2
P-0037875-T01-IM6	3	4	8	5	0	12	3	7	2	1
P-0037898-T01-IM6	0	17	3	56	127	13	0	0	0	0
P-0038159-T01-IM6	15	0	0	0	0	9	1	0	8	0
P-0038378-T01-IM6	0	5	12	2	0	0	0	17	0	0
P-0038553-T01-IM6	6	15	3	3	0	0	5	0	16	17
P-0038612-T02-IM6	1	8	4	1	0	0	5	4	3	1
P-0038638-T01-IM6	4	0	3	2	0	4	4	3	0	8
P-0038880-T01-IM6	29	7	15	8	2	9	0	0	2	2
P-0038908-T01-IM6	5	0	0	2	0	3	3	8	0	0
P-0039283-T01-IM6	33	26	23	18	2	0	5	1	8	0
P-0039441-T01-IM6	4	2	8	1	0	11	1	4	0	0
P-0039443-T01-IM6	8	11	19	6	0	1	0	5	0	0
P-0039589-T01-IM6	7	21	44	5	11	3	20	7	6	5
P-0039800-T01-IM6	11	10	7	1	0	0	1	0	0	0
P-0039938-T01-IM6	9	13	14	4	2	2	9	5	0	0
P-0039999-T01-IM6	8	0	8	1	0	14	0	15	2	0
P-0040021-T01-IM6	10	2	0	2	2	4	1	3	0	9
P-0040107-T01-IM6	10	11	0	1	0	3	2	6	0	11
P-0040121-T01-IM6	7	6	0	5	2	0	5	10	15	0
P-0040182-T01-IM6	5	9	0	1	0	3	10	8	0	5
